"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0003735","GO:0003735","structural constituent of ribosome",56,-0.853849203996962,-1.51996630791182,1e-10,4.93926755937728e-09,3.52344445297031e-09,621,"tags=88%, list=12%, signal=78%","ssl0438/sll1811/sll1801/sll1803/ssr1399/ssr1736/slr1356/ssl0601/sll1812/slr0469/sll1799/sll1096/sll0767/ssr0482/ssl3436/sll1813/ssl3432/sll1819/sll1740/sll1822/sll1816/sll1800/sll1824/ssr1398/sll1805/sll1804/sll1808/slr1678/sll1807/sll1817/sll1746/slr0628/ssl3445/ssl2233/ssr2799/sll1745/sll1802/sll1809/sll1101/ssl1784/smr0011/sll1744/ssl3437/ssl1426/sml0006/sll1097/sll1810/sll1260/sll1743"
"GO:0006412","GO:0006412","translation",63,-0.830041060548271,-1.47815288122488,1.22461179158114e-10,4.93926755937728e-09,3.52344445297031e-09,621,"tags=79%, list=12%, signal=71%","ssl0438/slr0267/sll1811/sll1801/sll1803/ssr1399/ssr1736/slr1356/ssl0601/sll1812/slr0877/slr0469/sll1799/sll1096/sll0767/ssr0482/ssl3436/sll1813/ssl3432/sll1819/sll1740/sll1822/sll1816/sll1800/sll1824/ssr1398/sll1805/sll1804/sll1808/slr1678/sll1807/sll1817/sll1746/slr0628/ssl3445/ssl2233/ssr2799/sll1745/sll1809/sll1101/ssl1784/smr0011/sll1435/sll1744/ssl3437/ssl1426/sml0006/sll1097/sll1260/sll1743"
"GO:0005737","GO:0005737","cytoplasm",304,-0.70271584111669,-1.28089757016661,1e-10,4.93926755937728e-09,3.52344445297031e-09,1178,"tags=50%, list=23%, signal=41%","sll1639/sll1556/sll1143/slr0900/ssr2061/slr0807/sll0703/sll0495/sll0533/slr1503/sll1883/slr1351/slr0649/sll0897/slr1703/slr0633/slr1691/slr0585/sll0844/slr0233/slr0682/slr0502/sll0712/slr0406/slr1219/sll0868/slr1626/sll1343/slr1646/sll0804/slr1756/slr1238/sll0898/sll0865/sll1941/sll1633/sll0154/slr1289/sll0148/slr1418/slr0084/sll1612/sll1558/sll0257/sll1025/slr0652/slr0722/slr0603/slr0011/sll0569/sll0402/slr1022/sll0017/sll2005/sll0567/slr0267/slr0070/sll0936/slr0734/slr1747/sll0660/slr0744/sll1536/slr0165/sll1342/slr0156/slr0839/slr0653/slr2075/sll1669/sll1818/slr1848/sll1760/slr1423/sll1018/sll1868/slr0545/slr0812/slr1886/slr1463/slr0638/slr0434/slr0417/sll1776/slr0661/sll0643/slr1560/sll1056/slr0186/ssr0482/slr0526/slr1622/sll0534/sll0379/sll0057/slr0623/slr1367/sll0373/slr1598/slr1887/sll2010/slr0528/sll1932/sll0401/sll1110/slr1898/slr0520/slr2102/slr0357/sll1498/sll0502/sll0900/slr1720/slr1791/sll0144/sll1261/sll0454/sll1275/slr0536/sll1185/sll1605/sll0083/sll1662/slr0444/ssr1398/slr0542/slr1678/slr0958/sll1823/slr2130/slr0628/slr0379/sll1362/slr1510/sll1893/sll0020/sll1099/sll0469/slr0608/slr1462/sll0170/sll1815/slr1884/slr0017/sll0899/slr0543/slr0519/sll1931/sll1525/sll1172/sll0370/slr0500/sll0078"
"GO:0005524","GO:0005524","ATP binding",302,-0.682826955975565,-1.24463140324517,5.42184210595103e-10,1.64010723705019e-08,1.16997645444207e-08,1100,"tags=40%, list=21%, signal=33%","sll7029/slr1882/slr1351/slr2076/slr0649/sll0897/sll1453/sll1920/slr1703/slr1691/slr0585/slr1149/slr2047/slr0394/slr0692/sll0844/slr0599/slr0067/slr0033/slr1756/slr0862/slr1238/sll6036/sll1501/sll1941/slr0676/slr2035/slr1093/slr0251/slr0054/slr0938/sll1326/sll1612/sll0257/sll1276/slr0354/sll0569/sll1623/sll2005/sll0578/sll0759/slr0207/slr1787/slr1390/sll0728/slr0156/slr2075/sll0179/slr0228/sll1669/slr1874/sll1760/slr1423/slr1030/slr0812/slr1159/sll0053/slr0638/slr0877/slr0417/sll1553/sll8049/slr1165/slr1604/sll1056/slr1550/slr0075/sll0616/sll2010/slr0528/slr1777/sll1932/sll1425/slr0833/slr1443/slr1898/slr0520/slr0357/sll0505/slr0838/slr0544/sll1498/sll0502/sll0575/sll0900/slr1720/slr1329/sll0144/sll0362/sll0454/sll1275/sll1360/sll1725/slr0220/slr0958/sll1327/slr0213/slr0379/sll1362/sll0336/sll0711/sll0020/sll0469/slr0608/sll1435/sll0170/slr1123/sll1815/sll1533/slr1884/slr1055/sll1443/slr0519/slr0557/sll1525/sll1074/slr1226/sll0370/slr1164/sll0078/slr1330"
"GO:0005829","GO:0005829","cytosol",222,-0.700503557590704,-1.27221698587349,7.8754856886989e-10,1.90586753666513e-08,1.35955752941749e-08,1010,"tags=45%, list=20%, signal=38%","slr0665/slr1348/slr2047/slr0394/sll1063/slr0233/slr0682/sll0555/slr0406/sll0329/slr0194/slr1334/slr0862/sll6036/sll1234/slr1228/sll0649/slr2035/slr0550/sll1198/slr0081/sll0807/slr0606/sll0244/slr1639/sll1712/sll0396/slr0212/sll0635/slr0827/slr1133/slr0947/sll0578/slr0070/sll1127/sll1282/slr1435/slr1540/sll1786/slr0321/sll0936/sll0622/sll1536/sll1058/slr1559/sll1291/sll0220/sll0892/sll0179/slr1665/sll0992/slr1874/slr1848/slr0597/slr0118/slr1424/sll1945/slr1550/sll0753/slr0966/sll1363/slr0951/sll1425/sll1747/slr0833/slr1349/sll1894/slr0838/sll0920/slr1783/sll1933/sll1816/sll0362/sll0757/sll1275/sll0065/slr1867/sll1098/slr0495/sll1742/slr0220/sll1069/slr0213/slr0379/ssl2233/sll0838/slr2042/slr1517/slr1462/slr0974/slr1123/sll1815/slr0657/sll1994/ssl2084/sll1443/ssl3441/sll1931/slr0557/sll1074/slr1945"
"GO:0019843","GO:0019843","rRNA binding",36,-0.846025766538868,-1.48978535884478,3.49488567989441e-07,7.04801945445372e-06,5.02773027633932e-06,579,"tags=78%, list=11%, signal=69%","slr0321/sll1801/sll1803/sll1812/slr0469/sll1799/sll1096/sll0767/sll1813/ssl3432/sll1816/sll1800/sll1805/sll1804/sll1808/slr1678/sll1807/sll1817/slr0628/ssl3445/sll1802/sll1809/ssl1784/sll1744/ssl3437/ssl3441/sll1097/sll1810"
"GO:0000287","GO:0000287","magnesium ion binding",65,-0.764418705987155,-1.36144689394822,2.8031392750984e-06,4.84542646124152e-05,3.45650256478299e-05,938,"tags=57%, list=18%, signal=47%","sll0603/sll0409/slr1334/slr1289/sll1558/slr1835/sll0635/slr1787/sll1669/slr0752/sll1553/slr0185/sll1945/sll1056/slr1550/sll1363/slr0526/slr1622/slr2088/slr0528/sll1894/slr0009/slr1834/sll0920/sll0454/sll0757/sll1275/slr1867/sll0506/slr0495/sll1823/slr1265/slr0452/sll0469/slr1517/sll1377/sll0899"
"GO:0031676","GO:0031676","plasma membrane-derived thylakoid membrane",114,-0.702780553885439,-1.26295339490309,2.22004772863684e-05,0.000335782218956322,0.000239531465458185,1156,"tags=56%, list=23%, signal=44%","slr1623/slr1280/smr0006/slr1185/slr1281/sll0519/slr0906/ssl2615/smr0007/slr0823/sll1579/sll0928/slr0261/sll1323/sll1580/sll1326/slr1459/sll1513/slr1835/sll0258/sll0689/sml0001/sll1322/ssr3451/slr1390/ssl2598/slr2051/smr0010/sll1324/sll1281/slr0342/slr1796/slr0729/sll1578/sll0427/slr1645/slr1604/slr0927/sll1325/sml0004/slr1986/smr0008/sll0616/sll1577/ssl3335/slr1643/sll1814/slr1834/sll1317/sll0226/ssl0563/slr1329/slr0335/slr0343/slr2067/sll1327/slr1034/sll1316/sll0849/slr1949/sll0851/sml0005/sll0247/slr1330"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit",20,-0.851396593114889,-1.46240137380185,0.000129263769831616,0.00165976263949309,0.00118399770716341,768,"tags=95%, list=15%, signal=81%","sll1821/sll1806/sll1811/sll1801/sll1803/sll1799/sll0767/ssl3436/sll1813/sll1819/sll1740/sll1808/sll1746/ssr2799/sll1745/sll1802/ssl1426/sll1810/sll1743"
"GO:0015979","GO:0015979","photosynthesis",82,-0.70770829793002,-1.2651946892541,0.000137170466073809,0.00165976263949309,0.00118399770716341,965,"tags=51%, list=19%, signal=42%","ssr0330/slr1185/sll1376/smr0007/slr0823/sll1579/sll0928/slr0436/sll1580/slr1839/slr1459/slr0737/slr1835/slr0011/slr0525/sml0001/ssl2598/slr2051/smr0010/sll1281/slr0342/slr1347/slr0506/sll1214/sll1578/slr1030/sml0004/slr1986/smr0008/sll1577/slr1777/sll1184/slr0611/slr1834/sll1317/sll0226/sll0554/slr0335/slr2067/sll1316/slr1055/sml0005"
