"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006412","GO:0006412","translation",63,-0.784934452897287,-2.37326785196059,1e-10,4e-09,3.29824561403509e-09,666,"tags=84%, list=19%, signal=69%","sll1803/sll1801/ssr1604/ssl0438/sll1821/slr0922/ssr2799/sll1244/ssl3432/slr0469/slr0877/sll1824/slr0267/slr1356/sll1811/ssl0601/ssr1736/sll1740/sll1819/sll1799/slr1549/ssl1426/sll1808/sll1745/sll0145/ssr1399/sll1101/sll1435/sll1817/ssl2233/sll1804/sll1813/sll1097/ssl1784/sll1096/slr0628/sll1800/sll1805/sll1746/ssr1398/sll1260/sll1822/ssl3436/sll1767/sll1807/ssl3445/ssl3437/ssr0482/sll1744/sll1809/sll1743/sml0006/sll1816"
"GO:0003735","GO:0003735","structural constituent of ribosome",56,-0.792639774373847,-2.3382406355017,1e-10,4e-09,3.29824561403509e-09,666,"tags=88%, list=19%, signal=72%","sll1803/sll1801/ssr1604/ssl0438/sll1821/ssr2799/sll1244/ssl3432/slr0469/sll1824/slr1356/sll1811/ssl0601/ssr1736/sll1740/sll1819/sll1799/ssl1426/sll1808/sll1745/sll1802/ssr1399/sll1101/sll1817/ssl2233/sll1804/sll1813/sll1097/ssl1784/sll1096/slr0628/sll1800/sll1805/sll1746/ssr1398/sll1260/sll1822/ssl3436/sll1767/sll1807/ssl3445/ssl3437/sll1810/ssr0482/sll1744/sll1809/sll1743/sml0006/sll1816"
"GO:0031676","GO:0031676","plasma membrane-derived thylakoid membrane",114,-0.678975619516621,-2.20810382620656,1e-10,4e-09,3.29824561403509e-09,761,"tags=60%, list=22%, signal=48%","ssr3451/ssr2831/ssl2615/ssl0563/smr0005/ssr3383/sll0522/sll0520/slr0906/slr1181/sll1322/sll1326/slr1280/slr1291/sml0007/slr1034/slr2087/slr2034/slr1279/slr0261/ssl3335/slr1949/slr0083/sll1325/sll1262/slr0823/slr1643/ssr1386/sml0003/slr1835/smr0006/slr0343/sll0258/slr1329/sll0247/slr1964/slr0513/sll1316/ssl2009/sll0199/sll1194/sll0928/slr1834/sll1327/slr1796/slr0729/sll1513/sml0001/sll0616/slr1330/slr1645/slr2067/sll1814/sll0851/slr1459/ssl2598/slr1986/slr0927/sll0226/sll0427/sll0849/sll1579/sll1580/sll1578/sll1577/slr0335/slr2051/smr0008"
"GO:0030089","GO:0030089","phycobilisome",24,-0.844623927360815,-2.15482111803069,1.19580582349538e-08,3.58741747048615e-07,2.95804598443595e-07,80,"tags=50%, list=2%, signal=49%","sll0928/slr2067/slr1459/slr1986/sll1051/slr1878/sll1579/sll1580/sll1578/sll1577/slr0335/slr2051"
"GO:0015979","GO:0015979","photosynthesis",82,-0.626780013109386,-1.96202994279771,1.82436983178647e-07,4.37848759628752e-06,3.61033187764058e-06,496,"tags=39%, list=14%, signal=34%","sll0819/sll1214/slr1030/sll1091/slr0506/slr0011/slr0823/slr1835/sll1245/sll1638/sll0554/sll1316/slr1777/sll1194/sll0928/slr1834/sml0001/slr2067/slr1459/slr1347/ssl2598/slr1839/slr1986/slr1055/sll0226/sll1579/sll1580/sll1578/sll1577/slr0335/slr2051/smr0008"
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit",20,-0.808576354801488,-2.0171678811331,4.0851632696774e-06,8.1703265393548e-05,6.73693591841536e-05,666,"tags=90%, list=19%, signal=73%","sll1803/sll1801/sll1821/ssr2799/sll1244/sll1811/sll1740/sll1819/sll1799/ssl1426/sll1808/sll1745/sll1802/sll1813/sll1746/ssl3436/sll1810/sll1743"
"GO:0019843","GO:0019843","rRNA binding",36,-0.709287070531949,-1.96385620386079,5.12409678839949e-06,8.78416592297056e-05,7.24308418209853e-05,514,"tags=69%, list=15%, signal=60%","sll1244/ssl3432/slr0469/ssl3441/slr1105/sll1799/sll1808/sll1802/sll1817/sll1804/sll1813/sll1097/ssl1784/sll1096/slr0628/sll1800/sll1805/sll1807/ssl3445/ssl3437/sll1810/slr0321/sll1744/sll1809/sll1816"
"GO:0022627","GO:0022627","cytosolic small ribosomal subunit",11,-0.862453769557526,-1.87516778134819,4.79806696078391e-05,0.000719710044117586,0.000593445124096957,258,"tags=91%, list=8%, signal=84%","ssl3432/ssr1399/sll1817/sll1804/sll1097/ssl1784/sll1260/sll1822/ssl3437/sll1809"
"GO:0030096","GO:0030096","plasma membrane-derived thylakoid photosystem II",28,-0.705268932033953,-1.85800115142571,0.000117209304077849,0.00156279072103799,0.00128861691032957,367,"tags=46%, list=11%, signal=42%","sml0003/smr0006/sll1638/sll0258/sll1194/sml0001/slr1645/sll0851/ssl2598/slr0927/sll0427/sll0849/smr0008"
"GO:0005829","GO:0005829","cytosol",222,-0.448940334921397,-1.55142126841986,0.000257156549805647,0.00308587859766776,0.00254449638755061,734,"tags=35%, list=21%, signal=30%","sll0757/sll0329/sll0920/sll0992/sll0244/sll1933/sll1894/slr1334/sll0622/sll6036/slr0783/slr1228/sll1282/sll0807/slr1837/sll1058/sll1945/slr0194/sll0573/slr0082/slr2042/slr1945/sll0753/slr0974/slr1783/slr2035/slr0083/sll1363/slr0966/sll1057/slr0379/ssl3441/slr1435/slr1559/sll0362/slr0597/slr1105/slr1349/slr0212/sll1074/ssl2084/slr0951/sll0065/sll1291/sll1098/slr1462/slr0406/slr1847/sll1931/sll1747/slr2047/slr1517/ssl2233/sll1275/slr1665/sll0271/slr0682/slr0947/slr1540/slr0833/sll1742/slr0606/slr1123/slr0657/sll0838/sll0578/slr0838/slr0495/slr0557/slr0213/slr0115/slr1867/sll1815/slr0321/sll0936/sll1994/sll1443/sll1816"
"GO:0005840","GO:0005840","ribosome",20,-0.734408083625298,-1.83213915313807,0.000434875280020976,0.00474409396386519,0.00391179677722217,637,"tags=80%, list=19%, signal=65%","slr1678/ssr1604/ssl0438/sll1821/sll1824/slr1356/ssl0601/sll1097/sll1096/sll1800/sll1805/ssr1398/sll1767/sll1807/ssl3445/sml0006"
"GO:0016829","GO:0016829","lyase activity",11,-0.783907056700297,-1.70438962432738,0.00195026320654599,0.0195026320654599,0.0160811176680108,198,"tags=45%, list=6%, signal=43%","sll1893/sll0853/sll1051/slr1878/slr0335"
"GO:0009097","GO:0009097","isoleucine biosynthetic process",10,-0.816415938785054,-1.72781523640389,0.00213977567961642,0.0197517755041515,0.0162865517314934,567,"tags=80%, list=17%, signal=67%","slr0032/slr2088/slr2072/sll1363/sll0065/sll1688/slr0452/sll0455"
"GO:0005506","GO:0005506","iron ion binding",34,-0.600599663986213,-1.64787946286084,0.00272608370564725,0.0233664317626907,0.0192670577692362,761,"tags=53%, list=22%, signal=42%","ssr3451/slr1417/sll0520/slr1181/sll1285/slr1280/sll1510/sll1796/slr2136/sll0662/sll1214/slr2033/smr0006/sll0258/slr0574/ssl2667/slr0927/sll0849"
"GO:1990904","GO:1990904","ribonucleoprotein complex",15,-0.737408069228644,-1.71330651194387,0.0030951007372284,0.0247608058978272,0.0204168048631206,483,"tags=80%, list=14%, signal=69%","slr1678/ssr1604/sll1824/slr1356/ssl0601/sll1800/sll1805/ssr1398/sll1767/sll1807/ssl3445/sml0006"
"GO:0004540","GO:0004540","ribonuclease activity",13,0.711373902291726,1.82829096456052,0.0036556158856471,0.0269606354472844,0.0222306994039012,193,"tags=23%, list=6%, signal=22%","slr1129/sll1910/sll1290"
"GO:0006189","GO:0006189","'de novo' IMP biosynthetic process",16,-0.716500912936515,-1.6867717207934,0.00381942335503196,0.0269606354472844,0.0222306994039012,614,"tags=75%, list=18%, signal=62%","slr0477/sll0757/sll0421/sll0070/slr0597/sll0901/sll1056/sll0578/slr0838/slr1226/slr0519/slr0520"
"GO:0016168","GO:0016168","chlorophyll binding",14,-0.738573886263788,-1.68973098819786,0.00432704215372769,0.0285699756607099,0.0235576992290064,420,"tags=64%, list=12%, signal=57%","slr0906/slr1181/ssl1633/slr1835/sll0247/slr1834/sll0851/slr0927/sll0849"
"GO:0015995","GO:0015995","chlorophyll biosynthetic process",15,-0.723741285938229,-1.68155287405205,0.00452357947961241,0.0285699756607099,0.0235576992290064,575,"tags=67%, list=17%, signal=56%","sll0017/sll1214/slr1030/sll1091/slr0506/slr1808/sll1185/slr1887/slr1777/slr1055"
