"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"syn03010","syn03010","Ribosome - Synechocystis sp. PCC 6803",54,-0.86314702394458,-1.52399612436378,1e-10,3.3e-09,1.84210526315789e-09,538,"tags=87%, list=11%, signal=79%","sll1801/sll1803/ssr1399/ssr1736/slr1356/ssl0601/sll1812/slr0469/sll1799/sll1096/sll0767/ssr0482/ssl3436/sll1813/ssl3432/sll1819/sll1740/sll1822/sll1816/sll1800/sll1824/ssr1398/sll1805/sll1804/sll1808/slr1678/sll1807/sll1817/sll1746/slr0628/ssl3445/ssl2233/ssr2799/sll1745/sll1802/sll1809/sll1101/ssl1784/smr0011/sll1744/ssl3437/ssl1426/sml0006/sll1097/sll1810/sll1260/sll1743"
"syn01110","syn01110","Biosynthesis of secondary metabolites - Synechocystis sp. PCC 6803",287,-0.750295656917781,-1.36268389486918,1e-10,3.3e-09,1.84210526315789e-09,1086,"tags=60%, list=21%, signal=50%","slr1882/slr0204/slr2072/sll0418/sll0045/sll1848/sll0006/sll5079/slr0665/slr0940/slr1348/slr0585/slr0394/slr0985/slr1840/slr0682/sll0712/sll0329/sll0603/sll0378/sll0409/slr0194/sll0480/slr0879/slr2035/slr0549/slr0550/sll1973/sll0901/slr1289/sll0807/slr0054/slr0084/sll1558/slr1300/slr0055/slr0652/slr1518/sll0166/sll1112/sll1797/slr2074/slr0926/slr0212/sll0402/slr1133/slr1022/slr0348/sll0017/slr0458/slr0525/sll0578/sll0300/sll0421/sll1127/slr2094/sll0455/sll1282/sll0728/sll0936/sll1342/sll1058/slr1051/slr0839/slr0056/sll1370/slr1784/slr0506/sll0892/sll1214/sll1831/sll0179/sll1653/slr1665/slr1096/sll1669/slr0032/slr1848/sll1760/slr0752/slr1790/slr1030/slr1159/sll0053/slr0597/slr0886/slr0661/slr1165/slr1560/sll1945/sll1056/slr0116/sll0934/slr0966/slr1722/sll1363/slr0186/slr0526/slr1934/slr1367/sll0373/slr0738/slr2088/slr1887/slr0951/slr1777/slr0435/sll0401/sll1688/sll1747/slr0066/slr1349/sll1184/slr1898/slr0520/slr0611/slr1369/sll1894/slr0009/sll0147/sll0356/slr0838/sll1721/sll1908/sll0900/slr1542/slr1808/slr1254/slr0493/sll1958/sll0757/sll1275/slr0536/sll0065/sll1185/slr1867/slr0739/sll1662/sll0506/slr0444/sll1444/sll1470/sll0504/slr2130/slr1255/slr2136/slr0012/slr1510/sll0336/sll0711/sll1893/slr0452/sll0469/slr0608/slr1517/slr0546/slr0817/sll1815/slr0657/sll1994/ssl2084/slr1055/slr0543/slr0519/sll1070/sll0018/sll1841/sll1931/slr1226/sll1172/sll0019/slr0500/slr1945"
"syn01230","syn01230","Biosynthesis of amino acids - Synechocystis sp. PCC 6803",93,-0.780465260084391,-1.39330620440655,1.87119540753485e-10,4.11662989657666e-09,2.29795927241122e-09,1038,"tags=77%, list=20%, signal=63%","sll0006/slr0665/slr1348/slr0585/slr0394/slr0682/sll0712/slr0194/slr1756/sll0480/slr2035/slr0549/slr0550/slr1289/sll0807/slr0084/slr0055/slr0652/sll1112/slr0212/sll0402/slr1133/slr1022/sll0455/sll1342/sll1058/slr1665/sll1669/slr0032/slr1848/sll1760/slr0752/slr0661/slr1560/sll0934/slr0966/sll1363/slr0186/sll0373/slr0738/slr2088/sll0401/sll1688/sll1747/slr1898/sll0356/sll1908/sll0900/sll1958/sll1275/sll0065/slr1867/sll1662/slr0444/sll1444/sll1470/sll0504/slr2130/sll1893/slr0452/sll0469/slr0608/slr1517/slr0546/slr0657/slr0543/sll1070/sll0018/sll1931/sll1172/slr0500/slr1945"
"syn01120","syn01120","Microbial metabolism in diverse environments - Synechocystis sp. PCC 6803",129,-0.728058892290516,-1.30885320309637,2.6349165422524e-08,4.34761229471645e-07,2.42689681523247e-07,1010,"tags=50%, list=20%, signal=41%","slr0665/slr1348/sll1499/slr0394/slr1840/sll0712/sll0329/sll0378/slr0194/slr1756/slr0676/sll1709/sll0895/slr0549/slr0550/slr1289/sll0807/slr2141/sll0166/slr1022/sll0017/slr2094/sll0455/sll0728/sll1342/sll1058/slr0898/sll1831/sll0179/slr1665/slr1096/sll0992/sll1760/slr0752/sll0053/slr1165/sll0753/sll1454/slr1934/slr1887/slr0435/sll0401/sll1688/slr1349/slr0009/sll1721/sll1908/slr1791/sll0920/slr1808/sll1275/sll0504/slr0012/sll0336/sll0469/slr0657/sll1994/sll1070/sll0018/sll1841/sll1931/sll1525/sll1172/slr0963/slr1945"
"syn01232","syn01232","Nucleotide metabolism - Synechocystis sp. PCC 6803",27,-0.853251546539362,-1.48122369045878,3.42565268606251e-06,3.76821795466877e-05,2.10347094758225e-05,369,"tags=48%, list=7%, signal=45%","slr1722/sll0144/sll0398/slr0591/sll1823/slr0213/slr0379/slr1123/sll1815/sll1443/sll1635/sll1258/slr1164"
"syn01240","syn01240","Biosynthesis of cofactors - Synechocystis sp. PCC 6803",138,-0.700612710676099,-1.26114605166738,2.87192711632592e-06,3.76821795466877e-05,2.10347094758225e-05,1161,"tags=67%, list=23%, signal=54%","slr0387/slr0426/sll1916/slr0936/slr0903/slr1099/slr0618/slr1779/slr0553/slr1332/slr0900/slr1476/slr0636/slr1882/slr0204/sll0418/sll5079/slr0633/slr1691/slr1879/slr0901/slr0406/sll0603/sll0378/sll0868/sll0409/slr1626/slr1238/sll1501/sll0916/slr1093/slr1418/sll1612/sll1558/slr1300/slr0239/slr1518/sll0166/sll1797/slr0926/sll0635/sll0017/sll0300/sll0421/slr1538/slr0355/sll1127/sll1282/slr1787/slr0969/sll0936/sll0622/slr1051/slr0839/slr1364/sll0892/sll0179/sll1653/slr1096/sll1890/sll0250/slr0032/sll1018/slr1790/slr0812/slr0118/slr0886/slr0185/sll0037/sll0753/slr0526/slr1598/slr1887/slr1979/slr0066/sll1894/sll1498/sll0144/slr1808/slr0493/slr0536/sll1185/sll1605/sll1069/sll1823/sll0838/slr0917/slr0817/sll1815/sll1994/sll1443/sll1931/sll0370"
"syn01200","syn01200","Carbon metabolism - Synechocystis sp. PCC 6803",73,-0.723501077691926,-1.28643570702608,5.19165103225727e-05,0.000489498525898543,0.000273244791171435,1010,"tags=51%, list=20%, signal=41%","slr0665/slr1348/slr0394/sll0712/sll0329/slr0194/slr0879/sll1709/slr1289/sll0807/slr2141/slr2094/sll0728/sll1342/slr1096/sll0992/slr0752/sll0053/sll0753/slr1934/slr0435/sll0401/slr1349/slr0009/sll1721/sll1908/sll0920/sll1275/slr0012/sll0336/sll0469/sll1070/sll0018/sll1841/sll1931/sll1525/slr1945"
"syn00230","syn00230","Purine metabolism - Synechocystis sp. PCC 6803",45,-0.756384393872462,-1.3260796044106,0.000252911442712927,0.00208651940238165,0.00116472374933585,842,"tags=49%, list=16%, signal=41%","slr0676/sll0901/sll0578/sll0421/slr1159/slr0597/slr1165/sll1056/slr1722/slr0520/slr0838/sll0398/slr0591/sll0757/sll1823/slr0213/sll0469/slr1123/sll1815/slr0519/slr1226/slr1164"
"syn00970","syn00970","Aminoacyl-tRNA biosynthesis - Synechocystis sp. PCC 6803",26,-0.811085826574063,-1.40505523425706,0.000326473392429603,0.00239413821115042,0.00133644078772352,608,"tags=77%, list=12%, signal=68%","slr0070/sll0179/slr0638/slr0877/sll1553/slr1550/sll1425/slr0357/sll0502/slr1720/sll0362/sll0454/slr0220/slr0958/sll1362/sll1435/slr1884/slr0557/sll1074/sll0078"
"syn00400","syn00400","Phenylalanine, tyrosine and tryptophan biosynthesis - Synechocystis sp. PCC 6803",18,-0.842953482495955,-1.43842231337893,0.000449690721231551,0.0029459060365645,0.001644445155977,733,"tags=89%, list=14%, signal=76%","slr0055/sll1112/sll0402/sll1669/sll0934/slr0966/slr0738/sll1747/sll0356/sll1958/slr1867/sll1662/slr0444/slr2130/slr0546/slr0543"
