sgRNA_target	locus	Gene name	Product	wmean_fitness_CO2_30percent	wmean_fitness_CO2_4percent	sd_fitness_CO2_30percent	sd_fitness_CO2_4percent	p_fitness_adj_CO2_30percent	p_fitness_adj_CO2_4percent	comb_score_CO2_30percent	comb_score_CO2_4percent
aat	sll0869	aat	Leu/Phe-tRNA-protein transferase	0.06867305523859495	0.1993224583622056	0.4256796534834337	0.08594778286057855	0.8485361072467434	0.2903862800259684	0.004898426552184123	0.10704092529036995
abfB	slr0518	abfB	similar to alpha-L-arabinofuranosidase B	-0.11311744240120644	-1.9135100244069743	0.17312600097898442	1.329325838092267	0.8485361072467434	0.9445730452674896	0.008068630141007902	0.04738702675282599
accA	sll0728	accA	acetyl-CoA carboxylase alpha subunit	-2.2016877732610927	-2.719174319155742	0.5430920381618598	0.6556293623388508	0.3039354473386183	0.2903862800259684	1.138753969294262	1.460261615975694
accB	slr0435	accB	biotin carboxyl carrier protein of acetyl-CoA c arboxylase	-3.5813446035879886	-3.7961079964419278	1.5134109818418338	1.9149107752738705	0.3039354473386183	0.38083581665957145	1.8523382072044488	1.5915646433724007
accC	sll0053	accC	biotin carboxylase	-2.8880821076251366	-3.291672962775896	1.715278711352747	1.8693389741817876	0.3039354473386183	0.49200989978000487	1.4937699176275754	1.0139213782966372
accD	sll0336	accD;  ycf11;  zfpA	acetyl-CoA carboxylase beta subunit	-4.64200662352653	-5.142811959972289	1.0432270395593084	1.3304578274731236	0.3039354473386183	0.2903862800259684	2.400932381162034	2.7618129703651895
ackA	sll1299	ackA	acetate kinase	0.23068791864571367	0.13408947519802686	0.15194779202970202	0.1411171020903253	0.3953668238067177	0.38083581665957145	0.09296717958657394	0.05621865025272463
acp	ssl2084	acpP	acyl carrier protein	-4.262111838886249	-5.7103939136269615	1.4826348296975214	2.405879064034892	0.3039354473386183	0.2903862800259684	2.2044437149773	3.066618048511024
acs	sll0542	acs	acetyl-coenzyme A synthetase	0.4264096323569702	0.18207441572741886	0.20705311617908445	0.08310074284422211	0.3039354473386183	0.2903862800259684	0.22054701274585478	0.09777831405104662
act	sll1900	act	acetyltransferase	0.38591228198290245	0.44454871902338694	0.21578145809589755	0.2687920852658329	0.3039354473386183	0.38083581665957145	0.19960102801339502	0.18638248019215384
adk	sll1059	adk1	adenylate kinase	0.3875392553437445	0.13655237628666725	0.41728684321071136	0.101314973141798	0.7799007804716042	0.49200989978000487	0.04183898798761178	0.04206170392380043
adk2	sll1815	adk2	adenylate kinase	-2.974884621370054	-5.573652172632304	2.257312841026396	2.799392550550686	0.6415543124880474	0.2903862800259684	0.5734583087045451	2.9931844645478654
agp	slr1176	glgC	glucose-1-phosphate adenylyltransferase	-0.2271016016346669	-0.165774830117186	0.3631249383398183	0.6671939154471629	0.8485361072467434	0.8418815484032875	0.016199082909967733	0.012391504243383557
ahcY	sll1234	ahcY	adenosylhomocysteinase	-1.7707506559233972	-1.9294634993773014	0.8664344398094903	1.0719875638102243	0.3039354473386183	0.38083581665957145	0.9158652568962878	0.8089511386833055
alaS	sll0362	alaS	alanyl-tRNA synthetase	-2.98657547738867	-4.352491984860654	1.4587180312600503	2.2128235257132705	0.3039354473386183	0.2903862800259684	1.544712524989773	2.337392249757359
alr	slr0827	alr	alanine racemase	-3.8063620187875795	-2.4789548913520583	2.00390209951298	1.9829218550332937	0.3039354473386183	0.9445730452674896	1.9687214100503876	0.061389958901289086
ama	sll0100	ama	N-acyl-L-amino acid amidohydrolase	0.24334820952132682	-1.5386404813078913	0.3856934062162514	1.1582981235070042	0.8485361072467434	0.9445730452674896	0.017357948132702323	0.03810358802448109
ama2	slr1653	ama	N-acyl-L-amino acid amidohydrolase	0.454825529816368	0.15142877160055968	0.27200679459951604	0.17746189201824036	0.3953668238067177	0.38083581665957145	0.18329458672664906	0.06348836205257112
amiA	slr1910	amiA	probable N-acetylmuramoyl-L-alanine amidase	-1.877454478651021	-0.8278011402425198	1.2227459100096443	0.5384867092481062	0.8485361072467434	0.7642900732302685	0.1339182134359532	0.09663897950179538
amiA2	slr0891	amiA	N-acetylmuramoyl-L-alanine amidase	-0.8468786210860259	0.057823808868781884	0.6531278050654725	0.18581631166120793	0.5048438675696012	0.49200989978000487	0.25138991838732916	0.01781124572507789
amiA3	slr1744	amiA	N-acetylmuramoyl-L-alanine amidase;  periplasmic protein	-4.908422382418665	-2.8226318247607836	3.1824297801706467	2.4094300683419023	0.5048438675696012	0.7642900732302685	1.4570304071962463	0.32951906658917834
amiC	slr0447	urtA	periplasmic protein;  ABC-type urea transport sy stem substrate-binding protein	0.7943202206597386	-1.6628964270977102	1.0518196201126044	1.2318446762126198	1	0.49200989978000487	-0	0.5122155986922853
ams1	slr0323	ams1	putative alpha-mannosidase	0.25709771753239813	0.18160890205841476	0.3298178446271013	0.7464501991922015	0.3953668238067177	0.8418815484032875	0.10361032262743	0.013575085427035368
amt1	sll0108	amt1	ammonium/methylammonium permease	1.8877879994742532	-0.5487380229691057	0.2685524354379078	0.15003459235872338	0.3039354473386183	0.2903862800259684	0.9763991532746953	0.2946854368707646
amt2	sll1017	amt2	ammonium/methylammonium permease	0.3922002489802607	0.01854254213797282	0.18283821414418647	0.08465724649542573	0.3039354473386183	0.49200989978000487	0.20285328179069928	0.005711588026594872
amt3	sll0537	amt3	ammonium/methylammonium permease	0.2755197137239637	0.07886819162131486	0.2674365371648812	0.1415022700223335	0.6415543124880474	0.6202620874549323	0.05311099056142209	0.016359216001924647
ank	slr1109	ank	similar to ankyrin	0.3440258407907444	-0.3696134503585772	0.20076219267062412	0.7003811812609436	0.3039354473386183	1	0.17793657960864648	-0
apcA	slr2067	apcA	allophycocyanin alpha subunit	-2.131281806961976	-4.696244617251704	1.180136009231801	1.6700270780929884	0.3039354473386183	0.2903862800259684	1.1023386907253288	2.5219956313556033
apcB	slr1986	apcB	allophycocyanin beta subunit	-0.3968869522632089	-3.5586247667825934	1.02230439115651	1.3968077086822799	0.7799007804716042	0.2903862800259684	0.04284817137673298	1.9110665748735485
apcC	ssr3383	apcC	phycobilisome small core linker polypeptide	0.7015406958578535	0.028111417285250878	0.37710372499931044	0.17144684661157855	0.3953668238067177	0.9445730452674896	0.28272074342684245	6.961638381637856e-4
apcD	sll0928	apcD	allophycocyanin-B	-0.04849275211270516	-1.7741514525406383	0.44739465009287227	1.3974474826112402	0.6415543124880474	0.6202620874549323	0.009347781561415209	0.36800294561840485
apcE	slr0335	apcE	phycobilisome core-membrane linker polypeptide	0.20772003482536572	-4.572717980525704	0.6899383664077983	2.647541311873276	0.7799007804716042	0.2903862800259684	0.022425588948753343	2.455658874314754
apcF	slr1459	apcF	phycobilisome core component	0.7275981567560962	-2.2429420473442994	1.8508667095597668	0.864209929965775	0.8485361072467434	0.2903862800259684	0.0518993383648269	1.2045135008526184
ape2	sll1343	ape2	aminopeptidase	-1.0975638931622584	-1.7583836051579727	1.76463165064523	1.3769272420674585	0.9518401811534895	0.8418815484032875	0.023527342038189875	0.13143743166202293
apqZ	slr2057	apqZ	water channel protein	0.04781008358126477	0.0589227537293177	0.7705336367108605	0.193936711436654	0.8485361072467434	0.9445730452674896	0.003410277612710466	0.0014591896941782117
apt	sll1430	apt	adenine phosphoribosyltransferase	0.06057656214315309	0.12472970178581093	0.14199696873423656	0.06847866552982007	0.8485361072467434	0.2903862800259684	0.004320906349820992	0.06698283173932941
arcC	sll0573	arcC	carbamate kinase	0.0027817706238843047	-1.0481643849057318	0.17003242981048527	0.9560420084629007	0.6415543124880474	0.8418815484032875	5.362323855242538e-4	0.07834924888260454
argB	slr1898	argB	N-acetylglutamate kinase	-2.73225889643245	-3.923053583379166	1.4654045219394491	1.4824458605961697	0.3039354473386183	0.2903862800259684	1.4131752472983563	2.106773561690285
argC	sll0080	argC	N-acetyl-gamma-glutamyl-phosphate reductase	0.28824502574844796	-0.5304420881754363	0.3509856270581515	0.4834707859506954	0.3953668238067177	0.2903862800259684	0.11616268086777203	0.2848600824904376
argD	slr1022	argD	N-acetylornithine aminotransferase	-2.0448084298254723	-2.4940468238091107	0.9704972247174626	1.2244954705236848	0.3953668238067177	0.38083581665957145	0.8240573395942646	1.0456595933019683
argF	sll0902	argF	ornithine carbamoyltransferase	0.4957864397631276	-0.3880260635129646	0.37712324730266367	0.5139739570080484	0.3953668238067177	0.8418815484032875	0.19980182426819612	0.0290045636552026
argG	slr0585	argG	argininosuccinate synthetase	-1.2044230412890742	-1.5636554172710033	0.8377746572700514	0.9349620585823428	0.6415543124880474	0.6202620874549323	0.23217250015710797	0.3243408552656947
argH	slr1133	argH	L-argininosuccinate lyase	-2.3767741140561434	-2.491330981470729	1.4224052303194903	1.476029667836726	0.6415543124880474	0.6202620874549323	0.4581625969049085	0.5167637398592495
argJ	sll1883	argJ	arginine biosynthesis bifunctional protein ArgJ	-0.35549221996526126	-1.3148910190373446	0.5020682271196536	1.020698717238733	1	0.8418815484032875	-0	0.09828680041759265
argS	sll0502	argS	arginyl-tRNA-synthetase	-3.4480127857404073	-4.086982690808371	1.7197365249703502	2.4709852168479953	0.3039354473386183	0.49200989978000487	1.7833765048908359	1.2588975787692938
aroA	slr0444	aroA	3-phosphoshikimate 1-carboxyvinyltransferase	-1.9269818588246748	-4.599520410393123	1.3987206483270886	2.4879676422299184	0.8485361072467434	0.38083581665957145	0.13745098525249524	1.9284051108432145
aroB	slr2130	aroB	3-dehydroquinate synthase	-2.8704670110858705	-4.902625910495557	1.966734889877066	2.573393966542493	0.3039354473386183	0.38083581665957145	1.4846590612440296	2.0554857939077915
aroC	sll1747	aroC	chorismate synthase	-2.203793658888753	-3.849267369690092	1.749953731014265	1.9652713779742115	0.5048438675696012	0.38083581665957145	0.6541805333804508	1.6138523598980938
aroE	slr1559	aroE	shikimate 5-dehydrogenase	-1.5238967137162773	-2.8660138209024337	0.8672990738540519	1.1104794060544545	0.3039354473386183	0.2903862800259684	0.7881877951152624	1.5391179388672198
aroH	sll0109	aroH	chorismate mutase	-2.4171401649184654	-0.5416048140864094	1.4823086559817513	0.566403795115837	0.3953668238067177	0.8418815484032875	0.9741069455093949	0.04048442304084702
