"","locus","CO2_30percent","CO2_4percent","difference","Gene name","Product"
"1","sll0869",0.0686730552385949,0.199322458362206,0.130649403123611,"aat","Leu/Phe-tRNA-protein transferase"
"2","slr0518",-0.113117442401206,-1.91351002440697,-1.80039258200577,"abfB","similar to alpha-L-arabinofuranosidase B"
"3","sll0728",-2.20168777326109,-2.71917431915574,-0.517486545894649,"accA","acetyl-CoA carboxylase alpha subunit"
"4","slr0435",-3.58134460358799,-3.79610799644193,-0.214763392853939,"accB","biotin carboxyl carrier protein of acetyl-CoA c arboxylase"
"5","sll0053",-2.88808210762514,-3.2916729627759,-0.403590855150759,"accC","biotin carboxylase"
"6","sll0336",-4.64200662352653,-5.14281195997229,-0.500805336445759,"accD;  ycf11;  zfpA","acetyl-CoA carboxylase beta subunit"
"7","sll1299",0.230687918645714,0.134089475198027,-0.0965984434476868,"ackA","acetate kinase"
"8","ssl2084",-4.26211183888625,-5.71039391362696,-1.44828207474071,"acpP","acyl carrier protein"
"9","sll0542",0.42640963235697,0.182074415727419,-0.244335216629551,"acs","acetyl-coenzyme A synthetase"
"10","sll1900",0.385912281982902,0.444548719023387,0.0586364370404845,"act","acetyltransferase"
"11","sll1059",0.387539255343745,0.136552376286667,-0.250986879057077,"adk1","adenylate kinase"
"12","sll1815",-2.97488462137005,-5.5736521726323,-2.59876755126225,"adk2","adenylate kinase"
"13","slr1176",-0.227101601634667,-0.165774830117186,0.0613267715174809,"glgC","glucose-1-phosphate adenylyltransferase"
"14","sll1234",-1.7707506559234,-1.9294634993773,-0.158712843453904,"ahcY","adenosylhomocysteinase"
"15","sll0362",-2.98657547738867,-4.35249198486065,-1.36591650747198,"alaS","alanyl-tRNA synthetase"
"16","slr0827",-3.80636201878758,-2.47895489135206,1.32740712743552,"alr","alanine racemase"
"17","sll0100",0.243348209521327,-1.53864048130789,-1.78198869082922,"ama","N-acyl-L-amino acid amidohydrolase"
"18","slr1653",0.454825529816368,0.15142877160056,-0.303396758215808,"ama","N-acyl-L-amino acid amidohydrolase"
"19","slr1910",-1.87745447865102,-0.82780114024252,1.0496533384085,"amiA","probable N-acetylmuramoyl-L-alanine amidase"
"20","slr0891",-0.846878621086026,0.0578238088687819,0.904702429954808,"amiA","N-acetylmuramoyl-L-alanine amidase"
"21","slr1744",-4.90842238241866,-2.82263182476078,2.08579055765788,"amiA","N-acetylmuramoyl-L-alanine amidase;  periplasmic protein"
"22","slr0447",0.794320220659739,-1.66289642709771,-2.45721664775745,"urtA","periplasmic protein;  ABC-type urea transport sy stem substrate-binding protein"
"23","slr0323",0.257097717532398,0.181608902058415,-0.0754888154739834,"ams1","putative alpha-mannosidase"
"24","sll0108",1.88778799947425,-0.548738022969106,-2.43652602244336,"amt1","ammonium/methylammonium permease"
"25","sll1017",0.392200248980261,0.0185425421379728,-0.373657706842288,"amt2","ammonium/methylammonium permease"
"26","sll0537",0.275519713723964,0.0788681916213149,-0.196651522102649,"amt3","ammonium/methylammonium permease"
"27","slr1109",0.344025840790744,-0.369613450358577,-0.713639291149322,"ank","similar to ankyrin"
"28","slr2067",-2.13128180696198,-4.6962446172517,-2.56496281028973,"apcA","allophycocyanin alpha subunit"
"29","slr1986",-0.396886952263209,-3.55862476678259,-3.16173781451938,"apcB","allophycocyanin beta subunit"
"30","ssr3383",0.701540695857854,0.0281114172852509,-0.673429278572603,"apcC","phycobilisome small core linker polypeptide"
"31","sll0928",-0.0484927521127052,-1.77415145254064,-1.72565870042793,"apcD","allophycocyanin-B"
"32","slr0335",0.207720034825366,-4.5727179805257,-4.78043801535107,"apcE","phycobilisome core-membrane linker polypeptide"
"33","slr1459",0.727598156756096,-2.2429420473443,-2.9705402041004,"apcF","phycobilisome core component"
"34","sll1343",-1.09756389316226,-1.75838360515797,-0.660819711995714,"ape2","aminopeptidase"
"35","slr2057",0.0478100835812648,0.0589227537293177,0.0111126701480529,"apqZ","water channel protein"
"36","sll1430",0.0605765621431531,0.124729701785811,0.0641531396426578,"apt","adenine phosphoribosyltransferase"
"37","sll0573",0.0027817706238843,-1.04816438490573,-1.05094615552962,"arcC","carbamate kinase"
"38","slr1898",-2.73225889643245,-3.92305358337917,-1.19079468694672,"argB","N-acetylglutamate kinase"
"39","sll0080",0.288245025748448,-0.530442088175436,-0.818687113923884,"argC","N-acetyl-gamma-glutamyl-phosphate reductase"
"40","slr1022",-2.04480842982547,-2.49404682380911,-0.449238393983638,"argD","N-acetylornithine aminotransferase"
"41","sll0902",0.495786439763128,-0.388026063512965,-0.883812503276092,"argF","ornithine carbamoyltransferase"
"42","slr0585",-1.20442304128907,-1.563655417271,-0.359232375981929,"argG","argininosuccinate synthetase"
"43","slr1133",-2.37677411405614,-2.49133098147073,-0.114556867414586,"argH","L-argininosuccinate lyase"
"44","sll1883",-0.355492219965261,-1.31489101903734,-0.959398799072083,"argJ","arginine biosynthesis bifunctional protein ArgJ"
"45","sll0502",-3.44801278574041,-4.08698269080837,-0.638969905067964,"argS","arginyl-tRNA-synthetase"
"46","slr0444",-1.92698185882467,-4.59952041039312,-2.67253855156845,"aroA","3-phosphoshikimate 1-carboxyvinyltransferase"
"47","slr2130",-2.87046701108587,-4.90262591049556,-2.03215889940969,"aroB","3-dehydroquinate synthase"
"48","sll1747",-2.20379365888875,-3.84926736969009,-1.64547371080134,"aroC","chorismate synthase"
"49","slr1559",-1.52389671371628,-2.86601382090243,-1.34211710718616,"aroE","shikimate 5-dehydrogenase"
"50","sll0109",-2.41714016491847,-0.541604814086409,1.87553535083206,"aroH","chorismate mutase"
"51","sll1669",-2.5825231114861,-3.07016085210133,-0.48763774061523,"aroK","shikimate kinase"
"52","sll1112",-1.40170204234532,-2.37569393214034,-0.97399188979502,"aroQ","3-dehydroquinate dehydratase"
"53","sll1957",-0.328060256928859,0.309970124682805,0.638030381611664,"arsA","transcriptional regulator"
"54","slr0946",0.0879755505775271,0.221743583733456,0.133768033155929,"arsC","arsenate reductase"
