sgRNA_target	locus	Gene name	Product	wmean_fitness_CO2_30percent	wmean_fitness_CO2_4percent	sd_fitness_CO2_30percent	sd_fitness_CO2_4percent	p_fitness_adj_CO2_30percent	p_fitness_adj_CO2_4percent	comb_score_CO2_30percent	comb_score_CO2_4percent	p_fitness_condition_CO2_30percent	p_fitness_condition_CO2_4percent	p_fitness_condition_adj_CO2_30percent	p_fitness_condition_adj_CO2_4percent	impact_score	combined_impact_score
nc_NC-3547510	NA	NC-3547510	NA	-0.24130202053547278	0.1276102008351649	NA	NA	0.49333821959901863	1	0.07404478890174236	-0	1	1	1	1	-0.2608603333937707	-0
nc_ncl0020	NA	ncl0020	NA	-1.6474405902799463	-0.678481354118779	1.1807279614731154	0.671408577526644	0.45827043095318637	0.7994991339779918	0.558281642359393	0.06593617654887178	0.8857142857142857	0.8857142857142857	1	1	-0.6851576465828987	-0
nc_ncl0050	NA	ncl0050	NA	-0.01824770556103063	-3.9592123386095315	NA	NA	0.6652586483325006	0.3366624508281357	0.0032300167070654045	1.8719366540661109	1	1	1	1	2.786682816444949	-0
nc_ncl0060	NA	ncl0060	NA	0.24036074264795076	0.3269291073001376	NA	NA	0.7324131804450047	0.6756228534615185	0.032507311929797854	0.055674610882538486	1	1	1	1	-0.061213077681791114	-0
nc_ncl0080	NA	ncl0080	NA	1.392310870482462	-0.06648481596116414	0.4154817162279246	0.05680567770522809	0.02733359653063263	0.3157428816068188	2.176604067707961	0.03328671557548939	0.1	0.1	0.6412783751493429	0.6412783751493429	1.0315243222499726	0.19903613019979702
nc_ncl0100	NA	ncl0100	NA	-0.8126822233290231	0.06559503786698911	NA	NA	0.41870951708492	0.9525074466803449	0.30726472003601774	0.0013861294360809253	1	1	1	1	-0.6210358071536487	-0
nc_ncl0110	NA	ncl0110	NA	-5.1582241992326905	-5.8841962081891985	NA	NA	0.27496316702089124	0.3366624508281357	2.8923477330774454	2.7820792672349013	1	1	1	1	0.5133397304847678	-0
nc_ncl0150	NA	ncl0150	NA	-0.1761220185815075	0.005701035528894371	NA	NA	0.49333821959901863	0.746352504788104	0.05404396390000132	7.243508005705809e-4	1	1	1	1	-0.12856831453751372	-0
nc_ncl0160	NA	ncl0160	NA	-2.9194825631129024	-2.7869031278031526	1.86333176058906	1.7089132979359027	0.7324131804450047	0.4610569652166894	0.3948420582629032	0.937083392301453	0.5476190476190477	0.5476190476190477	0.9596295259860393	0.9596295259860393	-0.09374781775340728	0.0016777482655144504
nc_ncl0170	NA	ncl0170	NA	0.514388600964867	0.1315336331523281	0.3198193486854467	0.012398286167538502	0.4369213053105286	1	0.18497248331729577	-0	0.3333333333333333	0.3333333333333333	0.8858294993655463	0.8858294993655463	0.2707193439512036	0.014253335881746793
nc_ncl0200	NA	ncl0200	NA	-4.586382994037273	-8.005507108554054	0.8449273336837849	0.7175838297455057	0.02733359653063263	0.03195053205233067	7.169907304845604	11.972411244754662	0.1	0.1	0.6412783751493429	0.6412783751493429	2.4176858470932654	0.4665007161388574
nc_ncl0215	NA	ncl0215	NA	-0.8987610799906323	-0.07322858344502639	0.42332425762313025	0.31794950649369935	0.11635175242516728	0.7739566832797656	0.839646931492333	0.008149121728661566	0.1	0.1	0.6412783751493429	0.6412783751493429	-0.583739626397258	0.11263454847963338
nc_ncl0230	NA	ncl0230	NA	0.30450170476738936	0.2055771789456443	0.015285763131745837	0.15018716050845085	0.3219508045569536	0.8914439249771854	0.14987893186789228	0.010259528589142003	0.7	0.7	0.9838308457711443	0.9838308457711443	0.06995020303421964	4.952170266856955e-4
