"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"syn03010","syn03010","Ribosome - Synechocystis sp. PCC 6803",54,-0.863720713091449,-1.52501091391823,1e-10,3.35e-09,1.63157894736842e-09,535,"tags=87%, list=10%, signal=79%","sll1801/ssr1399/sll1803/ssr1736/slr1356/ssl0601/sll1812/slr0469/sll1096/sll1799/sll0767/ssr0482/ssl3436/sll1813/ssl3432/sll1819/sll1740/sll1822/sll1816/sll1800/sll1824/ssr1398/sll1805/sll1804/slr1678/sll1808/sll1807/sll1817/sll1746/slr0628/ssl3445/ssl2233/ssr2799/sll1745/sll1809/sll1802/sll1101/ssl1784/smr0011/sll1744/ssl3437/ssl1426/sml0006/sll1097/sll1810/sll1743/sll1260"
"syn01110","syn01110","Biosynthesis of secondary metabolites - Synechocystis sp. PCC 6803",298,-0.747604524142043,-1.35946293639406,1e-10,3.35e-09,1.63157894736842e-09,1085,"tags=59%, list=21%, signal=49%","slr1882/slr0204/sll0418/slr2072/sll0045/sll1848/sll0006/sll5079/slr0665/slr0940/slr1348/slr0585/slr0394/slr0985/slr1840/slr0682/sll0712/sll0329/sll0603/sll0378/sll0409/slr0194/slr1756/sll0480/slr0879/slr0549/slr2035/sll1973/slr0550/slr1289/sll0901/sll0807/slr0054/slr0084/sll1558/slr1300/slr0055/slr0652/slr1518/sll0166/sll1112/sll1797/slr2074/slr0926/slr0212/sll0402/slr1133/slr1022/slr0348/slr0525/slr0458/sll0017/sll0578/sll0300/sll0421/sll1127/slr2094/sll0455/sll1282/sll0728/sll0936/sll1342/sll1058/slr1051/slr0839/slr0056/sll1370/slr1784/slr0506/sll0892/sll1214/sll1831/sll1653/slr1665/sll0179/slr1096/sll1669/slr0032/slr1848/sll1760/slr0752/slr1790/slr1030/slr1159/sll0053/slr0597/slr0886/slr0661/slr1165/slr1560/slr0116/sll1945/sll1056/sll0934/slr0966/slr1722/sll1363/slr0186/slr0526/slr1934/slr1367/sll0373/slr0738/slr2088/slr1887/slr0951/slr1777/slr0435/sll1688/sll1747/slr0066/slr0536/slr1349/slr0520/sll1184/slr1898/sll1894/slr0611/slr1369/sll0147/slr0009/sll0356/slr0838/sll1721/sll1498/sll1908/sll0900/slr1542/slr1808/slr1254/slr0493/sll1958/sll0757/sll1275/sll0065/sll1185/slr1867/slr0739/sll1662/sll0506/slr0444/sll1444/sll1470/sll0504/slr2130/slr1255/slr2136/slr0012/slr1510/sll0711/sll0336/sll1893/slr0452/sll0469/slr0608/slr0546/slr1517/slr0817/sll1815/slr0657/sll1994/ssl2084/slr1226/slr1055/slr0543/slr0519/sll1070/sll0018/sll1841/sll1931/sll1172/sll0370/sll0019/slr0500/slr1945"
"syn01230","syn01230","Biosynthesis of amino acids - Synechocystis sp. PCC 6803",91,-0.780415574974098,-1.39254573280952,1.01018281562871e-09,2.25607495490411e-08,1.09879534331543e-08,1009,"tags=78%, list=20%, signal=64%","sll0006/slr0665/slr1348/slr0585/slr0394/slr0682/sll0712/slr0194/slr1756/sll0480/slr0549/slr2035/slr0550/slr1289/sll0807/slr0084/slr0055/slr0652/sll1112/slr0212/sll0402/slr1133/slr1022/sll0455/sll1342/sll1058/slr1665/sll1669/slr0032/slr1848/sll1760/slr0752/slr0661/slr1560/sll0934/slr0966/sll1363/slr0186/sll0373/slr0738/slr2088/sll1688/sll1747/slr1898/sll0356/sll1908/sll0900/sll1958/sll1275/sll0065/slr1867/sll1662/slr0444/sll1444/sll1470/sll0504/slr2130/sll1893/slr0452/sll0469/slr0608/slr0546/slr1517/slr0657/slr0543/sll1070/sll0018/sll1931/sll1172/slr0500/slr1945"
"syn01120","syn01120","Microbial metabolism in diverse environments - Synechocystis sp. PCC 6803",128,-0.726678599137477,-1.30596522010093,6.6591060146497e-08,1.11540025745383e-06,5.43242859089844e-07,1009,"tags=50%, list=20%, signal=41%","slr0665/slr1348/sll1499/slr0394/slr1840/sll0712/sll0329/sll0378/slr0194/slr1756/sll1709/slr0676/sll0895/slr0549/slr0550/slr1289/sll0807/slr2141/sll0166/slr1022/sll0017/slr2094/sll0455/sll0728/sll1342/sll1058/slr0898/sll1831/slr1665/sll0179/slr1096/sll0992/sll1760/slr0752/sll0053/slr1165/sll0753/sll1454/slr1934/slr1887/slr0435/sll1688/slr1349/slr0009/sll1721/sll1908/slr1791/sll0920/slr1808/sll1275/sll0504/slr0012/sll0336/sll0469/slr0657/sll1994/sll1070/sll0018/sll1841/sll1931/sll1525/sll1172/slr0963/slr1945"
"syn01240","syn01240","Biosynthesis of cofactors - Synechocystis sp. PCC 6803",139,-0.700049003293565,-1.26002007264715,1.58291963250772e-06,2.12111230756034e-05,1.0330633391103e-05,1336,"tags=68%, list=26%, signal=51%","slr0387/slr0426/sll1916/slr0936/slr0903/slr1099/slr0618/slr1779/slr0553/slr1332/slr0900/slr1476/slr0636/slr1882/slr0204/sll0418/sll5079/slr0633/slr1691/slr1879/slr0901/slr0406/sll0603/sll0378/sll0868/sll0409/slr1626/slr1238/sll1501/sll0916/slr1093/slr1418/sll1558/slr1300/sll1612/slr0239/slr1518/sll0166/sll1797/slr2074/slr0926/sll0635/sll0017/sll0300/sll0421/slr1538/slr0355/sll1127/sll1282/slr1787/slr0969/sll0936/sll0622/slr1051/slr0839/slr1364/sll0892/sll1653/sll0179/slr1096/sll1890/sll0250/slr0032/sll1018/slr1790/slr0812/slr0118/slr0886/slr0185/sll0037/sll0753/slr0526/slr1598/slr1887/slr1979/slr0066/slr0536/sll1894/sll1498/sll0144/slr1808/slr0493/sll1185/sll1605/sll1069/sll1823/sll0838/slr0917/slr0817/sll1815/sll1994/sll1443/sll1931/sll0370"
"syn01232","syn01232","Nucleotide metabolism - Synechocystis sp. PCC 6803",30,-0.843393295850709,-1.45887409480898,7.16260700451875e-06,7.99824448837927e-05,3.89545293228213e-05,367,"tags=43%, list=7%, signal=40%","slr1722/sll0144/sll0398/slr0591/sll1823/slr0213/slr0379/slr1123/sll1815/sll1443/sll1258/sll1635/slr1164"
"syn01200","syn01200","Carbon metabolism - Synechocystis sp. PCC 6803",72,-0.721267634543721,-1.27807571721924,0.000130368783663072,0.00124781550077512,0.00060773417948199,1009,"tags=50%, list=20%, signal=41%","slr0665/slr1348/slr0394/sll0712/sll0329/slr0194/slr0879/sll1709/slr1289/sll0807/slr2141/slr2094/sll0728/sll1342/slr1096/sll0992/slr0752/sll0053/sll0753/slr1934/slr0435/slr1349/slr0009/sll1721/sll1908/sll0920/sll1275/slr0012/sll0336/sll0469/sll1070/sll0018/sll1841/sll1931/sll1525/slr1945"
"syn00240","syn00240","Pyrimidine metabolism - Synechocystis sp. PCC 6803",28,-0.801069150248332,-1.38270009872986,0.000216740329454196,0.00181520025917889,0.000884072396457904,442,"tags=43%, list=9%, signal=39%","sll1018/slr0185/sll1498/sll0144/slr0591/slr0379/sll0838/sll1443/sll1258/sll0370/sll1635/slr1164"
"syn00195","syn00195","Photosynthesis - Synechocystis sp. PCC 6803",63,-0.719750737245493,-1.27533958199052,0.000321264234309508,0.00239163374430412,0.00116481769164851,1110,"tags=59%, list=22%, signal=47%","smr0006/slr1185/ssl0020/slr0906/ssl2615/smr0007/sll1323/sll1326/slr0737/slr1835/sll0258/sml0001/sll1322/ssr3451/ssl2598/smr0010/sll1324/sll1281/slr0342/smr0008/sll0427/slr1645/slr0927/sll1325/sml0004/slr1643/slr1834/sll1317/ssl0563/slr1329/slr0343/sll1327/sll1316/sll0849/sll0851/sml0005/slr1330"
"syn00970","syn00970","Aminoacyl-tRNA biosynthesis - Synechocystis sp. PCC 6803",26,-0.809088254033552,-1.39284983623202,0.000358076889383769,0.00239911515887125,0.00116846142851546,480,"tags=77%, list=9%, signal=70%","slr0070/sll0179/slr0638/slr0877/sll1553/slr1550/sll1425/sll0502/slr0357/slr1720/sll0454/sll0362/slr0220/slr0958/sll1362/sll1435/slr1884/slr0557/sll1074/sll0078"
