sgRNA_target	num_sgRNAs	p_fitness_condition	p_fitness_condition_2	condition	wmean_fitness	sd_fitness	p_fitness_adj	comb_score	p_fitness_condition_adj
AT103	5	0.35439798416825935	0.5476190476190477	CO2_30percent	-0.9386834298765219	0.8930264524146933	0.6326011029152486	0.18667602555637294	0.5852118689503559
AT103	5	0.35439798416825935	0.5476190476190477	CO2_4percent	0.14099013548734532	0.3061236423293512	0.9143550542857183	0.005482419763265344	0.5852118689503559
ESI3	4	1	1	CO2_30percent	-1.1347717857249089	0.8078432654053737	0.45827043095318637	0.38454937918577703	1
ESI3	4	1	1	CO2_4percent	-0.2925192259038485	0.33626318187497317	0.746352504788104	0.037166324326842325	1
ETR1	5	0.9180430114611047	1	CO2_30percent	0.2945492735479052	0.21582652597974047	0.9458951075850284	0.007115432930782193	0.9371170758365387
ETR1	5	0.9180430114611047	1	CO2_4percent	0.3182558486941448	0.27888993592516065	0.9525074466803449	0.006725261764074354	0.9371170758365387
Era	5	0.021557177099591207	0.09523809523809523	CO2_30percent	-0.057978713965215006	1.9469291226231888	0.11635175242516728	0.05416528414122234	0.13824151503232474
Era	5	0.021557177099591207	0.09523809523809523	CO2_4percent	-2.735635985837948	1.1715601956307005	0.009421249262526892	5.542101706439286	0.13824151503232474
HAGH1	5	0.9180430114611047	1	CO2_30percent	-0.4022791787024125	0.6667349612476848	0.8313727550868939	0.03226448447522151	0.9371170758365387
HAGH1	5	0.9180430114611047	1	CO2_4percent	-0.3353640047361429	0.7366799752371154	0.9143550542857183	0.01304067295983461	0.9371170758365387
IAP75	5	0.9180430114611047	1	CO2_30percent	-4.495462851591853	2.004271268168174	0.009038483826191542	9.18829636886534	0.9371170758365387
IAP75	5	0.9180430114611047	1	CO2_4percent	-4.849474349934249	2.924723927725019	0.11637526973709758	4.530084571668821	0.9371170758365387
ICFG	5	0.7059529851215194	0.8412698412698413	CO2_30percent	-0.37320397125119475	0.33181383161994205	0.2871038646357691	0.20226198310649843	0.8422789991975005
ICFG	5	0.7059529851215194	0.8412698412698413	CO2_4percent	-0.09495685873047664	0.2794208737611252	0.5399302538694818	0.025416374727522215	0.8422789991975005
Sac1	5	0.35439798416825935	0.5476190476190477	CO2_30percent	-2.497440092017532	1.4343634789844493	0.05405695937378547	3.164627182706326	0.5852118689503559
Sac1	5	0.35439798416825935	0.5476190476190477	CO2_4percent	-4.188574312025166	2.3453496807168204	0.03815504224914742	5.9412751121436855	0.5852118689503559
aat	5	0.043002747477351014	0.15079365079365079	CO2_30percent	0.06681147220071518	0.42702366079971704	0.45352377927595783	0.02294305534235973	0.18369856512907407
aat	5	0.043002747477351014	0.15079365079365079	CO2_4percent	0.19997699333467456	0.08605668579390915	0.8510688283109384	0.014005451898628828	0.18369856512907407
abfB	5	0.9180430114611047	1	CO2_30percent	-0.11296034731518968	0.17311534225941969	0.7324131804450047	0.015277192129712704	0.9371170758365387
abfB	5	0.9180430114611047	1	CO2_4percent	-1.9119373268912223	1.3297356534906997	0.4610569652166894	0.6428801554947868	0.9371170758365387
accA	5	0.043002747477351014	0.15079365079365079	CO2_30percent	-2.20163048518438	0.5431112230536168	0.009038483826191542	4.4999222683910425	0.18369856512907407
accA	5	0.043002747477351014	0.15079365079365079	CO2_4percent	-2.718763117231031	0.6556521830989752	0.009421249262526892	5.507919105251477	0.18369856512907407
accB	5	0.9180430114611047	1	CO2_30percent	-3.581026350472273	1.5134322326802183	0.00872410061899529	7.374333558573836	0.9371170758365387
accB	5	0.9180430114611047	1	CO2_4percent	-3.797898054261855	1.9155142226985218	0.0189548347205997	6.541043853731531	0.9371170758365387
accC	5	0.22994905679421349	0.42063492063492064	CO2_30percent	-2.879441369963582	1.7086572074456892	0.032729498465121507	4.276145071394908	0.46448454693496694
accC	5	0.22994905679421349	0.42063492063492064	CO2_4percent	-3.2926235345632473	1.8693283016903939	0.25913013692563736	1.9310646843137058	0.46448454693496694
accD	5	0.22994905679421349	0.42063492063492064	CO2_30percent	-4.641916549214877	1.043255309889823	0.00872410061899529	9.559002820646676	0.46448454693496694
accD	5	0.22994905679421349	0.42063492063492064	CO2_4percent	-5.142410613262048	1.330467907394476	0.009421249262526892	10.417965980309834	0.46448454693496694
ackA	5	0.51459819165810194	0.6904761904761905	CO2_30percent	0.23075072776718633	0.15193979325705156	0.9458951075850284	0.005574250132684706	0.7032732765690293
ackA	5	0.51459819165810194	0.6904761904761905	CO2_4percent	0.134585879840165	0.14111695074969752	1	-0	0.7032732765690293
acp	5	0.35439798416825935	0.5476190476190477	CO2_30percent	-4.256592642057216	1.4761758586223974	0.00872410061899529	8.765513261683003	0.5852118689503559
acp	5	0.35439798416825935	0.5476190476190477	CO2_4percent	-5.708114679900608	2.405882296267353	0.009421249262526892	11.564021043661718	0.5852118689503559
acs	5	0.08024166929066141	0.2222222222222222	CO2_30percent	0.4262739080020474	0.20698123111550426	0.2871038646357691	0.23102381705638175	0.26234028318417857
acs	5	0.08024166929066141	0.2222222222222222	CO2_4percent	0.1824857234984946	0.08310582591268531	0.8914439249771854	0.009107127099151856	0.26234028318417857
act	5	0.9180430114611047	1	CO2_30percent	0.3857228319794068	0.2160122018001706	0.7708972345456213	0.04358803477987517	0.9371170758365387
act	5	0.9180430114611047	1	CO2_4percent	0.44484977519283136	0.2691152991335569	0.7739566832797656	0.04950437108667476	0.9371170758365387
adk2	5	0.22994905679421349	0.42063492063492064	CO2_30percent	-2.9822008985365223	2.262498235297999	0.21242716088599387	2.006394809078003	0.46448454693496694
adk2	5	0.22994905679421349	0.42063492063492064	CO2_4percent	-5.571737437018722	2.797702920117038	0.009421249262526892	11.28773554573438	0.46448454693496694
adk	5	0.08024166929066141	0.2222222222222222	CO2_30percent	0.3876882958742618	0.41728481085933145	0.6326011029152486	0.07709959281804994	0.26234028318417857
adk	5	0.08024166929066141	0.2222222222222222	CO2_4percent	0.1367318556625255	0.10110327996392181	0.8308475819064807	0.011003993756085852	0.26234028318417857
agp	5	0.22994905679421349	0.42063492063492064	CO2_30percent	-0.22664395273938706	0.3631335895203464	0.3811252389316491	0.0949484702179078	0.46448454693496694
agp	5	0.22994905679421349	0.42063492063492064	CO2_4percent	-0.1645541086502369	0.6671918078939356	0.9143550542857183	0.006398707925715449	0.46448454693496694
ahcY	5	0.7059529851215194	0.8412698412698413	CO2_30percent	-1.7706802645915598	0.8664398408029246	0.016428079366291867	3.1596252507109743	0.8422789991975005
ahcY	5	0.7059529851215194	0.8412698412698413	CO2_4percent	-1.9290192531262824	1.0719833244749388	0.10024931516783314	1.9269331837145243	0.8422789991975005
alaS	5	0.51459819165810194	0.6904761904761905	CO2_30percent	-2.9858736587508403	1.472924961809336	0.012227041170706682	5.711016725361171	0.7032732765690293
