"","locus","CO2_30percent","CO2_4percent","difference","Gene name","Product"
"1","sll1874",-0.938683429876522,0.140990135487345,1.07967356536387,"acsF2; cycII; ycf59","hypothetical protein"
"2","ssr1169",-1.13477178572491,-0.292519225903848,0.84225255982106,"ESI3","stress induced hydrophobic peptide homolog"
"3","slr1212",0.294549273547905,0.318255848694145,0.0237065751462396,"ETR1; uirS","similar to two-component sensor histidine kinas e"
"4","slr0321",-0.057978713965215,-2.73563598583795,-2.67765727187273,"era","GTP-binding protein ERA homolog"
"5","sll1019",-0.402279178702412,-0.335364004736143,0.0669151739662696,"gloB","hydroxyacylglutathione hydrolase"
"6","slr1227",-4.49546285159185,-4.84947434993425,-0.354011498342397,"IAP75","chloroplastic outer envelope membrane protein h omolog"
"7","slr1860",-0.373203971251195,-0.0949568587304766,0.278247112520718,"icfG","carbon metabolisms regulatory protein IcfG"
"8","sll0640",-2.49744009201753,-4.18857431202517,-1.69113422000763,"Sac1","probable sodium/sulfate symporter"
"9","sll0869",0.0668114722007152,0.199976993334675,0.133165521133959,"aat","Leu/Phe-tRNA-protein transferase"
"10","slr0518",-0.11296034731519,-1.91193732689122,-1.79897697957603,"abfB","similar to alpha-L-arabinofuranosidase B"
"11","sll0728",-2.20163048518438,-2.71876311723103,-0.517132632046651,"accA","acetyl-CoA carboxylase alpha subunit"
"12","slr0435",-3.58102635047227,-3.79789805426186,-0.216871703789582,"accB","biotin carboxyl carrier protein of acetyl-CoA c arboxylase"
"13","sll0053",-2.87944136996358,-3.29262353456325,-0.413182164599665,"accC","biotin carboxylase"
"14","sll0336",-4.64191654921488,-5.14241061326205,-0.500494064047171,"accD;  ycf11;  zfpA","acetyl-CoA carboxylase beta subunit"
"15","sll1299",0.230750727767186,0.134585879840165,-0.0961648479270213,"ackA","acetate kinase"
"16","ssl2084",-4.25659264205722,-5.70811467990061,-1.45152203784339,"acpP","acyl carrier protein"
"17","sll0542",0.426273908002047,0.182485723498495,-0.243788184503553,"acs","acetyl-coenzyme A synthetase"
"18","sll1900",0.385722831979407,0.444849775192831,0.0591269432134245,"act","acetyltransferase"
"19","sll1815",-2.98220089853652,-5.57173743701872,-2.5895365384822,"adk2","adenylate kinase"
"20","sll1059",0.387688295874262,0.136731855662525,-0.250956440211736,"adk1","adenylate kinase"
"21","slr1176",-0.226643952739387,-0.164554108650237,0.0620898440891502,"glgC","glucose-1-phosphate adenylyltransferase"
"22","sll1234",-1.77068026459156,-1.92901925312628,-0.158338988534723,"ahcY","adenosylhomocysteinase"
"23","sll0362",-2.98587365875084,-4.35777213784007,-1.37189847908923,"alaS","alanyl-tRNA synthetase"
"24","slr0827",-3.8060982914975,-2.47827026974565,1.32782802175185,"alr","alanine racemase"
"25","slr1653",0.456797440825208,0.150418992641078,-0.30637844818413,"ama","N-acyl-L-amino acid amidohydrolase"
"26","sll0100",0.246615522297876,-1.53885381916065,-1.78546934145852,"ama","N-acyl-L-amino acid amidohydrolase"
"27","slr0891",-0.846412428154835,0.0588425570467057,0.90525498520154,"amiA","N-acetylmuramoyl-L-alanine amidase"
"28","slr1744",-4.90791626945823,-2.8187710187329,2.08914525072532,"amiA","N-acetylmuramoyl-L-alanine amidase;  periplasmic protein"
"29","slr1910",-1.87737338435712,-0.827291020883423,1.0500823634737,"amiA","probable N-acetylmuramoyl-L-alanine amidase"
"30","slr0447",0.79465463761497,-1.66288342318094,-2.45753806079591,"urtA","periplasmic protein;  ABC-type urea transport sy stem substrate-binding protein"
"31","slr0323",0.256984996487894,0.18240884324122,-0.0745761532466735,"ams1","putative alpha-mannosidase"
"32","sll0108",1.88755887039792,-0.548571459275016,-2.43613032967293,"amt1","ammonium/methylammonium permease"
"33","sll1017",0.358780318419182,0.032609610734786,-0.326170707684396,"amt2","ammonium/methylammonium permease"
"34","sll0537",0.273604567579442,0.0798026469192784,-0.193801920660163,"amt3","ammonium/methylammonium permease"
"35","slr1109",0.344004642754096,-0.369157144344237,-0.713161787098332,"ank","similar to ankyrin"
"36","slr2067",-2.1312423300031,-4.69588850652336,-2.56464617652026,"apcA","allophycocyanin alpha subunit"
"37","slr1986",-0.398517792401618,-3.54865246075476,-3.15013466835314,"apcB","allophycocyanin beta subunit"
"38","ssr3383",0.695148873102342,0.0308921530575455,-0.664256720044796,"apcC","phycobilisome small core linker polypeptide"
"39","sll0928",-0.0575122191062916,-1.77405081811159,-1.7165385990053,"apcD","allophycocyanin-B"
"40","slr0335",0.207744341454578,-4.57245098095578,-4.78019532241036,"apcE","phycobilisome core-membrane linker polypeptide"
"41","slr1459",0.728013824785,-2.24261332836979,-2.97062715315479,"apcF","phycobilisome core component"
"42","sll1343",-1.09905562515924,-1.76880619570803,-0.669750570548785,"ape2","aminopeptidase"
"43","slr2057",0.0449541534304172,0.0620717494810448,0.0171175960506276,"apqZ","water channel protein"
"44","sll1430",0.0605683171199761,0.125139931576224,0.064571614456248,"apt","adenine phosphoribosyltransferase"
"45","sll0573",0.00294341922378554,-1.04554052134626,-1.04848394057004,"arcC","carbamate kinase"
"46","slr1898",-2.73100220777341,-3.9226992312592,-1.19169702348579,"argB","N-acetylglutamate kinase"
"47","sll0080",0.288242687463855,-0.529463581788024,-0.817706269251879,"argC","N-acetyl-gamma-glutamyl-phosphate reductase"
"48","slr1022",-2.04507913052025,-2.49342871318653,-0.448349582666273,"argD","N-acetylornithine aminotransferase"
