sgRNA_target	condition	wmean_fitness	p_fitness_adj	p_fitness_condition	p_fitness_condition_2	p_fitness_condition_adj
AT103	CO2_30percent	-0.9386834298765219	0.6326011029152486	0.35439798416825935	0.5476190476190477	0.6326011029152486
AT103	CO2_4percent	0.14099013548734532	0.9143550542857183	0.35439798416825935	0.5476190476190477	0.9143550542857183
ESI3	CO2_30percent	-1.1347717857249089	0.45827043095318637	1	1	0.45827043095318637
ESI3	CO2_4percent	-0.2925192259038485	0.746352504788104	1	1	0.746352504788104
ETR1	CO2_30percent	0.2945492735479052	0.9458951075850284	0.9180430114611047	1	0.9458951075850284
ETR1	CO2_4percent	0.3182558486941448	0.9525074466803449	0.9180430114611047	1	0.9525074466803449
Era	CO2_30percent	-0.057978713965215006	0.11635175242516728	0.021557177099591207	0.09523809523809523	0.11635175242516728
Era	CO2_4percent	-2.735635985837948	0.009421249262526892	0.021557177099591207	0.09523809523809523	0.009421249262526892
HAGH1	CO2_30percent	-0.4022791787024125	0.8313727550868939	0.9180430114611047	1	0.8313727550868939
HAGH1	CO2_4percent	-0.3353640047361429	0.9143550542857183	0.9180430114611047	1	0.9143550542857183
IAP75	CO2_30percent	-4.495462851591853	0.009038483826191542	0.9180430114611047	1	0.009038483826191542
IAP75	CO2_4percent	-4.849474349934249	0.11637526973709758	0.9180430114611047	1	0.11637526973709758
ICFG	CO2_30percent	-0.37320397125119475	0.2871038646357691	0.7059529851215194	0.8412698412698413	0.2871038646357691
ICFG	CO2_4percent	-0.09495685873047664	0.5399302538694818	0.7059529851215194	0.8412698412698413	0.5399302538694818
Sac1	CO2_30percent	-2.497440092017532	0.05405695937378547	0.35439798416825935	0.5476190476190477	0.05405695937378547
Sac1	CO2_4percent	-4.188574312025166	0.03815504224914742	0.35439798416825935	0.5476190476190477	0.03815504224914742
aat	CO2_30percent	0.06681147220071518	0.45352377927595783	0.043002747477351014	0.15079365079365079	0.45352377927595783
aat	CO2_4percent	0.19997699333467456	0.8510688283109384	0.043002747477351014	0.15079365079365079	0.8510688283109384
abfB	CO2_30percent	-0.11296034731518968	0.7324131804450047	0.9180430114611047	1	0.7324131804450047
abfB	CO2_4percent	-1.9119373268912223	0.4610569652166894	0.9180430114611047	1	0.4610569652166894
accA	CO2_30percent	-2.20163048518438	0.009038483826191542	0.043002747477351014	0.15079365079365079	0.009038483826191542
accA	CO2_4percent	-2.718763117231031	0.009421249262526892	0.043002747477351014	0.15079365079365079	0.009421249262526892
accB	CO2_30percent	-3.581026350472273	0.00872410061899529	0.9180430114611047	1	0.00872410061899529
accB	CO2_4percent	-3.797898054261855	0.0189548347205997	0.9180430114611047	1	0.0189548347205997
accC	CO2_30percent	-2.879441369963582	0.032729498465121507	0.22994905679421349	0.42063492063492064	0.032729498465121507
accC	CO2_4percent	-3.2926235345632473	0.25913013692563736	0.22994905679421349	0.42063492063492064	0.25913013692563736
accD	CO2_30percent	-4.641916549214877	0.00872410061899529	0.22994905679421349	0.42063492063492064	0.00872410061899529
