condition	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank
CO2_30percent	tRNA charging	21	-0.821175148548337	-1.7010795963662315	2.5669026306159386e-6	9.240849470217378e-5	3.782803876697173e-5	366
CO2_30percent	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	12	-0.8688221278165977	-1.692135216458538	3.926070425873724e-5	7.066926766572702e-4	2.892893998012218e-4	453
CO2_30percent	orange carotenoid protein photoprotection	14	0.7347271484883761	2.360328988875018	1.8294152926350495e-4	0.0021952983511620595	8.986601437505508e-4	265
CO2_30percent	L-histidine biosynthesis	11	-0.8425272775597744	-1.6147103301623345	4.221746622649358e-4	0.003799571960384422	0.0015553803346602898	800
CO2_30percent	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	12	-0.8191894503985273	-1.595469629041579	8.691239942876953e-4	0.006035615235894764	0.002470719687208383	341
CO2_30percent	superpathway of branched chain amino acid biosynthesis	10	-0.8303858105092392	-1.5570294789197128	0.001434100019501915	0.006035615235894764	0.002470719687208383	598
CO2_30percent	superpathway of L-tryptophan biosynthesis	13	-0.79016756096638	-1.5406782655181328	0.0014089779169735679	0.006035615235894764	0.002470719687208383	1029
CO2_30percent	superpathway of aromatic amino acid biosynthesis	16	-0.7709241063440513	-1.540413957431011	0.001316189087060515	0.006035615235894764	0.002470719687208383	1167
CO2_30percent	succinate to cytochrome <i>c</i> oxidase via plastocyanin (thylakoid membrane)	13	-0.7892248458378659	-1.5388401481607201	0.001508903808973691	0.006035615235894764	0.002470719687208383	341
CO2_30percent	superpathway of pseudocobalamin biosynthesis (anaerobic)	24	-0.7098311944920082	-1.4866711082207167	0.0027299174986567844	0.009827702995164424	0.004023036313809999	1269
CO2_4percent	tRNA charging	21	-0.821175148548337	-1.7487707072712873	5.153782596354785e-6	1.8553617346877226e-4	7.595048036733368e-5	366
CO2_4percent	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	12	-0.8688221278165977	-1.7066425379979038	4.8813009405465374e-5	8.786341692983767e-4	3.5967480614553437e-4	453
CO2_4percent	orange carotenoid protein photoprotection	14	0.7347271484883761	2.2864029277466473	9.246470696885935e-5	0.0011095764836263123	4.5421259563650204e-4	265
CO2_4percent	L-histidine biosynthesis	11	-0.8425272775597744	-1.630107050837662	7.554380552130223e-4	0.006259320925375956	0.0025622951156509762	800
CO2_4percent	succinate to chytochrome <i>c</i> oxidase via cytochrome <i>c</i><sub>6</sub> (thylakoid membrane)	12	-0.8191894503985273	-1.6091481995775916	0.001043220154229326	0.006259320925375956	0.0025622951156509762	341
CO2_4percent	superpathway of pseudocobalamin biosynthesis (anaerobic)	24	-0.7098311944920082	-1.5221618996160002	0.0010004185686954786	0.006259320925375956	0.0025622951156509762	1269
CO2_4percent	superpathway of aromatic amino acid biosynthesis	16	-0.7709241063440513	-1.5803283460196007	0.0016096113993291634	0.007243251296981236	0.002965073630343196	1167
CO2_4percent	superpathway of branched chain amino acid biosynthesis	10	-0.8303858105092392	-1.5784871554674185	0.0014392531356385103	0.007243251296981236	0.002965073630343196	598
