pathid	pathway	gene
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis	SGL_RS14105
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis	SGL_RS13720
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis	SGL_RS09915
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis	SGL_RS14335
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis	SGL_RS04775
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis	SGL_RS06810
PWY-5837	2-carboxy-1,4-naphthoquinol biosynthesis	SGL_RS14660
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	SGL_RS03055
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	SGL_RS16675
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	SGL_RS04915
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	SGL_RS04275
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	SGL_RS02940
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	SGL_RS16610
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	SGL_RS03345
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	SGL_RS01895
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	SGL_RS10390
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	SGL_RS02970
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	SGL_RS15440
PWY-5531	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	SGL_RS16675
PWY-5531	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	SGL_RS04915
PWY-5531	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	SGL_RS04275
PWY-5531	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	SGL_RS02940
PWY-5531	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	SGL_RS16610
PWY-5531	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	SGL_RS14820
PWY-5531	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	SGL_RS05455
PWY-5531	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	SGL_RS10380
PWY-5531	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	SGL_RS17655
PWY-5531	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	SGL_RS13030
PWY-5531	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis II (anaerobic)	SGL_RS17660
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	SGL_RS03055
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	SGL_RS16675
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	SGL_RS04915
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	SGL_RS04275
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	SGL_RS02940
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	SGL_RS16610
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	SGL_RS03345
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	SGL_RS01895
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	SGL_RS10390
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	SGL_RS02970
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	SGL_RS17655
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	SGL_RS13030
PWY-7159	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	SGL_RS17660
PWY-5886	3-(4-hydroxyphenyl)pyruvate biosynthesis	SGL_RS13490
PWY-6164	3-dehydroquinate biosynthesis	SGL_RS09600
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	SGL_RS15825
PWY-8276	4-aminobenzoate biosynthesis	SGL_RS07250
PWY-8276	4-aminobenzoate biosynthesis	SGL_RS10370
PWY-6537	4-aminobutanoate degradation II	SGL_RS04875
