TYPE	ACCESSION	ALIAS
EXPERIMENT	ERX13002996	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:748-89590
EXPERIMENT	ERX13002997	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:748-89592
EXPERIMENT	ERX13002998	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:749-89594
EXPERIMENT	ERX13002999	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:750-89596
EXPERIMENT	ERX13003000	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:750-89598
EXPERIMENT	ERX13003001	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:751-89600
EXPERIMENT	ERX13003002	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:752-89602
EXPERIMENT	ERX13003003	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:752-89604
EXPERIMENT	ERX13003004	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:753-89606
EXPERIMENT	ERX13003005	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:754-89608
EXPERIMENT	ERX13003006	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:754-89610
EXPERIMENT	ERX13003007	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:755-89612
EXPERIMENT	ERX13003008	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:756-89614
EXPERIMENT	ERX13003009	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:756-89616
EXPERIMENT	ERX13003010	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:757-89618
EXPERIMENT	ERX13003011	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:758-89620
EXPERIMENT	ERX13003012	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:759-89622
EXPERIMENT	ERX13003013	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:759-89624
EXPERIMENT	ERX13003014	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:760-89626
EXPERIMENT	ERX13003015	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:761-89628
EXPERIMENT	ERX13003016	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:761-89630
EXPERIMENT	ERX13003017	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:762-89632
EXPERIMENT	ERX13003018	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:763-89634
EXPERIMENT	ERX13003019	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:764-89636
EXPERIMENT	ERX13003020	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:764-89638
EXPERIMENT	ERX13003021	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:765-89640
EXPERIMENT	ERX13003022	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:766-89642
EXPERIMENT	ERX13003023	ena-EXPERIMENT-TAB-05-09-2024-10:26:58:766-89644
RUN	ERR13632064	ena-RUN-TAB-05-09-2024-10:26:58:748-89591
RUN	ERR13632065	ena-RUN-TAB-05-09-2024-10:26:58:749-89593
RUN	ERR13632066	ena-RUN-TAB-05-09-2024-10:26:58:749-89595
RUN	ERR13632067	ena-RUN-TAB-05-09-2024-10:26:58:750-89597
RUN	ERR13632068	ena-RUN-TAB-05-09-2024-10:26:58:751-89599
RUN	ERR13632069	ena-RUN-TAB-05-09-2024-10:26:58:751-89601
RUN	ERR13632070	ena-RUN-TAB-05-09-2024-10:26:58:752-89603
RUN	ERR13632071	ena-RUN-TAB-05-09-2024-10:26:58:753-89605
RUN	ERR13632072	ena-RUN-TAB-05-09-2024-10:26:58:753-89607
RUN	ERR13632073	ena-RUN-TAB-05-09-2024-10:26:58:754-89609
RUN	ERR13632074	ena-RUN-TAB-05-09-2024-10:26:58:755-89611
RUN	ERR13632075	ena-RUN-TAB-05-09-2024-10:26:58:755-89613
RUN	ERR13632076	ena-RUN-TAB-05-09-2024-10:26:58:756-89615
RUN	ERR13632077	ena-RUN-TAB-05-09-2024-10:26:58:757-89617
RUN	ERR13632078	ena-RUN-TAB-05-09-2024-10:26:58:758-89619
RUN	ERR13632079	ena-RUN-TAB-05-09-2024-10:26:58:758-89621
RUN	ERR13632080	ena-RUN-TAB-05-09-2024-10:26:58:759-89623
RUN	ERR13632081	ena-RUN-TAB-05-09-2024-10:26:58:760-89625
RUN	ERR13632082	ena-RUN-TAB-05-09-2024-10:26:58:760-89627
RUN	ERR13632083	ena-RUN-TAB-05-09-2024-10:26:58:761-89629
RUN	ERR13632084	ena-RUN-TAB-05-09-2024-10:26:58:762-89631
RUN	ERR13632085	ena-RUN-TAB-05-09-2024-10:26:58:763-89633
RUN	ERR13632086	ena-RUN-TAB-05-09-2024-10:26:58:763-89635
RUN	ERR13632087	ena-RUN-TAB-05-09-2024-10:26:58:764-89637
RUN	ERR13632088	ena-RUN-TAB-05-09-2024-10:26:58:765-89639
RUN	ERR13632089	ena-RUN-TAB-05-09-2024-10:26:58:765-89641
RUN	ERR13632090	ena-RUN-TAB-05-09-2024-10:26:58:766-89643
RUN	ERR13632091	ena-RUN-TAB-05-09-2024-10:26:58:767-89645
SUBMISSION	ERA30781962	ena-SUBMISSION-TAB-05-09-2024-10:26:58:767-89646
