sample,fastq_1,fastq_2,condition,replicate,time,group,reference_group
1,input/fastq/.fastq.gz,,CO2_4percent,1,0,1,1
2,,,CO2_4percent,2,0,1,1
3,,,CO2_4percent,3,0,1,1
4,,,CO2_4percent,4,0,1,1
5,,,CO2_30percent,1,0,2,2
6,,,CO2_30percent,2,0,2,2
6_new,,,CO2_30percent,2,0,2,2
7,,,CO2_30percent,3,0,2,2
8,,,CO2_4percent,1,4,3,1
9,,,CO2_4percent,2,4,3,1
10,,,CO2_4percent,3,4,3,1
11,,,CO2_4percent,4,4,3,1
12,,,CO2_30percent,1,4,4,2
13,,,CO2_30percent,2,4,4,2
14,,,CO2_30percent,3,4,4,2
15,,,CO2_4percent,1,8,5,1
16,,,CO2_4percent,2,8,5,1
17,,,CO2_4percent,3,8,5,1
18,,,CO2_4percent,4,8,5,1
19,,,CO2_30percent,1,8,6,2
20,,,CO2_30percent,2,8,6,2
21,,,CO2_30percent,3,8,6,2
22,,,CO2_4percent,1,10,7,1
23,,,CO2_4percent,2,10,7,1
24,,,CO2_4percent,3,10,7,1
25,,,CO2_4percent,4,10,7,1
26,,,CO2_30percent,1,10,8,2
27,,,CO2_30percent,2,10,8,2
28,,,CO2_30percent,3,10,8,2
