sample,fastq_1,fastq_2,condition,replicate,time,group,reference_group
1,input/fastq/1_S1_L001_R1_001.fastq.gz,,CO2_4percent,1,0,1,1
2,input/fastq/2_S2_L001_R1_001.fastq.gz,,CO2_4percent,2,0,1,1
3,input/fastq/3_S3_L001_R1_001.fastq.gz,,CO2_4percent,3,0,1,1
4,input/fastq/4_S4_L001_R1_001.fastq.gz,,CO2_4percent,4,0,1,1
5,input/fastq/5_S5_L001_R1_001.fastq.gz,,CO2_30percent,1,0,2,2
6,input/fastq/6_S6_L001_R1_001.fastq.gz,,CO2_30percent,2,0,2,2
6_new,input/fastq/6_new_S7_L001_R1_001.fastq.gz,,CO2_30percent,2,0,2,2
7,input/fastq/7_S8_L001_R1_001.fastq.gz,,CO2_30percent,3,0,2,2
8,input/fastq/8_S9_L001_R1_001.fastq.gz,,CO2_4percent,1,4,3,1
9,input/fastq/9_S10_L001_R1_001.fastq.gz,,CO2_4percent,2,4,3,1
10,input/fastq/10_S11_L001_R1_001.fastq.gz,,CO2_4percent,3,4,3,1
11,input/fastq/11_S12_L001_R1_001.fastq.gz,,CO2_4percent,4,4,3,1
12,input/fastq/12_S13_L001_R1_001.fastq.gz,,CO2_30percent,1,4,4,2
13,input/fastq/13_S14_L001_R1_001.fastq.gz,,CO2_30percent,2,4,4,2
14,input/fastq/14_S15_L001_R1_001.fastq.gz,,CO2_30percent,3,4,4,2
15,input/fastq/15_S16_L001_R1_001.fastq.gz,,CO2_4percent,1,8,5,1
16,input/fastq/16_S17_L001_R1_001.fastq.gz,,CO2_4percent,2,8,5,1
17,input/fastq/17_S18_L001_R1_001.fastq.gz,,CO2_4percent,3,8,5,1
18,input/fastq/18_S19_L001_R1_001.fastq.gz,,CO2_4percent,4,8,5,1
19,input/fastq/19_S20_L001_R1_001.fastq.gz,,CO2_30percent,1,8,6,2
20,input/fastq/20_S21_L001_R1_001.fastq.gz,,CO2_30percent,2,8,6,2
21,input/fastq/21_S22_L001_R1_001.fastq.gz,,CO2_30percent,3,8,6,2
22,input/fastq/22_S23_L001_R1_001.fastq.gz,,CO2_4percent,1,10,7,1
23,input/fastq/23_S24_L001_R1_001.fastq.gz,,CO2_4percent,2,10,7,1
24,input/fastq/24_S25_L001_R1_001.fastq.gz,,CO2_4percent,3,10,7,1
25,input/fastq/25_S26_L001_R1_001.fastq.gz,,CO2_4percent,4,10,7,1
26,input/fastq/26_S27_L001_R1_001.fastq.gz,,CO2_30percent,1,10,8,2
27,input/fastq/27_S28_L001_R1_001.fastq.gz,,CO2_30percent,2,10,8,2
28,input/fastq/28_S29_L001_R1_001.fastq.gz,,CO2_30percent,3,10,8,2
