Sample	Reads passing filters
CO2_30_g0_r1_T1	4022617.0
CO2_30_g0_r2_T1	3455731.0
CO2_30_g0_r3_T1	3655688.0
CO2_30_g10_r1_T1	4217912.0
CO2_30_g10_r2_T1	3691608.0
CO2_30_g10_r3_T1	4026296.0
CO2_30_g4_r1_T1	2763034.0
CO2_30_g4_r2_T1	3084340.0
CO2_30_g4_r3_T1	3974549.0
CO2_30_g8_r1_T1	3477032.0
CO2_30_g8_r2_T1	2843197.0
CO2_30_g8_r3_T1	3056469.0
CO2_4_g0_r1_T1	2449120.0
CO2_4_g0_r2_T1	2855913.0
CO2_4_g0_r3_T1	3717687.0
CO2_4_g0_r4_T1	2713181.0
CO2_4_g10_r1_T1	3738467.0
CO2_4_g10_r2_T1	3483465.0
CO2_4_g10_r3_T1	3597007.0
CO2_4_g10_r4_T1	3365232.0
CO2_4_g4_r1_T1	3471801.0
CO2_4_g4_r2_T1	4752619.0
CO2_4_g4_r3_T1	4173978.0
CO2_4_g4_r4_T1	3604798.0
CO2_4_g8_r1_T1	3856742.0
CO2_4_g8_r2_T1	3812905.0
CO2_4_g8_r3_T1	4062742.0
CO2_4_g8_r4_T1	3433013.0
