Sample	Unique Reads	Duplicate Reads
CO2_30_g0_r1_T1	472903.0	3549714.0
CO2_30_g0_r2_T1	372955.0	3082776.0
CO2_30_g0_r3_T1	426221.0	3229466.0
CO2_30_g10_r1_T1	442169.0	3775742.0
CO2_30_g10_r2_T1	371399.0	3320204.0
CO2_30_g10_r3_T1	427165.0	3599131.0
CO2_30_g4_r1_T1	335081.0	2427952.0
CO2_30_g4_r2_T1	352892.0	2731448.0
CO2_30_g4_r3_T1	430328.0	3544220.0
CO2_30_g8_r1_T1	398013.0	3079018.0
CO2_30_g8_r2_T1	337940.0	2505256.0
CO2_30_g8_r3_T1	350967.0	2705501.0
CO2_4_g0_r1_T1	291189.0	2157930.0
CO2_4_g0_r2_T1	352887.0	2503025.0
CO2_4_g0_r3_T1	390917.0	3326770.0
CO2_4_g0_r4_T1	338257.0	2374920.0
CO2_4_g10_r1_T1	425943.0	3312524.0
CO2_4_g10_r2_T1	408019.0	3075446.0
CO2_4_g10_r3_T1	394012.0	3202995.0
CO2_4_g10_r4_T1	373193.0	2992039.0
CO2_4_g4_r1_T1	403949.0	3067852.0
CO2_4_g4_r2_T1	486790.0	4265828.0
CO2_4_g4_r3_T1	466622.0	3707354.0
CO2_4_g4_r4_T1	423321.0	3181475.0
CO2_4_g8_r1_T1	389272.0	3467469.0
CO2_4_g8_r2_T1	418174.0	3394731.0
CO2_4_g8_r3_T1	448961.0	3613780.0
CO2_4_g8_r4_T1	374665.0	3058348.0
