Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
CO2_30_g0_r1_T1	3221976	3221976	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_30_g0_r2_T1	2810382	2810382	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_30_g0_r3_T1	2954983	2954983	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_30_g10_r1_T1	3399832	3399832	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_30_g10_r2_T1	3003631	3003631	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_30_g10_r3_T1	3248234	3248234	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_30_g4_r1_T1	2231779	2231779	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_30_g4_r2_T1	2497417	2497417	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_30_g4_r3_T1	3211760	3211760	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_30_g8_r1_T1	2793618	2793618	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_30_g8_r2_T1	2287101	2287101	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_30_g8_r3_T1	2466873	2466873	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g0_r1_T1	1999744	1999744	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g0_r2_T1	2311314	2311314	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g0_r3_T1	3045490	3045490	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g0_r4_T1	2195254	2195254	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g10_r1_T1	2981706	2981706	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g10_r2_T1	2779618	2779618	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g10_r3_T1	2889290	2889290	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g10_r4_T1	2706700	2706700	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g4_r1_T1	2794578	2794578	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g4_r2_T1	3832896	3832896	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g4_r3_T1	3346972	3346972	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g4_r4_T1	2892804	2892804	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g8_r1_T1	3128764	3128764	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g8_r2_T1	3062879	3062879	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g8_r3_T1	3251044	3251044	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
CO2_4_g8_r4_T1	2771011	2771011	0	0	0	0	0	0	0	0	0	0	0	0	0	100.0
