Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CO2_30_g0_r1_T1	100.0	3221976	0.6005581454411038	88.24391295783144	50.0	20.566692777363592	18	45.45454545454545	4022617.0
CO2_30_g0_r2_T1	100.0	2810382	0.3942884565960517	89.2076620436225	51.0	19.976418882141	18	45.45454545454545	3455731.0
CO2_30_g0_r3_T1	100.0	2954983	0.5034125478718532	88.34090537600659	51.0	20.11547870482347	18	45.45454545454545	3655687.0
CO2_30_g10_r1_T1	100.0	3399832	0.884741046283072	89.51689138742574	51.0	20.057738060381077	18	45.45454545454545	4217911.0
CO2_30_g10_r2_T1	100.0	3003631	0.7174544885566873	89.93937570929927	51.0	19.85437545694919	18	45.45454545454545	3691603.0
CO2_30_g10_r3_T1	100.0	3248234	0.38791096193500013	89.39062352911094	51.0	20.022459848952984	18	45.45454545454545	4026296.0
CO2_30_g4_r1_T1	100.0	2231779	0.8521957870278686	87.8727174979467	51.0	20.07783403238398	18	45.45454545454545	2763033.0
CO2_30_g4_r2_T1	100.0	2497417	0.9068408358930123	88.55860152224803	51.0	19.962226602774013	18	45.45454545454545	3084340.0
CO2_30_g4_r3_T1	100.0	3211760	0.9086994226516216	89.1729282270788	51.0	20.010957220795923	18	45.45454545454545	3974548.0
CO2_30_g8_r1_T1	100.0	2793618	0.5147508216886174	88.55309745217501	51.0	20.07828460545793	18	45.45454545454545	3477031.0
CO2_30_g8_r2_T1	100.0	2287101	0.7586862484181964	88.11411518449654	51.0	20.090020526196575	18	45.45454545454545	2843196.0
CO2_30_g8_r3_T1	100.0	2466873	0.4421483030814321	88.51725382082073	51.0	19.951715509535845	18	45.45454545454545	3056468.0
CO2_4_g0_r1_T1	100.0	1999744	0.9195157389048575	88.11046895441295	52.0	19.873367525220292	18	45.45454545454545	2449119.0
CO2_4_g0_r2_T1	100.0	2311314	0.8977942123012889	87.64364013770205	51.0	20.222244242819805	18	45.45454545454545	2855912.0
CO2_4_g0_r3_T1	100.0	3045490	0.7432319170828351	89.48494887623724	51.0	19.960239794259174	18	45.45454545454545	3717687.0
CO2_4_g0_r4_T1	100.0	2195254	0.3893242283931995	87.5328314070447	51.0	20.141270547406233	18	45.45454545454545	2713177.0
CO2_4_g10_r1_T1	100.0	2981706	0.4159325572661579	88.60648733195914	50.0	20.108260952952104	18	45.45454545454545	3738467.0
CO2_4_g10_r2_T1	100.0	2779618	0.424920724451903	88.28698565765085	51.0	20.05947583799464	18	45.45454545454545	3483465.0
CO2_4_g10_r3_T1	100.0	2889290	0.8671905747708495	89.04613213038925	51.0	19.94886470890938	18	45.45454545454545	3597007.0
CO2_4_g10_r4_T1	100.0	2706700	0.9184651917919879	88.9103488953037	51.0	19.866107299585885	18	45.45454545454545	3365232.0
CO2_4_g4_r1_T1	100.0	2794578	0.7570306132184285	88.36487506981094	51.0	20.066405879830093	18	45.45454545454545	3471801.0
CO2_4_g4_r2_T1	100.0	3832896	0.44274173950120754	89.7574508274481	51.0	19.957651130387504	18	45.45454545454545	4752618.0
CO2_4_g4_r3_T1	100.0	3346972	0.4147556232047836	88.82069707904486	51.0	20.20537636057323	18	45.45454545454545	4173976.0
CO2_4_g4_r4_T1	100.0	2892804	0.4149140525888743	88.25675506691485	51.0	20.091939738060073	18	45.45454545454545	3604796.0
CO2_4_g8_r1_T1	100.0	3128764	0.7123608208199149	89.90673717141901	51.0	19.773805396836345	18	45.45454545454545	3856741.0
CO2_4_g8_r2_T1	100.0	3062879	0.3892227655053304	89.03266899954947	51.0	19.97372921696187	18	45.45454545454545	3812905.0
CO2_4_g8_r3_T1	100.0	3251044	0.5997702588678023	88.94931996374562	51.0	20.153056766355522	18	45.45454545454545	4062741.0
CO2_4_g8_r4_T1	100.0	2771011	0.40702709071140897	89.08641354239467	51.0	19.864826611492585	18	45.45454545454545	3433013.0
