task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	dc/59f415	303052	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_BUILD (Synechocystis_v2_trimmed.fasta)	COMPLETED	0	2024-01-12 08:37:56.916	2.7s	1s	230.7%	117.1 MB	718.2 MB	8.6 MB	13.1 MB
3	42/8b0dd9	303419	NFCORE_CRISPRISCREEN:CRISPRISCREEN:PREPARE_LIBRARY (Synechocystis_v2_trimmed.fasta)	COMPLETED	0	2024-01-12 08:37:59.687	11s	5s	109.2%	2.8 MB	11 MB	6.4 MB	1 MB
1	43/c68183	303786	NFCORE_CRISPRISCREEN:CRISPRISCREEN:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_CRISPRi_CO2_Elena.csv)	COMPLETED	0	2024-01-12 08:38:10.749	2.5s	1s	100.8%	2.8 MB	11 MB	2 MB	2.5 KB
8	48/aea0c8	303994	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (5_T1)	COMPLETED	0	2024-01-12 08:38:14.949	1m 20s	53s	272.3%	728.3 MB	1.1 GB	3.8 GB	3.7 GB
7	eb/37f471	307580	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (4_T1)	COMPLETED	0	2024-01-12 08:39:34.740	1m 22s	54s	190.9%	622.4 MB	1015.9 MB	2.6 GB	2.6 GB
11	7a/3bf48a	311612	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (7_T1)	COMPLETED	0	2024-01-12 08:40:57.225	57.4s	54s	244.8%	732.4 MB	1.1 GB	3.5 GB	3.4 GB
10	46/abfcb2	314348	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (6_new_T1)	COMPLETED	0	2024-01-12 08:41:54.693	40.7s	37s	112.6%	355 MB	754.8 MB	1.2 GB	1.1 GB
4	11/e4c3b1	316013	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (1_T1)	COMPLETED	0	2024-01-12 08:42:35.367	28.1s	25s	348.3%	612.6 MB	1006.2 MB	2.4 GB	2.3 GB
9	c7/d1a807	318632	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (6_T1)	COMPLETED	0	2024-01-12 08:43:03.458	29.3s	27s	348.8%	581 MB	974.1 MB	2.4 GB	2.3 GB
6	eb/47c96c	321267	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (3_T1)	COMPLETED	0	2024-01-12 08:43:32.802	48.1s	44s	301.6%	723.8 MB	1.1 GB	3.5 GB	3.4 GB
5	24/34d502	324362	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (2_T1)	COMPLETED	0	2024-01-12 08:44:20.859	43.8s	30s	330.8%	712.1 MB	1.1 GB	2.8 GB	2.7 GB
12	97/850ef9	327199	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (8_T1)	COMPLETED	0	2024-01-12 08:45:04.664	53.4s	42s	287.4%	731.5 MB	1.1 GB	3.3 GB	3.2 GB
15	ab/94461a	330383	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (11_T1)	COMPLETED	0	2024-01-12 08:45:58.091	38.6s	36s	352.5%	736.9 MB	1.1 GB	3.4 GB	3.3 GB
13	57/2bc49c	333421	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (9_T1)	COMPLETED	0	2024-01-12 08:46:36.732	49.9s	48s	339.5%	732.3 MB	1.1 GB	4.4 GB	4.3 GB
14	4f/9e339c	336876	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (10_T1)	COMPLETED	0	2024-01-12 08:47:26.678	43.7s	41s	353.3%	736.7 MB	1.1 GB	3.9 GB	3.8 GB
