Sample	Reads passing filters
CO2_1_g0_r1_T1	7190426.0
CO2_1_g0_r2_T1	8697403.0
CO2_1_g0_r3_T1	10782682.0
CO2_1_g10_r1_T1	9868916.0
CO2_1_g10_r2_T1	9761474.0
CO2_1_g10_r3_T1	12838988.0
CO2_1_g4_r1_T1	13168838.0
CO2_1_g4_r2_T1	10230446.0
CO2_1_g4_r3_T1	9759565.0
CO2_1_g8_r1_T1	8470390.0
CO2_1_g8_r2_T1	10976313.0
CO2_1_g8_r3_T1	9728125.0
CO2_30_g0_r1_T1	4022617.0
CO2_30_g0_r2_T1	3455731.0
CO2_30_g0_r3_T1	3655688.0
CO2_30_g10_r1_T1	4217912.0
CO2_30_g10_r2_T1	3691608.0
CO2_30_g10_r3_T1	4026296.0
CO2_30_g4_r1_T1	2763034.0
CO2_30_g4_r2_T1	3084340.0
CO2_30_g4_r3_T1	3974549.0
CO2_30_g8_r1_T1	3477032.0
CO2_30_g8_r2_T1	2843197.0
CO2_30_g8_r3_T1	3056469.0
CO2_4_g0_r1_T1	2449120.0
CO2_4_g0_r2_T1	2855913.0
CO2_4_g0_r3_T1	3717687.0
CO2_4_g0_r4_T1	2713181.0
CO2_4_g10_r1_T1	3738467.0
CO2_4_g10_r2_T1	3483465.0
CO2_4_g10_r3_T1	3597007.0
CO2_4_g10_r4_T1	3365232.0
CO2_4_g4_r1_T1	3471801.0
CO2_4_g4_r2_T1	4752619.0
CO2_4_g4_r3_T1	4173978.0
CO2_4_g4_r4_T1	3604798.0
CO2_4_g8_r1_T1	3856742.0
CO2_4_g8_r2_T1	3812905.0
CO2_4_g8_r3_T1	4062742.0
CO2_4_g8_r4_T1	3433013.0
CO2_amb_g0_r1_T1	9745407.0
CO2_amb_g0_r2_T1	9858881.0
CO2_amb_g0_r3_T1	8269772.0
CO2_amb_g10_r1_T1	11327847.0
CO2_amb_g10_r2_T1	10130894.0
CO2_amb_g10_r3_T1	10204409.0
CO2_amb_g4_r1_T1	8376971.0
CO2_amb_g4_r2_T1	5513577.0
CO2_amb_g4_r3_T1	6265986.0
CO2_amb_g8_r1_T1	6512408.0
CO2_amb_g8_r2_T1	6519266.0
CO2_amb_g8_r3_T1	8966004.0
