Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
CO2_1_g0_r1_T1										14.837801250855668	7.717744795868679	50.721505923581745	10.434142070422162	0.8928150476494109	0.1415874965800798	0.0
CO2_1_g0_r2_T1										13.74071430367539	7.0489400379689355	46.91425353375889	14.75346967782131	2.1873485573918994	0.0	0.145464471795527
CO2_1_g0_r3_T1										12.356095950146214	6.761122946048513	41.44509396414549	19.712688419747256	5.002544934950038	0.0	0.1440719317442278
CO2_1_g10_r1_T1										13.017293642480068	7.873336439618014	38.588173685842484	20.0852708261902	5.719334392322883	0.0	0.16693563505963718
CO2_1_g10_r2_T1										13.298286669036772	7.769161459234944	38.893388600119756	19.92789826036488	5.256687516855843	0.0	0.16806054805015772
CO2_1_g10_r3_T1										11.135786318231036	7.634630322836045	31.83536259634438	23.956184235204663	11.757331033757	0.0805891578988483	0.17558903179061305
CO2_1_g4_r1_T1										11.003805451720513	7.481542442238506	33.327190629587	23.890884400712658	10.49095693308793	0.0	0.15763720545340518
CO2_1_g4_r2_T1										13.118257503963704	7.666489243938661	40.167720715269695	19.974191600006954	5.114594040366174	0.0	0.16346951728840375
CO2_1_g4_r3_T1										13.266519819507144	7.540650183204509	41.69544449436551	18.08237189406138	3.9956408084524773	0.0	0.15204894283903506
CO2_1_g8_r1_T1										14.387710738081482	7.828267512745129	43.605771817750274	16.077476725784525	3.2978162511643685	0.0	0.16840395097410746
CO2_1_g8_r2_T1										12.502636897213398	7.716114766103104	37.2492466416239	21.193405797366786	7.025039689203042	0.0	0.16157776035651428
CO2_1_g8_r3_T1										13.411376459430576	7.70481870298901	40.19310788724045	19.557966257502628	4.987635149848166	0.0	0.1610166151059501
CO2_30_g0_r1_T1										15.257434245771744	13.572884401389699	53.439199110376876	2.2365419972625387	0.058977600824166636	0.14615307603379318	0.0
CO2_30_g0_r2_T1										16.429094087751775	16.678546904221232	50.65961206838258	1.1228958209860453	0.03318556083819585	0.14848184889217597	0.0
CO2_30_g0_r3_T1										15.743620897738944	15.584576624402862	51.434067528086615	1.4578904396031975	0.03418360232820033	0.14591102924032306	0.0
CO2_30_g10_r1_T1										15.7551339603857	11.329533320965629	47.385394474308576	7.233358076954341	4.127743522221652	0.5589880393294527	0.0
CO2_30_g10_r2_T1										16.892666209941538	13.143225866301306	45.924217017500006	5.721251106650542	3.8316077758659195	1.1516373734424856	0.0
