Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
CO2_1_g0_r1_T1	3.4	7190426	93	7190426	366711726	918322	365791545	0.2509276182785603
CO2_1_g0_r2_T1	3.4	8697403	222	8697403	443567553	1224925	442338270	0.27713546486570895
CO2_1_g0_r3_T1	3.4	10782682	208	10782682	549916782	1520611	548392000	0.277275044135678
CO2_1_g10_r1_T1	3.4	9868916	152	9868916	503314716	1268259	502043347	0.2525992107093487
CO2_1_g10_r2_T1	3.4	9761474	151	9761474	497835174	1257366	496574721	0.25318681078167454
CO2_1_g10_r3_T1	3.4	12838988	209	12838988	654788388	1515631	653268717	0.23208582006802478
CO2_1_g4_r1_T1	3.4	13168838	182	13168838	671610738	1697961	669909071	0.253371023379915
CO2_1_g4_r2_T1	3.4	10230446	136	10230446	521752746	1242542	520507343	0.23869601253617553
CO2_1_g4_r3_T1	3.4	9759565	207	9759565	497737815	1343647	496390005	0.270787141218113
CO2_1_g8_r1_T1	3.4	8470390	124	8470390	431989890	1039904	430947356	0.24133296267651078
CO2_1_g8_r2_T1	3.4	10976313	158	10976313	559791963	1372403	558416502	0.24570931540866012
CO2_1_g8_r3_T1	3.4	9728125	217	9728125	496134375	1138038	494991978	0.23025959448990002
CO2_30_g0_r1_T1	3.4	4022617	61198	4022617	318024993	625054	316115068	0.6005581454411038
CO2_30_g0_r2_T1	3.4	3455731	29636	3455731	271943797	457225	270871554	0.3942884565960517
CO2_30_g0_r3_T1	3.4	3655688	45201	3655688	288158888	503431	286708260	0.5034125478718532
CO2_30_g10_r1_T1	3.4	4217912	114015	4217912	333780264	521368	330827173	0.884741046283072
CO2_30_g10_r2_T1	3.4	3691608	79493	3691608	291392978	396619	289302366	0.7174544885566873
CO2_30_g10_r3_T1	3.4	4026296	35077	4026296	316919376	498892	315690011	0.38791096193500013
CO2_30_g4_r1_T1	3.4	2763034	71372	2763034	218602348	339364	216739428	0.8521957870278686
CO2_30_g4_r2_T1	3.4	3084340	82012	3084340	243942367	462655	241730198	0.9068408358930123
CO2_30_g4_r3_T1	3.4	3974549	110863	3974549	314493652	489040	311635850	0.9086994226516216
CO2_30_g8_r1_T1	3.4	3477032	45045	3477032	274047547	465000	272636885	0.5147508216886174
CO2_30_g8_r2_T1	3.4	2843197	62278	2843197	224684974	378930	222980320	0.7586862484181964
CO2_30_g8_r3_T1	3.4	3056469	29920	3056469	240578103	443740	239514391	0.4421483030814321
CO2_4_g0_r1_T1	3.4	2449120	67318	2449120	193672052	344370	191891207	0.9195157389048575
CO2_4_g0_r2_T1	3.4	2855913	77774	2855913	226218099	372049	224187126	0.8977942123012889
CO2_4_g0_r3_T1	3.4	3717687	83105	3717687	293705363	410835	291522451	0.7432319170828351
CO2_4_g0_r4_T1	3.4	2713181	22830	2713181	213635818	357624	212804082	0.3893242283931995
CO2_4_g10_r1_T1	3.4	3738467	33560	3738467	294241453	526139	293017607	0.4159325572661579
CO2_4_g10_r2_T1	3.4	3483465	33029	3483465	274120779	476993	272955983	0.424920724451903
CO2_4_g10_r3_T1	3.4	3597007	95606	3597007	284322509	420830	281856891	0.8671905747708495
CO2_4_g10_r4_T1	3.4	3365232	91069	3365232	265930165	494562	263487689	0.9184651917919879
CO2_4_g4_r1_T1	3.4	3471801	75628	3471801	274249015	465109	272172866	0.7570306132184285
CO2_4_g4_r2_T1	3.4	4752619	46016	4752619	374008559	705019	372352667	0.44274173950120754
CO2_4_g4_r3_T1	3.4	4173978	36951	4173978	328767815	598009	327404232	0.4147556232047836
CO2_4_g4_r4_T1	3.4	3604798	32906	3604798	283775156	494293	282597733	0.4149140525888743
CO2_4_g8_r1_T1	3.4	3856742	82454	3856742	304183068	403475	302016187	0.7123608208199149
CO2_4_g8_r2_T1	3.4	3812905	33410	3812905	299916681	468445	298749337	0.3892227655053304
CO2_4_g8_r3_T1	3.4	4062742	64634	4062742	320539902	556417	318617399	0.5997702588678023
CO2_4_g8_r4_T1	3.4	3433013	31687	3433013	269980064	436207	268881172	0.40702709071140897
CO2_amb_g0_r1_T1	3.4	9745407	362	9745407	497015757	1097849	495910538	0.2223710183095865
CO2_amb_g0_r2_T1	3.4	9858881	302	9858881	502802931	1329391	501467380	0.26562116440804917
CO2_amb_g0_r3_T1	3.4	8269772	193	8269772	421758372	967341	420787189	0.2302699992402285
CO2_amb_g10_r1_T1	3.4	11327847	374	11327847	577720197	1715727	575997097	0.29825857031617675
CO2_amb_g10_r2_T1	3.4	10130894	296	10130894	516675594	1362664	515307016	0.26488148770580405
CO2_amb_g10_r3_T1	3.4	10204409	445	10204409	520424859	1420369	518995469	0.27465828645206974
CO2_amb_g4_r1_T1	3.4	8376971	268	8376971	427225521	1010482	426209543	0.23780835883163448
CO2_amb_g4_r2_T1	3.4	5513577	205	5513577	281192427	622059	280566327	0.22265891250335842
CO2_amb_g4_r3_T1	3.4	6265986	177	6265986	319565286	784304	318777482	0.24652364775315425
CO2_amb_g8_r1_T1	3.4	6512408	97	6512408	332132808	817478	331313363	0.24672208835207873
CO2_amb_g8_r2_T1	3.4	6519266	399	6519266	332482566	748979	331725553	0.22768502093430065
CO2_amb_g8_r3_T1	3.4	8966004	209	8966004	457266204	1127866	456134042	0.2475936314768629
