Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CO2_1_g0_r1_T1	CO2_1_g0_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	7190414.0	0.0	0-51	52.0	12.328423341212334	20.242339314537382	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_1_g0_r2_T1	CO2_1_g0_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	8697385.0	0.0	0-51	52.0	12.765404772103036	20.27896086007461	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_1_g0_r3_T1	CO2_1_g0_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	10782663.0	0.0	0-51	52.0	12.458906391018978	20.27561985383388	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_1_g10_r1_T1	CO2_1_g10_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	9868893.0	0.0	0-51	51.0	12.381161143737044	20.337601593208074	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_1_g10_r2_T1	CO2_1_g10_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	9761453.0	0.0	0-51	51.0	12.452433045748993	20.335796525373834	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_1_g10_r3_T1	CO2_1_g10_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	12838970.0	0.0	0-51	51.0	11.50497059993656	20.321428432343094	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_1_g4_r1_T1	CO2_1_g4_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	13168820.0	0.0	0-51	51.0	11.789595688027212	20.28190316216639	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_1_g4_r2_T1	CO2_1_g4_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	10230425.0	0.0	0-51	52.0	11.647193358008845	20.28039519374806	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_1_g4_r3_T1	CO2_1_g4_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	9759539.0	0.0	0-51	51.0	13.041374182867116	20.330571351782087	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_1_g8_r1_T1	CO2_1_g8_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	8470365.0	0.0	0-51	51.0	12.132788699832885	20.30967425842924	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_1_g8_r2_T1	CO2_1_g8_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	10976297.0	0.0	0-51	51.0	12.119623762229446	20.313026697437213	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_1_g8_r3_T1	CO2_1_g8_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	9728108.0	0.0	0-51	51.0	11.7597090409664	20.294559640990826	20	pass	pass	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g0_r1_T1	CO2_30_g0_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	4022617.0	0.0	0-100	50.0	11.756087042168557	20.566692777363592	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g0_r2_T1	CO2_30_g0_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3455731.0	0.0	0-100	51.0	10.7923379563775	19.976418882141	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g0_r3_T1	CO2_30_g0_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3655687.0	0.0	0-100	51.0	11.659094623993411	20.11547870482347	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g10_r1_T1	CO2_30_g10_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	4217911.0	0.0	0-100	51.0	10.483108612574254	20.057738060381077	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g10_r2_T1	CO2_30_g10_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3691603.0	0.0	0-100	51.0	10.060624290700735	19.85437545694919	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g10_r3_T1	CO2_30_g10_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	4026296.0	0.0	0-100	51.0	10.609376470889067	20.022459848952984	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g4_r1_T1	CO2_30_g4_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	2763033.0	0.0	0-100	51.0	12.127282502053303	20.07783403238398	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g4_r2_T1	CO2_30_g4_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3084340.0	0.0	0-100	51.0	11.44139847775197	19.962226602774013	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g4_r3_T1	CO2_30_g4_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3974548.0	0.0	0-100	51.0	10.827071772921196	20.010957220795923	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g8_r1_T1	CO2_30_g8_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3477031.0	0.0	0-100	51.0	11.446902547824985	20.07828460545793	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g8_r2_T1	CO2_30_g8_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	2843196.0	0.0	0-100	51.0	11.885884815503454	20.090020526196575	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g8_r3_T1	CO2_30_g8_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3056468.0	0.0	0-100	51.0	11.48274617917927	19.951715509535845	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g0_r1_T1	CO2_4_g0_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	2449119.0	0.0	0-100	52.0	11.889531045587047	19.873367525220292	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g0_r2_T1	CO2_4_g0_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	2855912.0	0.0	0-100	51.0	12.356359862297946	20.222244242819805	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g0_r3_T1	CO2_4_g0_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3717687.0	0.0	0-100	51.0	10.515051123762758	19.960239794259174	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g0_r4_T1	CO2_4_g0_r4_T1.gz	Conventional base calls	Sanger / Illumina 1.9	2713177.0	0.0	0-100	51.0	12.467168592955302	20.141270547406233	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g10_r1_T1	CO2_4_g10_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3738467.0	0.0	0-100	50.0	11.393512668040854	20.108260952952104	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g10_r2_T1	CO2_4_g10_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3483465.0	0.0	0-100	51.0	11.713014342349155	20.05947583799464	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g10_r3_T1	CO2_4_g10_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3597007.0	0.0	0-100	51.0	10.953867869610749	19.94886470890938	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g10_r4_T1	CO2_4_g10_r4_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3365232.0	0.0	0-100	51.0	11.0896511046963	19.866107299585885	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g4_r1_T1	CO2_4_g4_r1_T1.gz	Conventional base calls	Sanger / Illumina 1.9	3471801.0	0.0	0-100	51.0	11.635124930189061	20.066405879830093	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g4_r2_T1	CO2_4_g4_r2_T1.gz	Conventional base calls	Sanger / Illumina 1.9	4752618.0	0.0	0-100	51.0	10.242549172551902	19.957651130387504	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_4_g4_r3_T1	CO2_4_g4_r3_T1.gz	Conventional base calls	Sanger / Illumina 1.9	4173976.0	0.0	0-100	51.0	11.179302920955132	20.20537636057323	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
