task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	b6/1bbe64	49167	NFCORE_CRISPRISCREEN:CRISPRISCREEN:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet_CRISPRi_CO2_Elena_including_Miao_Jahn.csv)	CACHED	0	2024-01-22 23:16:23.777	2.9s	0ms	101.1%	10.8 MB	32.8 MB	2 MB	5.4 KB
3	d1/0d9db7	49434	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_BUILD (Synechocystis_v2_trimmed.fasta)	CACHED	0	2024-01-22 23:16:26.713	3.2s	1s	210.7%	117.3 MB	719.1 MB	8.6 MB	13.1 MB
1	be/575d1d	49816	NFCORE_CRISPRISCREEN:CRISPRISCREEN:PREPARE_LIBRARY (Synechocystis_v2_trimmed.fasta)	CACHED	0	2024-01-22 23:16:29.950	10.5s	5s	112.3%	68.7 MB	1.1 GB	6.4 MB	1 MB
6	75/2b2a18	50326	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g0_r3_T1)	CACHED	0	2024-01-22 23:16:40.458	44.3s	42s	368.9%	726.9 MB	1.1 GB	3.5 GB	3.4 GB
7	43/74f8ce	68869	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g0_r4_T1)	CACHED	0	2024-01-22 23:20:43.091	31.4s	29s	354.6%	723.4 MB	1.1 GB	2.6 GB	2.6 GB
5	27/944d3a	63391	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g0_r2_T1)	CACHED	0	2024-01-22 23:19:37.339	37.2s	30s	355.6%	722.3 MB	1.1 GB	2.8 GB	2.7 GB
9	ed/4e7303	56916	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g0_r2_T1)	CACHED	0	2024-01-22 23:18:10.549	37.8s	35s	353.8%	731.7 MB	1.1 GB	3.2 GB	3.2 GB
11	ce/ccbaf2	71722	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g4_r1_T1)	CACHED	0	2024-01-22 23:21:14.522	37.8s	35s	352.4%	735.7 MB	1.1 GB	3.3 GB	3.2 GB
8	6c/264db4	53632	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g0_r1_T1)	CACHED	0	2024-01-22 23:17:24.742	45.8s	42s	354.1%	734.6 MB	1.1 GB	3.8 GB	3.7 GB
10	69/6f45a5	59891	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g0_r3_T1)	CACHED	0	2024-01-22 23:18:48.363	49s	46s	288.7%	737.5 MB	1.1 GB	3.5 GB	3.4 GB
4	41/5de294	66236	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g0_r1_T1)	CACHED	0	2024-01-22 23:20:14.572	28.5s	26s	351.0%	612.5 MB	1005.5 MB	2.4 GB	2.3 GB
14	84/aff44e	383484	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (CO2_4_g0_r1_T1)	CACHED	0	2024-01-23 00:08:37.280	18.9s	17s	574.2%	436.7 MB	1.3 GB	1.1 GB	1.1 GB
18	73/0763ed	74763	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g4_r3_T1)	CACHED	0	2024-01-22 23:21:52.306	45s	42s	356.8%	737.7 MB	1.1 GB	3.9 GB	3.8 GB
16	5a/b23f50	371702	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (CO2_30_g0_r1_T1)	CACHED	0	2024-01-23 00:06:53.117	29.4s	29s	590.9%	603.1 MB	1.4 GB	1.8 GB	1.8 GB
15	ce/0ed9db	377604	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (CO2_30_g0_r3_T1)	CACHED	0	2024-01-23 00:07:48.362	27.3s	26s	589.4%	576.4 MB	1.4 GB	1.6 GB	1.6 GB
23	ee/fcf1a5	99569	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g4_r2_T1)	CACHED	0	2024-01-22 23:27:35.720	32.9s	31s	357.0%	723.3 MB	1.1 GB	3 GB	2.9 GB
12	3c/b5d618	78036	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g4_r2_T1)	CACHED	0	2024-01-22 23:22:37.317	49.2s	46s	366.3%	737.3 MB	1.1 GB	4.4 GB	4.3 GB
20	e3/f2860c	388888	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (CO2_4_g4_r1_T1)	CACHED	0	2024-01-23 00:09:17.210	25.6s	24s	587.0%	518.1 MB	1.3 GB	1.5 GB	1.5 GB
27	c3/c57cce	87386	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g8_r1_T1)	CACHED	0	2024-01-22 23:24:59.387	39.6s	37s	357.3%	735.5 MB	1.1 GB	3.6 GB	3.6 GB
