Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
CO2_30_g0_r1	CO2_30_g0_r1.gz	Conventional base calls	Sanger / Illumina 1.9	4022617.0	84.7 Mbp	0.0	0-100	50.0	11.633358964717685	20.574449419370524	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g0_r2	CO2_30_g0_r2.gz	Conventional base calls	Sanger / Illumina 1.9	3455731.0	70.7 Mbp	0.0	0-100	51.0	10.674810789315234	19.983828023651146	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g0_r3	CO2_30_g0_r3.gz	Conventional base calls	Sanger / Illumina 1.9	3655687.0	75.3 Mbp	0.0	0-100	51.0	11.398710141221063	20.123186148048234	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g10_r1	CO2_30_g10_r1.gz	Conventional base calls	Sanger / Illumina 1.9	4217911.0	86.7 Mbp	0.0	0-100	51.0	10.285575411541984	20.06563343797439	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g10_r2	CO2_30_g10_r2.gz	Conventional base calls	Sanger / Illumina 1.9	3691603.0	75.1 Mbp	0.0	0-100	51.0	9.795921873069876	19.861452599317964	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g10_r3	CO2_30_g10_r3.gz	Conventional base calls	Sanger / Illumina 1.9	4026296.0	82.6 Mbp	0.0	0-100	51.0	10.376777527600945	20.03053476445845	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g4_r1	CO2_30_g4_r1.gz	Conventional base calls	Sanger / Illumina 1.9	2763033.0	56.8 Mbp	0.0	0-100	51.0	11.83643036329176	20.085554533731592	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g4_r2	CO2_30_g4_r2.gz	Conventional base calls	Sanger / Illumina 1.9	3084340.0	63.1 Mbp	0.0	0-100	51.0	11.10591277374052	19.970021463262803	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g4_r3	CO2_30_g4_r3.gz	Conventional base calls	Sanger / Illumina 1.9	3974548.0	81.5 Mbp	0.0	0-100	51.0	10.60683188447776	20.018780500323558	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
CO2_30_g8_r1	CO2_30_g8_r1.gz	Conventional base calls	Sanger / Illumina 1.9	3477031.0	71.5 Mbp	0.0	0-100	51.0	11.119358109217783	20.086193651997927	18	pass	fail	fail	pass	fail	warn	pass	fail	fail	warn	pass
