Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
CO2_30_g0_r1	4022539	3222676	799863	0	0	0	0	0	0	0	0	0	0	0	0	80.1154693590292
CO2_30_g0_r2	3455706	2811063	644643	0	0	0	0	0	0	0	0	0	0	0	0	81.34554849284054
CO2_30_g0_r3	3655630	2955433	700197	0	0	0	0	0	0	0	0	0	0	0	0	80.84606483697748
CO2_30_g10_r1	4217864	3400362	817502	0	0	0	0	0	0	0	0	0	0	0	0	80.61810432958482
CO2_30_g10_r2	3691583	3004090	687493	0	0	0	0	0	0	0	0	0	0	0	0	81.37674271443986
CO2_30_g10_r3	4026251	3248539	777712	0	0	0	0	0	0	0	0	0	0	0	0	80.6839663001636
CO2_30_g4_r1	2763006	2232238	530768	0	0	0	0	0	0	0	0	0	0	0	0	80.7901973430387
CO2_30_g4_r2	3084300	2497739	586561	0	0	0	0	0	0	0	0	0	0	0	0	80.98236228641831
CO2_30_g4_r3	3974501	3212416	762085	0	0	0	0	0	0	0	0	0	0	0	0	80.82564326943181
CO2_30_g8_r1	3476990	2794031	682959	0	0	0	0	0	0	0	0	0	0	0	0	80.35775196362371
CO2_30_g8_r2	2843146	2287283	555863	0	0	0	0	0	0	0	0	0	0	0	0	80.44901668785212
CO2_30_g8_r3	3056414	2467214	589200	0	0	0	0	0	0	0	0	0	0	0	0	80.72250683317115
CO2_4_g0_r1	2449083	2000162	448921	0	0	0	0	0	0	0	0	0	0	0	0	81.66983315796156
CO2_4_g0_r2	2855879	2311942	543937	0	0	0	0	0	0	0	0	0	0	0	0	80.95377990454078
CO2_4_g0_r3	3717646	3046232	671414	0	0	0	0	0	0	0	0	0	0	0	0	81.93980814741371
CO2_4_g0_r4	2713150	2195768	517382	0	0	0	0	0	0	0	0	0	0	0	0	80.93057884746513
CO2_4_g10_r1	3738404	2982368	756036	0	0	0	0	0	0	0	0	0	0	0	0	79.77650355606296
CO2_4_g10_r2	3483409	2780208	703201	0	0	0	0	0	0	0	0	0	0	0	0	79.81284999837803
CO2_4_g10_r3	3596973	2889900	707073	0	0	0	0	0	0	0	0	0	0	0	0	80.3425546980753
CO2_4_g10_r4	3365170	2707257	657913	0	0	0	0	0	0	0	0	0	0	0	0	80.44933836923543
CO2_4_g4_r1	3471753	2795063	676690	0	0	0	0	0	0	0	0	0	0	0	0	80.50869402287547
CO2_4_g4_r2	4752543	3833783	918760	0	0	0	0	0	0	0	0	0	0	0	0	80.66803393467455
CO2_4_g4_r3	4173909	3347663	826246	0	0	0	0	0	0	0	0	0	0	0	0	80.20450373977967
CO2_4_g4_r4	3604744	2893421	711323	0	0	0	0	0	0	0	0	0	0	0	0	80.26703144522884
CO2_4_g8_r1	3856710	3129563	727147	0	0	0	0	0	0	0	0	0	0	0	0	81.14592489453446
CO2_4_g8_r2	3812861	3063391	749470	0	0	0	0	0	0	0	0	0	0	0	0	80.34363172431411
CO2_4_g8_r3	4062678	3251605	811073	0	0	0	0	0	0	0	0	0	0	0	0	80.03600088414588
CO2_4_g8_r4	3432970	2771455	661515	0	0	0	0	0	0	0	0	0	0	0	0	80.73053361957722
