Sample	featureCounts_mqc-generalstats-featurecounts-percent_assigned	featureCounts_mqc-generalstats-featurecounts-Assigned	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
CO2_30_g0_r1	80.1154693590292	3222676	0.6005581454411038	88.36664103528231	50.0	20.574449419370524	18	45.45454545454545	4022617.0
CO2_30_g0_r2	81.34554849284054	2811063	0.3942884565960517	89.32518921068477	51.0	19.983828023651146	18	45.45454545454545	3455731.0
CO2_30_g0_r3	80.84606483697748	2955433	0.5034125478718532	88.60128985877894	51.0	20.123186148048234	18	45.45454545454545	3655687.0
CO2_30_g10_r1	80.61810432958482	3400362	0.884741046283072	89.71442458845802	51.0	20.06563343797439	18	45.45454545454545	4217911.0
CO2_30_g10_r2	81.37674271443986	3004090	0.7174544885566873	90.20407812693013	51.0	19.861452599317964	18	45.45454545454545	3691603.0
CO2_30_g10_r3	80.6839663001636	3248539	0.38791096193500013	89.62322247239905	51.0	20.03053476445845	18	45.45454545454545	4026296.0
CO2_30_g4_r1	80.7901973430387	2232238	0.8521957870278686	88.16356963670825	51.0	20.085554533731592	18	45.45454545454545	2763033.0
CO2_30_g4_r2	80.98236228641831	2497739	0.9068408358930123	88.89408722625947	51.0	19.970021463262803	18	45.45454545454545	3084340.0
CO2_30_g4_r3	80.82564326943181	3212416	0.9086994226516216	89.39316811552224	51.0	20.018780500323558	18	45.45454545454545	3974548.0
CO2_30_g8_r1	80.35775196362371	2794031	0.5147508216886174	88.88064189078221	51.0	20.086193651997927	18	45.45454545454545	3477031.0
CO2_30_g8_r2	80.44901668785212	2287283	0.7586862484181964	88.4199202797721	51.0	20.098069215066424	18	45.45454545454545	2843196.0
CO2_30_g8_r3	80.72250683317115	2467214	0.4421483030814321	88.81351586747596	51.0	19.959695308440985	18	45.45454545454545	3056468.0
CO2_4_g0_r1	81.66983315796156	2000162	0.9195157389048575	88.34715703746022	52.0	19.880858382136598	18	45.45454545454545	2449119.0
CO2_4_g0_r2	80.95377990454078	2311942	0.8977942123012889	87.96378316754326	51.0	20.229929353565517	18	45.45454545454545	2855912.0
CO2_4_g0_r3	81.93980814741371	3046232	0.7432319170828351	89.710153496562	51.0	19.966992379939462	18	45.45454545454545	3717687.0
CO2_4_g0_r4	80.93057884746513	2195768	0.3893242283931995	87.84648915888378	51.0	20.148838796731653	18	45.45454545454545	2713177.0
CO2_4_g10_r1	79.77650355606296	2982368	0.4159325572661579	88.85897508176345	50.0	20.11651834829624	18	45.45454545454545	3738467.0
CO2_4_g10_r2	79.81284999837803	2780208	0.424920724451903	88.60638236056096	51.0	20.06781064256423	18	45.45454545454545	3483465.0
CO2_4_g10_r3	80.3425546980753	2889900	0.8671905747708495	89.38954610176641	51.0	19.95696144044201	18	45.45454545454545	3597007.0
CO2_4_g10_r4	80.44933836923543	2707257	0.9184651917919879	89.25681972033485	51.0	19.874120417255035	18	45.45454545454545	3365232.0
CO2_4_g4_r1	80.50869402287547	2795063	0.7570306132184285	88.68515254098932	51.0	20.07447201034852	18	45.45454545454545	3471801.0
CO2_4_g4_r2	80.66803393467455	3833783	0.44274173950120754	89.77324553926861	51.0	19.965319325054107	18	45.45454545454545	4752618.0
CO2_4_g4_r3	80.20450373977967	3347663	0.4147556232047836	88.91879365879042	51.0	20.213484696605825	18	45.45454545454545	4173976.0
CO2_4_g4_r4	80.26703144522884	2893421	0.4149140525888743	88.53806696180133	51.0	20.09995239675144	18	45.45454545454545	3604796.0
CO2_4_g8_r1	81.14592489453446	3129563	0.7123608208199149	90.12310254244161	51.0	19.780955993674453	18	45.45454545454545	3856741.0
CO2_4_g8_r2	80.34363172431411	3063391	0.3892227655053304	89.30047736315113	51.0	19.981687453529528	18	45.45454545454545	3812905.0
CO2_4_g8_r3	80.03600088414588	3251605	0.5997702588678023	89.1166195165187	51.0	20.16099180331702	18	45.45454545454545	4062741.0
CO2_4_g8_r4	80.73053361957722	2771455	0.40702709071140897	89.4107497082717	51.0	19.8723238158434	18	45.45454545454545	3433013.0
