Module	Section	Sample Name	Source
featureCounts	all_sections	CO2_4_g0_r1	/home/ute/Documents/bioinformatic_analyses/2024-01_Elena_CO2_CRISPRi/my_github/work/31/8275d48157d5ac51f236f86ca5e93a/90/CO2_4_g0_r1.featureCounts.txt.summary
featureCounts	all_sections	CO2_4_g0_r3	/home/ute/Documents/bioinformatic_analyses/2024-01_Elena_CO2_CRISPRi/my_github/work/31/8275d48157d5ac51f236f86ca5e93a/89/CO2_4_g0_r3.featureCounts.txt.summary
featureCounts	all_sections	CO2_4_g8_r1	/home/ute/Documents/bioinformatic_analyses/2024-01_Elena_CO2_CRISPRi/my_github/work/31/8275d48157d5ac51f236f86ca5e93a/101/CO2_4_g8_r1.featureCounts.txt.summary
featureCounts	all_sections	CO2_30_g0_r3	/home/ute/Documents/bioinformatic_analyses/2024-01_Elena_CO2_CRISPRi/my_github/work/31/8275d48157d5ac51f236f86ca5e93a/94/CO2_30_g0_r3.featureCounts.txt.summary
featureCounts	all_sections	CO2_30_g10_r3	/home/ute/Documents/bioinformatic_analyses/2024-01_Elena_CO2_CRISPRi/my_github/work/31/8275d48157d5ac51f236f86ca5e93a/112/CO2_30_g10_r3.featureCounts.txt.summary
featureCounts	all_sections	CO2_4_g4_r1	/home/ute/Documents/bioinformatic_analyses/2024-01_Elena_CO2_CRISPRi/my_github/work/31/8275d48157d5ac51f236f86ca5e93a/95/CO2_4_g4_r1.featureCounts.txt.summary
featureCounts	all_sections	CO2_4_g0_r2	/home/ute/Documents/bioinformatic_analyses/2024-01_Elena_CO2_CRISPRi/my_github/work/31/8275d48157d5ac51f236f86ca5e93a/92/CO2_4_g0_r2.featureCounts.txt.summary
featureCounts	all_sections	CO2_30_g10_r1	/home/ute/Documents/bioinformatic_analyses/2024-01_Elena_CO2_CRISPRi/my_github/work/31/8275d48157d5ac51f236f86ca5e93a/110/CO2_30_g10_r1.featureCounts.txt.summary
featureCounts	all_sections	CO2_30_g8_r1	/home/ute/Documents/bioinformatic_analyses/2024-01_Elena_CO2_CRISPRi/my_github/work/31/8275d48157d5ac51f236f86ca5e93a/106/CO2_30_g8_r1.featureCounts.txt.summary
featureCounts	all_sections	CO2_4_g10_r4	/home/ute/Documents/bioinformatic_analyses/2024-01_Elena_CO2_CRISPRi/my_github/work/31/8275d48157d5ac51f236f86ca5e93a/113/CO2_4_g10_r4.featureCounts.txt.summary
