task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	f9/dffbcc	22139	NFCORE_CRISPRISCREEN:CRISPRISCREEN:BOWTIE2_BUILD (Synechocystis_v2_trimmed.fasta)	COMPLETED	0	2024-09-13 12:16:32.783	1.7s	1s	216.1%	10.9 MB	16.2 MB	8.6 MB	13.1 MB
7	cd/b9bfa9	22379	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g0_r1)	COMPLETED	0	2024-09-13 12:16:34.468	19.8s	19s	362.0%	741.2 MB	1.1 GB	3.8 GB	3.7 GB
8	38/51151a	24948	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g0_r2)	COMPLETED	0	2024-09-13 12:16:54.280	18s	17s	354.7%	742.6 MB	1.2 GB	3.2 GB	3.2 GB
5	d5/7ffdf0	27420	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g0_r3)	COMPLETED	0	2024-09-13 12:17:12.300	23.4s	22s	364.2%	727.6 MB	1.1 GB	3.5 GB	3.4 GB
3	43/dc937d	30212	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g0_r1)	COMPLETED	0	2024-09-13 12:17:35.689	16.3s	15s	346.3%	535.2 MB	933.2 MB	2.4 GB	2.3 GB
11	67/79b63f	32555	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g4_r2)	COMPLETED	0	2024-09-13 12:17:51.975	32.4s	31s	317.9%	741.7 MB	1.1 GB	4.4 GB	4.3 GB
4	b1/5fa16f	34978	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g0_r2)	COMPLETED	0	2024-09-13 12:18:24.376	18.9s	18s	351.3%	727.9 MB	1.1 GB	2.8 GB	2.7 GB
6	e1/d35112	37545	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g0_r4)	COMPLETED	0	2024-09-13 12:18:43.308	18s	17s	357.1%	524.6 MB	926.5 MB	2.6 GB	2.6 GB
9	d7/9c9a2c	40073	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g0_r3)	COMPLETED	0	2024-09-13 12:19:01.340	22.8s	21s	361.1%	732.5 MB	1.2 GB	3.5 GB	3.4 GB
10	ca/ec7bb7	42652	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g4_r1)	COMPLETED	0	2024-09-13 12:19:24.143	22.5s	21s	355.1%	724.4 MB	1.1 GB	3.3 GB	3.2 GB
14	ce/7f2fd2	45225	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g4_r1)	COMPLETED	0	2024-09-13 12:19:46.668	18.2s	17s	347.8%	537.5 MB	933.4 MB	2.7 GB	2.6 GB
12	27/12d2be	47793	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g4_r3)	COMPLETED	0	2024-09-13 12:20:04.894	26.1s	24s	353.1%	738.5 MB	1.1 GB	3.9 GB	3.8 GB
16	58/a224b3	50575	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g4_r3)	COMPLETED	0	2024-09-13 12:20:31.047	24.2s	22s	357.9%	736.3 MB	1.2 GB	3.7 GB	3.7 GB
13	ed/f9cb5b	53354	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g4_r4)	COMPLETED	0	2024-09-13 12:20:55.237	22.9s	21s	350.0%	729.5 MB	1.1 GB	3.4 GB	3.3 GB
15	72/3b3a18	55920	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g4_r2)	COMPLETED	0	2024-09-13 12:21:18.116	19.8s	18s	356.6%	723.1 MB	1.1 GB	3 GB	2.9 GB
17	14/fdb957	58478	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g8_r1)	COMPLETED	0	2024-09-13 12:21:37.929	41.2s	17s	364.2%	736.7 MB	1.1 GB	3.6 GB	3.6 GB
18	3d/790650	61148	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g8_r2)	COMPLETED	0	2024-09-13 12:22:19.090	22.8s	21s	366.1%	737.7 MB	1.1 GB	3.6 GB	3.5 GB
19	7b/96fd36	63786	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g8_r3)	COMPLETED	0	2024-09-13 12:22:41.882	25s	23s	367.2%	735.5 MB	1.2 GB	3.8 GB	3.7 GB
24	32/564d9c	66566	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g10_r1)	COMPLETED	0	2024-09-13 12:23:06.851	23.8s	22s	353.5%	742.3 MB	1.1 GB	3.5 GB	3.5 GB
20	25/c9cb10	69345	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g8_r4)	COMPLETED	0	2024-09-13 12:23:30.679	21.2s	20s	357.7%	749.7 MB	1.1 GB	3.3 GB	3.2 GB
21	e4/600f4d	71905	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g8_r1)	COMPLETED	0	2024-09-13 12:23:51.910	21.9s	20s	358.3%	733 MB	1.1 GB	3.3 GB	3.2 GB
22	78/7d79bd	74475	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g8_r2)	COMPLETED	0	2024-09-13 12:24:13.831	18.7s	17s	353.4%	727.8 MB	1.1 GB	2.8 GB	2.7 GB
23	be/3a94d0	77028	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g8_r3)	COMPLETED	0	2024-09-13 12:24:32.532	19.3s	18s	350.5%	734 MB	1.2 GB	2.9 GB	2.9 GB
26	e5/b7d841	79591	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g10_r3)	COMPLETED	0	2024-09-13 12:24:51.880	22.4s	20s	361.2%	733 MB	1.1 GB	3.4 GB	3.3 GB
28	1e/18f4e9	82168	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g10_r1)	COMPLETED	0	2024-09-13 12:25:14.275	26.5s	25s	362.1%	730.4 MB	1.1 GB	4 GB	3.9 GB
25	26/3fd1ef	84970	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g10_r2)	COMPLETED	0	2024-09-13 12:25:40.804	22.7s	21s	340.9%	716.6 MB	1.1 GB	3.3 GB	3.2 GB
30	e8/8fd96e	87550	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g10_r3)	COMPLETED	0	2024-09-13 12:26:03.476	25s	24s	359.5%	747.4 MB	1.1 GB	3.8 GB	3.7 GB
27	7a/9c5814	90328	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_4_g10_r4)	COMPLETED	0	2024-09-13 12:26:28.524	22.2s	21s	343.5%	705.4 MB	1.1 GB	3.2 GB	3.1 GB
29	19/9922af	92779	NFCORE_CRISPRISCREEN:CRISPRISCREEN:TRIMGALORE (CO2_30_g10_r2)	COMPLETED	0	2024-09-13 12:26:50.692	23.2s	22s	362.2%	720.8 MB	1.2 GB	3.5 GB	3.4 GB
2	50/e361d7	95555	NFCORE_CRISPRISCREEN:CRISPRISCREEN:PREPARE_LIBRARY (Synechocystis_v2_trimmed.fasta)	COMPLETED	0	2024-09-13 12:27:13.892	28.7s	2s	134.6%	68.9 MB	1.1 GB	6.4 MB	1 MB
31	18/8d1c8b	95939	NFCORE_CRISPRISCREEN:CRISPRISCREEN:CUTADAPT (CO2_30_g0_r1)	COMPLETED	0	2024-09-13 12:27:42.562	13.5s	13s	499.2%	206.4 MB	2.7 GB	1.4 GB	1.3 GB
