sample	baseline	time	common	CO2_4percent	CO2_30percent
CO2_4_g0_r1	1	0	0	0	0
CO2_4_g0_r2	1	0	0	0	0
CO2_4_g0_r3	1	0	0	0	0
CO2_4_g0_r4	1	0	0	0	0
CO2_30_g0_r1	1	0	0	0	0
CO2_30_g0_r2	1	0	0	0	0
CO2_30_g0_r3	1	0	0	0	0
CO2_4_g4_r1	1	4	1	1	0
CO2_4_g4_r2	1	4	1	1	0
CO2_4_g4_r3	1	4	1	1	0
CO2_4_g4_r4	1	4	1	1	0
CO2_30_g4_r1	1	4	1	0	1
CO2_30_g4_r2	1	4	1	0	1
CO2_30_g4_r3	1	4	1	0	1
CO2_4_g8_r1	1	8	1	1	0
CO2_4_g8_r2	1	8	1	1	0
CO2_4_g8_r3	1	8	1	1	0
CO2_4_g8_r4	1	8	1	1	0
CO2_30_g8_r1	1	8	1	0	1
CO2_30_g8_r2	1	8	1	0	1
CO2_30_g8_r3	1	8	1	0	1
CO2_4_g10_r1	1	10	1	1	0
CO2_4_g10_r2	1	10	1	1	0
CO2_4_g10_r3	1	10	1	1	0
CO2_4_g10_r4	1	10	1	1	0
CO2_30_g10_r1	1	10	1	0	1
CO2_30_g10_r2	1	10	1	0	1
CO2_30_g10_r3	1	10	1	0	1
