gene	seqnames	start	end	strand	name	locus	locus_alt	synonyms	product
SLR0612-AS	chromosome	689	909	-	slr0612-as	slr0612-as	NA	NA	SLR0612-AS-RNA
SGL_RS01880	chromosome	811	1494	+	slr0612	slr0612	SGL_RS01880	RS01880	pseudouridine synthase
SGL_RS01885	chromosome	1577	2098	+	slr0613	slr0613	SGL_RS01885	RS01885	hypothetical protein
SGL_RS01890	chromosome	2172	2873	-	gun4	sll0558	SGL_RS01890	RS01890	tetrapyrrole-binding protein
SGL_RS01895	chromosome	3192	4268	-	acsF1	sll1214	SGL_RS01895	RS01895	magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase 1 catalytic subunit
SLL1214-AS	chromosome	3283	3302	+	sll1214-as	sll1214-as	NA	NA	SLL1214-AS-RNA
SGL_RS01900	chromosome	4451	5389	-	wcaG	sll1213	SGL_RS01900	RS01900	GDP-L-fucose synthase
SGL_RS01905	chromosome	5534	6622	-	gmd	sll1212	SGL_RS01905	RS01905	GDP-mannose 4,6-dehydratase
SLR1311-AS	chromosome	7137	7210	-	slr1311-as	slr1311-as	NA	NA	SLR1311-AS-RNA
SGL_RS01910	chromosome	7229	8311	+	psbA2	slr1311	SGL_RS01910	RS01910	photosystem II protein D1 2 // photosystem II protein D1 2 precursor
SGL_RS19400	chromosome	8301	8450	-	SGL_RS19400	SGL_RS19400	NA	RS19400	hypothetical protein
SGL_RS01915	chromosome	8492	10471	+	adc1	slr1312	SGL_RS01915	RS01915 // speA	biosynthetic arginine decarboxylase
SGL_RS01920	chromosome	10622	12631	-	ligA	sll1209	SGL_RS01920	RS01920	NAD-dependent DNA ligase LigA
SLR1315-AS	chromosome	12722	12851	-	slr1315-as	slr1315-as	NA	NA	SLR1315-AS-RNA
SLR1315-AS2	chromosome	12729	12818	-	slr1315-as2	slr1315-as2	NA	NA	SLR1315-AS2-RNA
SGL_RS01925	chromosome	12782	13363	+	slr1315	slr1315	SGL_RS01925	RS01925	Uma2 family endonuclease
SGL_RS01930	chromosome	13498	14529	+	fecC	slr1316	SGL_RS01930	RS01930	iron(III) dicitrate ABC transporter permease
SGL_RS01935	chromosome	14626	15675	+	fecD	slr1317	SGL_RS01935	RS01935	iron(III) dicitrate ABC transporter permease
SLR1317-AS	chromosome	15315	15338	-	slr1317-as	slr1317-as	NA	NA	SLR1317-AS-RNA
SGL_RS01940	chromosome	15937	16743	+	fecE	slr1318	SGL_RS01940	RS01940	iron(III) dicitrate ABC transporter ATP-binding protein
SGL_RS01945	chromosome	16740	17687	+	fecB1	slr1319	SGL_RS01945	RS01945	iron(III) dicitrate ABC transporter substrate-binding protein
SGL_RS01950	chromosome	17853	20393	-	iutA	sll1206	SGL_RS01950	RS01950	TonB-dependent receptor
SLL1206-AS2	chromosome	19470	19578	+	sll1206-as2	sll1206-as2	NA	NA	SLL1206-AS2-RNA
SLL1206-AS	chromosome	20142	20193	+	sll1206-as	sll1206-as	NA	NA	SLL1206-AS-RNA
SGL_RS01955	chromosome	20615	21595	-	sll1205	sll1205	SGL_RS01955	RS01955	AraC family transcriptional regulator
SLL1205-AS	chromosome	20964	20986	+	sll1205-as	sll1205-as	NA	NA	SLL1205-AS-RNA
SGL_RS01960	chromosome	21838	23121	-	sll1204	sll1204	SGL_RS01960	RS01960	MFS transporter
SLL1204-AS	chromosome	22051	22086	+	sll1204-as	sll1204-as	NA	NA	SLL1204-AS-RNA
SGL_RS01965	chromosome	23139	24104	-	sll1203	sll1203	SGL_RS01965	RS01965	sucrase/ferredoxin-like
SGL_RS01970	chromosome	24101	25003	-	sll1202	sll1202	SGL_RS01970	RS01970	iron-siderophore ABC transporter substrate-binding protein
SGL_RS01975	chromosome	25266	27839	-	fhuA3	sll1409	SGL_RS01975	RS01975	TonB-dependent siderophore receptor FhuA3
SGL_RS01980	chromosome	27990	29030	-	sll1408	sll1408	SGL_RS01980	RS01980	AraC family transcriptional regulator
SGL_RS01985	chromosome	29098	29895	-	sll1407	sll1407	SGL_RS01985	RS01985	class I SAM-dependent methyltransferase
SGL_RS01990	chromosome	29968	32454	-	fhuA2	sll1406	SGL_RS01990	RS01990	TonB-dependent siderophore receptor FhuA2
SGL_RS01995	chromosome	32524	32928	-	exbD1	sll1405	SGL_RS01995	RS01995	siderophore transporter ExbD1
SGL_RS02000	chromosome	32912	33544	-	exbB1	sll1404	SGL_RS02000	RS02000	siderophore transporter ExbB1
SGL_RS02005	chromosome	33891	35489	+	tonB	slr1484	SGL_RS02005	RS02005	energy transducer TonB
SGL_RS02010	chromosome	35566	36615	+	slr1485	slr1485	SGL_RS02010	RS02010	hypothetical protein
SGL_RS02015	chromosome	36757	38538	+	slr1488	slr1488	SGL_RS02015	RS02015	ABC transporter ATP-binding protein
SGL_RS02020	chromosome	38680	39636	+	slr1489	slr1489	SGL_RS02020	RS02020	AraC family transcriptional regulator
SGL_RS02025	chromosome	39817	42363	+	fhuA1	slr1490	SGL_RS02025	RS02025	TonB-dependent ferrichrome-iron receptor FhuA1
SLR1490-AS2	chromosome	40002	40128	-	slr1490-as2	slr1490-as2	NA	NA	SLR1490-AS2-RNA
SLR1490-AS	chromosome	40675	40752	-	slr1490-as	slr1490-as	NA	NA	SLR1490-AS-RNA
SGL_RS02030	chromosome	42567	43397	+	fecB2	slr1491	SGL_RS02030	RS02030	iron(III) dicitrate ABC transporter substrate-binding protein
SLR1491-AS	chromosome	42685	42795	-	slr1491-as	slr1491-as	NA	NA	SLR1491-AS-RNA
SGL_RS02035	chromosome	43511	44506	+	decB	slr1492	SGL_RS02035	RS02035	iron(III) dicitrate ABC transporter substrate-binding protein
SGL_RS02040	chromosome	44511	44885	+	slr1493	slr1493	SGL_RS02040	RS02040	DUF1636 family protein
SGL_RS02045	chromosome	44948	46789	+	decA	slr1494	SGL_RS02045	RS02045	iron(III) dicitrate ABC transporter ATP-binding protein
SLR1494-AS	chromosome	45931	46074	-	slr1494-as	slr1494-as	NA	NA	SLR1494-AS-RNA
SGL_RS02050	chromosome	47007	47942	-	sll1401	sll1401	SGL_RS02050	RS02050	hypothetical protein
SGL_RS02055	chromosome	48067	48408	-	vapC12	sll1400	SGL_RS02055	RS02055	endoribonuclease VapC12
SGL_RS02060	chromosome	48405	48635	-	vapB12	ssl2733	SGL_RS02060	RS02060	antitoxin VapB12
SGL_RS02065	chromosome	48663	49868	-	sll1399	sll1399	SGL_RS02065	RS02065	DUF4336 domain-containing protein
SGL_RS02070	chromosome	49893	50231	-	psbW1	sll1398	SGL_RS02070	RS02070 // psb28	photosystem II reaction center Psb28 protein
SGL_RS02075	chromosome	50246	51895	+	slr1495	slr1495	SGL_RS02075	RS02075	ATP-dependent DNA helicase
G2PN3-400	chromosome	52023	52364	+	slr1496	slr1496	NA	NA	putative transposase
SGL_RS18635	chromosome	52260	53108	-	sll1397	sll1397	SGL_RS18635	RS18635	IS630-like element ISTcSa family transposase
SGL_RS02085	chromosome	53453	54097	-	sll1396	sll1396	SGL_RS02085	RS02085	hypothetical protein
SGL_RS02090	chromosome	54533	55657	+	hypD	slr1498	SGL_RS02090	RS02090	Fe-(CN)<sub>2</sub>CO cofactor assembly scaffold protein HypD
SGL_RS02095	chromosome	55669	56550	-	rfbD	sll1395	SGL_RS02095	RS02095	dTDP-4-dehydrorhamnose reductase
SGL_RS02100	chromosome	56556	57224	-	msrA	sll1394	SGL_RS02100	RS02100	peptide-methionine (S)-S-oxide reductase MsrA
SGL_RS02105	chromosome	57340	58815	-	glgA2	sll1393	SGL_RS02105	RS02105	glycogen synthase GlgA2
SGL_RS02110	chromosome	59039	59650	-	sll1392	sll1392	SGL_RS02110	RS02110	TetR/AcrR family transcriptional regulator
SGL_RS02115	chromosome	59749	60423	+	slr1501	slr1501	SGL_RS02115	RS02115	GNAT family N-acetyltransferase
SGL_RS02120	chromosome	60524	61522	+	slr1113	slr1113	SGL_RS02120	RS02120	ABC transporter ATP-binding protein
SGL_RS02125	chromosome	61834	63591	+	slr1114	slr1114	SGL_RS02125	RS02125	hypothetical protein
SGL_RS02130	chromosome	63633	64361	+	slr1115	slr1115	SGL_RS02130	RS02130	class I SAM-dependent methyltransferase
SGL_RS02135	chromosome	64393	64914	+	slr1116	slr1116	SGL_RS02135	RS02135	DinB family protein
SGL_RS02140	chromosome	64987	65748	+	slr1117	slr1117	SGL_RS02140	RS02140	class I SAM-dependent methyltransferase
SGL_RS02145	chromosome	65827	67533	-	sll1064	sll1064	SGL_RS02145	RS02145	metallophosphoesterase
SLL1064-AS	chromosome	67039	67143	+	sll1064-as	sll1064-as	NA	NA	SLL1064-AS-RNA
SGL_RS02150	chromosome	67606	68361	+	slr1118	slr1118	SGL_RS02150	RS02150	WecB/TagA/CpsF family glycosyltransferase
SGL_RS02155	chromosome	68400	69059	-	tsaB	sll1063	SGL_RS02155	RS02155	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB
SGL_RS02160	chromosome	69284	69985	+	slr1119	slr1119	SGL_RS02160	RS02160	GDSL-type esterase/lipase family protein
SLR1119-AS2	chromosome	69703	69740	-	slr1119-as2	slr1119-as2	NA	NA	SLR1119-AS2-RNA
SLR1119-AS	chromosome	69757	69886	-	slr1119-as	slr1119-as	NA	NA	SLR1119-AS-RNA
SGL_RS02165	chromosome	70016	70393	-	sll1062	sll1062	SGL_RS02165	RS02165	hypothetical protein
SGL_RS02170	chromosome	70420	70935	-	sll1061	sll1061	SGL_RS02170	RS02170	hypothetical protein
SGL_RS02175	chromosome	70944	74042	-	sll1060	sll1060	SGL_RS02175	RS02175	UPF0182 family protein
SLL1060-AS	chromosome	72162	72242	+	sll1060-as	sll1060-as	NA	NA	SLL1060-AS-RNA
SGL_RS02180	chromosome	73978	74229	-	ssl2069	ssl2069	SGL_RS02180	RS02180	hypothetical protein
SGL_RS02185	chromosome	74498	74785	+	ssr1853	ssr1853	SGL_RS02185	RS02185	PepSY domain-containing protein
