sgRNA target	Number sgRNAs	Locus tag	Gene name	Gene product	Weighted mean fitness at 30% CO2	Weighted mean fitness at 4% CO2	Standard deviation of weighted mean fitness at 30% CO2	Standard deviation of weighted mean fitness at 4% CO2	adjusted p value for 30% CO2	adjusted p value for 4% CO2	Combined score for 30% CO2	Combined score for 4% CO2	Impact score
psbJ	4	smr0008	psbJ	photosystem II PsbJ protein	1.9452350416393	-3.19977120582582	0.312212523043566	1.04279121890654	0.0110077977849779	0.0114799821403657	3.80935292048795	6.20774424610144	3.63806880682974
cpcG	5	slr2051	cpcG1	phycobilisome rod-core linker polypeptide	2.59240815931106	-2.4825228908841	0.700621217646061	1.36412187516984	0.00872410061899529	0.0134408636598083	5.33849254815088	4.64622237813408	3.58851815964716
apcE	5	slr0335	apcE	phycobilisome core-membrane linker polypeptide	0.207744341454578	-4.57245098095578	0.689943430840745	2.64753969602469	0.698410020881592	0.0114799821403657	0.0323851693993616	8.87082370637291	3.38010852787258
cpcB	5	sll1577	cpcB	phycocyanin beta subunit	0.923310187391292	-3.76926792810755	0.357225657398092	0.334743593808993	0.00980989964232929	0.00942124926252689	1.85431656732933	7.6361278783197	3.31815380671682
cpcA	5	sll1578	cpcA	phycocyanin alpha subunit	1.19711477625513	-3.23386741511491	0.306281668484208	0.721363200568993	0.00872410061899529	0.00942124926252689	2.46519371934768	6.55146452689207	3.13317755483458
cpcC	5	sll1580	cpcC1	phycobilisome rod linker polypeptide	2.27281857182971	-2.04059529032387	1.35516258613689	0.982810205613414	0.0110077977849779	0.0134408636598083	4.45085960257144	3.81912269064367	3.05004419199285
rps13	5	sll1816	rps13	30S ribosomal protein S13	-0.262865471888475	-4.32527901669023	0.778165581491101	1.90543859608326	0.801021337301133	0.00942124926252689	0.0253286431158677	8.76254601976308	2.8725601655134
sll0711	5	sll0711	sll0711	isopentenyl monophosphate kinase	-1.08284673311421	-5.13310314003773	0.898552112791491	0.727578528821563	0.0385156130506793	0.00942124926252689	1.53153855443208	10.399110049365	2.86396377087988
cpcC2	5	sll1579	cpcC2	phycobilisome rod linker polypeptide	2.28275176344456	-1.7061501000785	0.849273855594327	0.276028806614375	0.00872410061899529	0.0114799821403657	4.70082353145566	3.31003149458437	2.82057955718481
psbD	5	sll0849	psbD1	photosystem II reaction center D2 protein	-1.74004279659097	-5.63054987039628	1.38085982666654	2.52125250343148	0.146923687918804	0.00942124926252689	1.4492958770935	11.4068831549444	2.75100393414197
cpcE	5	slr1878	cpcE	phycocyanin alpha-subunit phycocyanobilin lyase	1.92652959398915	-1.96385517019542	0.82551604143944	1.3510609349881	0.00872410061899529	0.116375269737098	3.96726257953007	1.83451429279442	2.75091744817973
sll1378	5	sll1378	sll1378	periplasmic protein;  function unknown	-0.136323131770287	-3.97033608678126	0.232991277579939	2.4280430618909	0.862463238140476	0.721165257323383	0.0087600436545929	0.563649572142169	2.71105655964533
sll0871	5	sll0871	sll0871	hypothetical protein	1.02604845238688	-2.60390753045418	0.420538353275777	1.34372844766373	0.0141658821770576	0.0270681873278269	1.89691361711395	4.08173136268882	2.56676649087559
slr5127	5	slr5127	slr5127	hypothetical protein	-2.8393008895493	-6.44695571710249	1.69391269377084	3.52873130399915	0.862463238140476	0.424519521785774	0.182451792428653	2.39892726738563	2.55099719274324
cpcF	5	sll1051	cpcF	phycocyanin alpha-subunit phycocyanobilin lyase	2.52319667140791	-1.00295970379843	1.22958356844012	0.983444040046391	0.00980989964232929	0.613832048322259	5.06742528601502	0.212577751214896	2.49336908443258
pyrG	5	sll1443	pyrG	CTP synthetase	-2.34835544902477	-5.85885320182133	1.62472101228154	2.98026791328495	0.0273335965306326	0.00942124926252689	3.67119163624734	11.869400934805	2.48229676634258
psbO	5	sll0427	psbO	photosystem II manganese-stabilizing polypeptid e	0.195910298057053	-3.25803017635788	0.724116098705891	0.679343382964354	1	0.00942124926252689	0	6.60041565964885	2.44230473127348
