sgRNA_target	locus	Gene name	Product	wmean_fitness_CO2_1percent	wmean_fitness_CO2_30percent	wmean_fitness_CO2_4percent	wmean_fitness_CO2_ambient	sd_fitness_CO2_1percent	sd_fitness_CO2_30percent	sd_fitness_CO2_4percent	sd_fitness_CO2_ambient	p_fitness_adj_CO2_1percent	p_fitness_adj_CO2_30percent	p_fitness_adj_CO2_4percent	p_fitness_adj_CO2_ambient	comb_score_CO2_1percent	comb_score_CO2_30percent	comb_score_CO2_4percent	comb_score_CO2_ambient
aat	sll0869	aat	Leu/Phe-tRNA-protein transferase	0.023181570763783608	0.004492626164232926	0.19018438532721907	-0.03796249580756027	0.18359171256710635	0.424078214297599	0.08640327870267309	0.20287584064631528	0.921179437080847	0.8497182117527863	0.2919658398607485	1	8.265566414981061e-4	3.177413158766323e-4	0.1016854969912584	-0
abfB	slr0518	abfB	similar to alpha-L-arabinofuranosidase B	-1.2384324684680845	-0.0878574062293085	-1.7172521568671528	-0.07042988507334685	1.0005140274247388	0.17337577160050782	1.3295842354063787	0.2658850025645657	0.8071914100096246	0.8497182117527863	0.9468802583726863	0.7734786725955207	0.1152032836366686	0.0062137215170616576	0.040707355934094	0.007856570365124566
accA	sll0728	accA	acetyl-CoA carboxylase alpha subunit	-4.120110093474799	-2.1000090900579904	-2.7372385793738503	-4.19404666716825	1.5267852370306976	0.5447207159689175	0.655076184669947	1.9679146475583138	0.2542874739435285	0.30324858757062145	0.2919658398607485	0.31112334801762115	2.450126603315508	1.0882272583114718	1.463513762438417	2.1266643237569434
accB	slr0435	accB	biotin carboxyl carrier protein of acetyl-CoA c arboxylase	-3.0763014459683693	-3.439639728918179	-3.8667403155174607	-1.4534252727535426	1.478778750136371	1.5150911985261726	1.9087938310975798	1.1117685912433362	0.3416613621896881	0.30324858757062145	0.38191973815283903	0.40351075026311833	1.434799705467071	1.78242548068041	1.6164053188334133	0.5728601448192764
accC	sll0053	accC	biotin carboxylase	-3.1846373348955823	-1.924610041158504	-2.462890156426976	-3.7579297206627067	1.6160572729241434	1.7157610946854192	1.8679667315758224	2.48634507944089	0.2542874739435285	0.30324858757062145	0.4932155109041902	0.31112334801762115	1.8938243103010883	0.9973352583682444	0.7560168257646891	1.9055236391814496
accD	sll0336	accD;  ycf11;  zfpA	acetyl-CoA carboxylase beta subunit	-7.268207046504236	-4.609351128040613	-5.084080415161876	-6.007966328667904	1.8114679579321986	1.0451724114617373	1.331145767567048	1.2834519130886106	0.2542874739435285	0.30324858757062145	0.2919658398607485	0.31112334801762115	4.322221260846555	2.388571346862128	2.7182948950818475	3.046443843729994
ackA	sll1299	ackA	acetate kinase	0.21576234396441035	0.195868508704386	0.12958450042869687	0.17159470404572533	0.16054694110561582	0.152566639494242	0.14000758518691836	0.2012485918792488	0.3416613621896881	0.39461108660491107	0.38191973815283903	0.6429067650440783	0.10063244874026687	0.07909772038652753	0.054169936080459426	0.03292078790046947
acp	ssl2084	acpP	acyl carrier protein	-6.769327275235498	-4.203103973336094	-5.7366579132471704	-4.697435258811807	2.906377153925801	1.4825555813840503	2.4046593590397767	2.4341187385453993	0.2542874739435285	0.30324858757062145	0.2919658398607485	0.31112334801762115	4.02554991670521	2.1780535784134556	3.0672071735738196	2.381916266281802
acs	sll0542	acs	acetyl-coenzyme A synthetase	0.09986913916785468	0.36155537307177227	0.1680450057153389	-0.1815499740123772	0.09506482962290351	0.20710934341863066	0.08412691811550081	0.11025161789271483	0.3416613621896881	0.30324858757062145	0.2919658398607485	0.31112334801762115	0.04657937916034811	0.18735843298412155	0.08984828009756438	0.0920580726327035
act	sll1900	act	acetyltransferase	-0.0033212736618945422	0.3489238798328149	0.4095324631717465	-0.04689960396980227	0.10245525738803662	0.21585878683136653	0.26836595383285755	0.14381587682449695	0.7448358575846483	0.30324858757062145	0.38191973815283903	0.8515515928417312	4.249218389013515e-4	0.18081277786249023	0.17119599396143387	0.003273078073056551
adk	sll1059	adk1	adenylate kinase	0.1341879686428632	0.40909564204031845	0.13481803148079297	0.24452770200402954	0.10001191255375458	0.41726180217707853	0.09937705497389657	0.21576304225590176	0.3416613621896881	0.7783497679814385	0.4932155109041902	0.6429067650440783	0.06258582303055105	0.04451991494486154	0.04138418432912157	0.04691312973924149
adk2	sll1815	adk2	adenylate kinase	-6.921905813456199	-2.647557566020449	-4.743398267875218	-4.7907676727606985	2.5461190897577404	2.256865875820457	2.8000722520704913	2.9122824736785975	0.2542874739435285	0.6397192028985508	0.2919658398607485	0.31112334801762115	4.116284563864662	0.5136542651865417	2.53614306698466	2.429242090419385
