sgRNA_target	locus	Gene name	Product	condition	wmean_fitness	sd_fitness	p_fitness_adj	comb_score
aat	sll0869	aat	Leu/Phe-tRNA-protein transferase	CO2_1percent	0.023181570763783608	0.18359171256710635	0.921179437080847	8.265566414981061e-4
aat	sll0869	aat	Leu/Phe-tRNA-protein transferase	CO2_30percent	0.004492626164232926	0.424078214297599	0.8497182117527863	3.177413158766323e-4
aat	sll0869	aat	Leu/Phe-tRNA-protein transferase	CO2_4percent	0.19018438532721907	0.08640327870267309	0.2919658398607485	0.1016854969912584
aat	sll0869	aat	Leu/Phe-tRNA-protein transferase	CO2_ambient	-0.03796249580756027	0.20287584064631528	1	-0
abfB	slr0518	abfB	similar to alpha-L-arabinofuranosidase B	CO2_1percent	-1.2384324684680845	1.0005140274247388	0.8071914100096246	0.1152032836366686
abfB	slr0518	abfB	similar to alpha-L-arabinofuranosidase B	CO2_30percent	-0.0878574062293085	0.17337577160050782	0.8497182117527863	0.0062137215170616576
abfB	slr0518	abfB	similar to alpha-L-arabinofuranosidase B	CO2_4percent	-1.7172521568671528	1.3295842354063787	0.9468802583726863	0.040707355934094
abfB	slr0518	abfB	similar to alpha-L-arabinofuranosidase B	CO2_ambient	-0.07042988507334685	0.2658850025645657	0.7734786725955207	0.007856570365124566
accA	sll0728	accA	acetyl-CoA carboxylase alpha subunit	CO2_1percent	-4.120110093474799	1.5267852370306976	0.2542874739435285	2.450126603315508
accA	sll0728	accA	acetyl-CoA carboxylase alpha subunit	CO2_30percent	-2.1000090900579904	0.5447207159689175	0.30324858757062145	1.0882272583114718
accA	sll0728	accA	acetyl-CoA carboxylase alpha subunit	CO2_4percent	-2.7372385793738503	0.655076184669947	0.2919658398607485	1.463513762438417
accA	sll0728	accA	acetyl-CoA carboxylase alpha subunit	CO2_ambient	-4.19404666716825	1.9679146475583138	0.31112334801762115	2.1266643237569434
accB	slr0435	accB	biotin carboxyl carrier protein of acetyl-CoA c arboxylase	CO2_1percent	-3.0763014459683693	1.478778750136371	0.3416613621896881	1.434799705467071
accB	slr0435	accB	biotin carboxyl carrier protein of acetyl-CoA c arboxylase	CO2_30percent	-3.439639728918179	1.5150911985261726	0.30324858757062145	1.78242548068041
accB	slr0435	accB	biotin carboxyl carrier protein of acetyl-CoA c arboxylase	CO2_4percent	-3.8667403155174607	1.9087938310975798	0.38191973815283903	1.6164053188334133
accB	slr0435	accB	biotin carboxyl carrier protein of acetyl-CoA c arboxylase	CO2_ambient	-1.4534252727535426	1.1117685912433362	0.40351075026311833	0.5728601448192764
accC	sll0053	accC	biotin carboxylase	CO2_1percent	-3.1846373348955823	1.6160572729241434	0.2542874739435285	1.8938243103010883
accC	sll0053	accC	biotin carboxylase	CO2_30percent	-1.924610041158504	1.7157610946854192	0.30324858757062145	0.9973352583682444
accC	sll0053	accC	biotin carboxylase	CO2_4percent	-2.462890156426976	1.8679667315758224	0.4932155109041902	0.7560168257646891
accC	sll0053	accC	biotin carboxylase	CO2_ambient	-3.7579297206627067	2.48634507944089	0.31112334801762115	1.9055236391814496
accD	sll0336	accD;  ycf11;  zfpA	acetyl-CoA carboxylase beta subunit	CO2_1percent	-7.268207046504236	1.8114679579321986	0.2542874739435285	4.322221260846555
accD	sll0336	accD;  ycf11;  zfpA	acetyl-CoA carboxylase beta subunit	CO2_30percent	-4.609351128040613	1.0451724114617373	0.30324858757062145	2.388571346862128
accD	sll0336	accD;  ycf11;  zfpA	acetyl-CoA carboxylase beta subunit	CO2_4percent	-5.084080415161876	1.331145767567048	0.2919658398607485	2.7182948950818475
accD	sll0336	accD;  ycf11;  zfpA	acetyl-CoA carboxylase beta subunit	CO2_ambient	-6.007966328667904	1.2834519130886106	0.31112334801762115	3.046443843729994
ackA	sll1299	ackA	acetate kinase	CO2_1percent	0.21576234396441035	0.16054694110561582	0.3416613621896881	0.10063244874026687
ackA	sll1299	ackA	acetate kinase	CO2_30percent	0.195868508704386	0.152566639494242	0.39461108660491107	0.07909772038652753
ackA	sll1299	ackA	acetate kinase	CO2_4percent	0.12958450042869687	0.14000758518691836	0.38191973815283903	0.054169936080459426
ackA	sll1299	ackA	acetate kinase	CO2_ambient	0.17159470404572533	0.2012485918792488	0.6429067650440783	0.03292078790046947
acp	ssl2084	acpP	acyl carrier protein	CO2_1percent	-6.769327275235498	2.906377153925801	0.2542874739435285	4.02554991670521
acp	ssl2084	acpP	acyl carrier protein	CO2_30percent	-4.203103973336094	1.4825555813840503	0.30324858757062145	2.1780535784134556
acp	ssl2084	acpP	acyl carrier protein	CO2_4percent	-5.7366579132471704	2.4046593590397767	0.2919658398607485	3.0672071735738196
acp	ssl2084	acpP	acyl carrier protein	CO2_ambient	-4.697435258811807	2.4341187385453993	0.31112334801762115	2.381916266281802
