sgRNA_target	num_sgRNAs	locus	Gene name	Product	wmean_fitness_CO2_30percent	wmean_fitness_CO2_4percent	sd_fitness_CO2_30percent	sd_fitness_CO2_4percent	p_fitness_adj_CO2_30percent	p_fitness_adj_CO2_4percent	comb_score_CO2_30percent	comb_score_CO2_4percent	impact_score
AT103	5	sll1874	acsF2; cycII; ycf59	hypothetical protein	-0.9386834298765219	0.14099013548734532	0.8930264524146933	0.3061236423293512	0.6326011029152486	0.9143550542857183	0.18667602555637294	0.005482419763265344	-0.7634444995366476
ESI3	4	ssr1169	ESI3	stress induced hydrophobic peptide homolog	-1.1347717857249089	-0.2925192259038485	0.8078432654053737	0.33626318187497317	0.45827043095318637	0.746352504788104	0.38454937918577703	0.037166324326842325	-0.5955624965212001
ETR1	5	slr1212	ETR1; uirS	similar to two-component sensor histidine kinas e	0.2945492735479052	0.3182558486941448	0.21582652597974047	0.27888993592516065	0.9458951075850284	0.9525074466803449	0.007115432930782193	0.006725261764074354	-0.01676308004461448
Era	5	slr0321	era	GTP-binding protein ERA homolog	-0.057978713965215006	-2.735635985837948	1.9469291226231888	1.1715601956307005	0.11635175242516728	0.009421249262526892	0.05416528414122234	5.542101706439286	1.8933896146346805
HAGH1	5	sll1019	gloB	hydroxyacylglutathione hydrolase	-0.4022791787024125	-0.3353640047361429	0.6667349612476848	0.7366799752371154	0.8313727550868939	0.9143550542857183	0.03226448447522151	0.01304067295983461	-0.047316173275826726
IAP75	5	slr1227	IAP75	chloroplastic outer envelope membrane protein h omolog	-4.495462851591853	-4.849474349934249	2.004271268168174	2.924723927725019	0.009038483826191542	0.11637526973709758	9.18829636886534	4.530084571668821	0.25032393109591883
ICFG	5	slr1860	icfG	carbon metabolisms regulatory protein IcfG	-0.37320397125119475	-0.09495685873047664	0.33181383161994205	0.2794208737611252	0.2871038646357691	0.5399302538694818	0.20226198310649843	0.025416374727522215	-0.19675042010897606
Sac1	5	sll0640	Sac1	probable sodium/sulfate symporter	-2.497440092017532	-4.188574312025166	1.4343634789844493	2.3453496807168204	0.05405695937378547	0.03815504224914742	3.164627182706326	5.9412751121436855	1.1958124748640206
aat	5	sll0869	aat	Leu/Phe-tRNA-protein transferase	0.06681147220071518	0.19997699333467456	0.42702366079971704	0.08605668579390915	0.45352377927595783	0.8510688283109384	0.02294305534235973	0.014005451898628828	-0.09416224301406317
abfB	5	slr0518	abfB	similar to alpha-L-arabinofuranosidase B	-0.11296034731518968	-1.9119373268912223	0.17311534225941969	1.3297356534906997	0.7324131804450047	0.4610569652166894	0.015277192129712704	0.6428801554947868	1.2720688214567057
accA	5	sll0728	accA	acetyl-CoA carboxylase alpha subunit	-2.20163048518438	-2.718763117231031	0.5431112230536168	0.6556521830989752	0.009038483826191542	0.009421249262526892	4.4999222683910425	5.507919105251477	0.36566799089303476
accB	5	slr0435	accB	biotin carboxyl carrier protein of acetyl-CoA c arboxylase	-3.581026350472273	-3.797898054261855	1.5134322326802183	1.9155142226985218	0.00872410061899529	0.0189548347205997	7.374333558573836	6.541043853731531	0.1533514523970937
accC	5	sll0053	accC	biotin carboxylase	-2.879441369963582	-3.2926235345632473	1.7086572074456892	1.8693283016903939	0.032729498465121507	0.25913013692563736	4.276145071394908	1.9310646843137058	0.2921639104537596
accD	5	sll0336	accD;  ycf11;  zfpA	acetyl-CoA carboxylase beta subunit	-4.641916549214877	-5.142410613262048	1.043255309889823	1.330467907394476	0.00872410061899529	0.009421249262526892	9.559002820646676	10.417965980309834	0.3539027466313687
ackA	5	sll1299	ackA	acetate kinase	0.23075072776718633	0.134585879840165	0.15193979325705156	0.14111695074969752	0.9458951075850284	1	0.005574250132684706	-0	0.06799881608096987
acp	5	ssl2084	acpP	acyl carrier protein	-4.256592642057216	-5.708114679900608	1.4761758586223974	2.405882296267353	0.00872410061899529	0.009421249262526892	8.765513261683003	11.564021043661718	1.026381076000779
acs	5	sll0542	acs	acetyl-coenzyme A synthetase	0.4262739080020474	0.1824857234984946	0.20698123111550426	0.08310582591268531	0.2871038646357691	0.8914439249771854	0.23102381705638175	0.009107127099151856	0.17238427843561938
act	5	sll1900	act	acetyltransferase	0.3857228319794068	0.44484977519283136	0.2160122018001706	0.2691152991335569	0.7708972345456213	0.7739566832797656	0.04358803477987517	0.04950437108667476	-0.04180906249704441
adk2	5	sll1815	adk2	adenylate kinase	-2.9822008985365223	-5.571737437018722	2.262498235297999	2.797702920117038	0.21242716088599387	0.009421249262526892	2.006394809078003	11.28773554573438	1.8310788464911025
adk	5	sll1059	adk1	adenylate kinase	0.3876882958742618	0.1367318556625255	0.41728481085933145	0.10110327996392181	0.6326011029152486	0.8308475819064807	0.07709959281804994	0.011003993756085852	0.1774530006561551
agp	5	slr1176	glgC	glucose-1-phosphate adenylyltransferase	-0.22664395273938706	-0.1645541086502369	0.3631335895203464	0.6671918078939356	0.3811252389316491	0.9143550542857183	0.0949484702179078	0.006398707925715449	-0.04390414979825356
ahcY	5	sll1234	ahcY	adenosylhomocysteinase	-1.7706802645915598	-1.9290192531262824	0.8664398408029246	1.0719833244749388	0.016428079366291867	0.10024931516783314	3.1596252507109743	1.9269331837145243	0.11196257251912135
alaS	5	sll0362	alaS	alanyl-tRNA synthetase	-2.9858736587508403	-4.357772137840066	1.472924961809336	2.21293841969674	0.012227041170706682	0.009421249262526892	5.711016725361171	8.828373557894725	0.9700787176635025
alr	5	slr0827	alr	alanine racemase	-3.806098291497502	-2.4782702697456513	2.0038933048906293	1.9829195458203202	0.012227041170706682	0.746352504788104	7.279842848476214	0.31487912061279005	-0.9389161984302522
