tu	gene
TU2PN3-14477	SGL_RS13550
TU2PN3-13575	SGL_RS07230
TU2PN3-15063	SGL_RS17700
TU2PN3-15063	SGL_RS17695
TU2PN3-15063	SGL_RS17690
TU2PN3-14502	SGL_RS13735
TU2PN3-15484	SGL_RS13980
TU2PN3-14378	SGL_RS12910
TU2PN3-13247	SGL_RS05030
TU2PN3-13247	SGL_RS05025
TU2PN3-15019	SGL_RS17360
TU2PN3-13340	SGL_RS05670
TU2PN3-13340	SGL_RS05665
TU2PN3-14557	SGL_RS14125
TU2PN3-14154	SGL_RS11365
TU2PN3-14154	SGL_RS11360
TU2PN3-14154	SGL_RS11355
TU2PN3-15513	SGL_RS15030
TU2PN3-12789	SGL_RS01895
TU2PN3-14009	SGL_RS10390
TU2PN3-15162	SGL_RS01915
TU2PN3-15570	SGL_RS17330
TU2PN3-15138	SGL_RS18190
TU2PN3-13354	SGL_RS05755
TU2PN3-12828	SGL_RS02195
TU2PN3-14478	SGL_RS13555
TU2PN3-15343	SGL_RS09665
TU2PN3-14240	SGL_RS11990
TU2PN3-12934	SGL_RS02960
TU2PN3-12934	SGL_RS02955
TU2PN3-14731	SGL_RS15365
TU2PN3-14731	SGL_RS15360
TU2PN3-14697	SGL_RS15085
TU2PN3-15080	SGL_RS17805
TU2PN3-13690	SGL_RS08120
TU2PN3-15277	SGL_RS07285
TU2PN3-13199	SGL_RS04735
TU2PN3-13199	SGL_RS04730
TU2PN3-14786	SGL_RS15695
TU2PN3-13063	SGL_RS03810
TU2PN3-14955	SGL_RS16900
TU2PN3-14955	SGL_RS16895
TU2PN3-13399	SGL_RS06115
TU2PN3-15123	SGL_RS18105
TU2PN3-13755	SGL_RS08585
TU2PN3-13755	SGL_RS08580
TU2PN3-13756	SGL_RS08590
TU2PN3-15612	SGL_RS03465
TU2PN3-13016	SGL_RS03465
TU2PN3-14335	SGL_RS12650
TU2PN3-14989	SGL_RS17175
TU2PN3-14974	SGL_RS17040
TU2PN3-13854	SGL_RS09235
TU2PN3-13746	SGL_RS08525
TU2PN3-15149	SGL_RS18255
TU2PN3-12651	SGL_RS00545
TU2PN3-13365	SGL_RS05885
TU2PN3-15526	SGL_RS15325
TU2PN3-13224	SGL_RS04875
TU2PN3-14945	SGL_RS16800
TU2PN3-14945	SGL_RS16795
TU2PN3-15139	SGL_RS18195
TU2PN3-13320	SGL_RS05525
TU2PN3-13320	SGL_RS05520
TU2PN3-13999	SGL_RS10330
TU2PN3-14933	SGL_RS16720
TU2PN3-14933	SGL_RS16715
TU2PN3-14980	SGL_RS17085
TU2PN3-15408	SGL_RS11755
TU2PN3-13905	SGL_RS09600
TU2PN3-13412	SGL_RS06190
TU2PN3-13412	SGL_RS19800
TU2PN3-15026	SGL_RS17415
TU2PN3-15533	SGL_RS15675
TU2PN3-12953	SGL_RS03075
TU2PN3-13398	SGL_RS19560
TU2PN3-13398	SGL_RS06095
TU2PN3-12668	SGL_RS00485
TU2PN3-12510	SGL_RS01540
TU2PN3-14819	SGL_RS15900
TU2PN3-13745	SGL_RS08520
TU2PN3-14820	SGL_RS15905
TU2PN3-14957	SGL_RS16920
TU2PN3-14941	SGL_RS16775
