sgRNA_target	locus	Gene name	Product	wmean_fitness_CO2_30percent	wmean_fitness_HCHL	p_fitness_adj_CO2_30percent	p_fitness_adj_HCHL	impact_score
AT103	sll1874	acsF2; cycII; ycf59	hypothetical protein	-0.9386834298765219	-0.006840237655269729	0.6326011029152486	0.9575812911341901	-0.6589126402221668
ESI3	ssr1169	ESI3	stress induced hydrophobic peptide homolog	-1.1347717857249089	-0.23260052256944905	0.45827043095318637	0.13571409034895499	-0.6379314179688589
ETR1	slr1212	ETR1; uirS	similar to two-component sensor histidine kinas e	0.2945492735479052	0.15682388983768436	0.9458951075850284	0.7907316519063181	0.09738655276301643
Era	slr0321	era	GTP-binding protein ERA homolog	-0.057978713965215006	-3.105058359178128	0.11635175242516728	0.004020937266418331	2.15461067994555
HAGH1	sll1019	gloB	hydroxyacylglutathione hydrolase	-0.4022791787024125	-0.4842130699944958	0.8313727550868939	0.6892156628601628	0.05793601014163354
IAP75	slr1227	IAP75	chloroplastic outer envelope membrane protein h omolog	-4.495462851591853	-4.424546314736076	0.009038483826191542	0.004020937266418331	-0.05014556410898574
ICFG	slr1860	icfG	carbon metabolisms regulatory protein IcfG	-0.37320397125119475	-0.15724569230405996	0.2871038646357691	0.6687404736008974	-0.152705563496895
Sac1	sll0640	Sac1	probable sodium/sulfate symporter	-2.497440092017532	-1.9338899544161754	0.05405695937378547	0.10814927756639495	-0.39849012383653115
aat	sll0869	aat	Leu/Phe-tRNA-protein transferase	0.06681147220071518	-0.15686343215122767	0.45352377927595783	0.6955938990506173	0.1581620416485112
abfB	slr0518	abfB	similar to alpha-L-arabinofuranosidase B	-0.11296034731518968	0.5616073562460197	0.7324131804450047	0.3914441053575694	-0.47699139755756786
accA	sll0728	accA	acetyl-CoA carboxylase alpha subunit	-2.20163048518438	-3.6575198590171984	0.009038483826191542	0.004020937266418331	1.0294692488946224
accB	slr0435	accB	biotin carboxyl carrier protein of acetyl-CoA c arboxylase	-3.581026350472273	-2.8286356353257127	0.00872410061899529	0.03424429705390504	-0.5320205767819288
accC	sll0053	accC	biotin carboxylase	-2.879441369963582	-2.6079924664803285	0.032729498465121507	0.023700576113136165	-0.19194336039866114
accD	sll0336	accD;  ycf11;  zfpA	acetyl-CoA carboxylase beta subunit	-4.641916549214877	-3.4406108022739628	0.00872410061899529	0.004020937266418331	-0.8494514399402913
ackA	sll1299	ackA	acetate kinase	0.23075072776718633	0.1776458045763613	0.9458951075850284	0.5096106444607926	0.03755085130262312
acp	ssl2084	acpP	acyl carrier protein	-4.256592642057216	-4.12882100075457	0.00872410061899529	0.004020937266418331	-0.09034819400843595
acs	sll0542	acs	acetyl-coenzyme A synthetase	0.4262739080020474	0.030249831678763644	0.2871038646357691	0.8753595637872725	0.2800313098813328
act	sll1900	act	acetyltransferase	0.3857228319794068	0.16398574480653513	0.7708972345456213	0.7571556603560908	0.15679179798049017
adk2	sll1815	adk2	adenylate kinase	-2.9822008985365223	-6.250469013170892	0.21242716088599387	0.004020937266418331	2.3110145465937353
adk	sll1059	adk1	adenylate kinase	0.3876882958742618	0.09506804129439232	0.6326011029152486	0.9425908845081489	0.20691376632595956
agp	slr1176	glgC	glucose-1-phosphate adenylyltransferase	-0.22664395273938706	-0.7507398358034106	0.3811252389316491	0.48544139881612103	0.37059175290652285
ahcY	sll1234	ahcY	adenosylhomocysteinase	-1.7706802645915598	-1.8258427484259678	0.016428079366291867	0.0042112226307496874	0.03900576638640322
alaS	sll0362	alaS	alanyl-tRNA synthetase	-2.9858736587508403	-2.9089329353314457	0.012227041170706682	0.027245509444477255	-0.05440530727925254
alr	slr0827	alr	alanine racemase	-3.806098291497502	-0.8373730584063137	0.012227041170706682	0.9690795205267375	-2.099205743798393
ama2	slr1653	ama	N-acyl-L-amino acid amidohydrolase	0.4567974408252084	0.10641468841259145	0.34672092298393176	0.9315754781467811	0.24775802024176857
ama	sll0100	ama	N-acyl-L-amino acid amidohydrolase	0.24661552229787634	-0.11480864749437626	0.8927347877322642	0.22063892942345992	0.25556548134481993
