sgRNA_target	locus	Gene name	Product	wmean_fitness_CO2_30percent	wmean_fitness_CO2_4percent	sd_fitness_CO2_30percent	sd_fitness_CO2_4percent	p_fitness_adj_CO2_30percent	p_fitness_adj_CO2_4percent	comb_score_CO2_30percent	comb_score_CO2_4percent	p_fitness_condition_CO2_30percent	p_fitness_condition_CO2_4percent	p_fitness_condition_adj_CO2_30percent	p_fitness_condition_adj_CO2_4percent	impact_score	combined_impact_score
AT103	sll1874	acsF2; cycII; ycf59	hypothetical protein	-0.9386834298765219	0.14099013548734532	0.8930264524146933	0.3061236423293512	0.6326011029152486	0.9143550542857183	0.18667602555637294	0.005482419763265344	0.4375	0.4375	0.8397966025927581	0.8397966025927581	-0.7634444995366476	0.05788885607632223
ESI3	ssr1169	ESI3	stress induced hydrophobic peptide homolog	-1.1347717857249089	-0.2925192259038485	0.8078432654053737	0.33626318187497317	0.45827043095318637	0.746352504788104	0.38454937918577703	0.037166324326842325	0.875	0.875	1	1	-0.5955624965212001	-0
ETR1	slr1212	ETR1; uirS	similar to two-component sensor histidine kinas e	0.2945492735479052	0.3182558486941448	0.21582652597974047	0.27888993592516065	0.9458951075850284	0.9525074466803449	0.007115432930782193	0.006725261764074354	1	1	1	1	-0.01676308004461448	-0
Era	slr0321	era	GTP-binding protein ERA homolog	-0.057978713965215006	-2.735635985837948	1.9469291226231888	1.1715601956307005	0.11635175242516728	0.009421249262526892	0.05416528414122234	5.542101706439286	0.0625	0.0625	0.39030686445607926	0.39030686445607926	1.8933896146346805	0.7736272775385914
HAGH1	sll1019	gloB	hydroxyacylglutathione hydrolase	-0.4022791787024125	-0.3353640047361429	0.6667349612476848	0.7366799752371154	0.8313727550868939	0.9143550542857183	0.03226448447522151	0.01304067295983461	1	1	1	1	-0.047316173275826726	-0
IAP75	slr1227	IAP75	chloroplastic outer envelope membrane protein h omolog	-4.495462851591853	-4.849474349934249	2.004271268168174	2.924723927725019	0.009038483826191542	0.11637526973709758	9.18829636886534	4.530084571668821	0.8125	0.8125	0.9901450221364514	0.9901450221364514	0.25032393109591883	0.0010766911804558027
ICFG	slr1860	icfG	carbon metabolisms regulatory protein IcfG	-0.37320397125119475	-0.09495685873047664	0.33181383161994205	0.2794208737611252	0.2871038646357691	0.5399302538694818	0.20226198310649843	0.025416374727522215	0.8125	0.8125	0.9901450221364514	0.9901450221364514	-0.19675042010897606	8.462612469965413e-4
Sac1	sll0640	Sac1	probable sodium/sulfate symporter	-2.497440092017532	-4.188574312025166	1.4343634789844493	2.3453496807168204	0.05405695937378547	0.03815504224914742	3.164627182706326	5.9412751121436855	0.0625	0.0625	0.39030686445607926	0.39030686445607926	1.1958124748640206	0.488601575832681
aat	sll0869	aat	Leu/Phe-tRNA-protein transferase	0.06681147220071518	0.19997699333467456	0.42702366079971704	0.08605668579390915	0.45352377927595783	0.8510688283109384	0.02294305534235973	0.014005451898628828	0.625	0.625	0.8977554024218906	0.8977554024218906	-0.09416224301406317	0.004410745220449687
abfB	slr0518	abfB	similar to alpha-L-arabinofuranosidase B	-0.11296034731518968	-1.9119373268912223	0.17311534225941969	1.3297356534906997	0.7324131804450047	0.4610569652166894	0.015277192129712704	0.6428801554947868	0.3125	0.3125	0.7175802139037434	0.7175802139037434	1.2720688214567057	0.18334270013507906
accA	sll0728	accA	acetyl-CoA carboxylase alpha subunit	-2.20163048518438	-2.718763117231031	0.5431112230536168	0.6556521830989752	0.009038483826191542	0.009421249262526892	4.4999222683910425	5.507919105251477	0.625	0.625	0.8977554024218906	0.8977554024218906	0.36566799089303476	0.01712861006148728
accB	slr0435	accB	biotin carboxyl carrier protein of acetyl-CoA c arboxylase	-3.581026350472273	-3.797898054261855	1.5134322326802183	1.9155142226985218	0.00872410061899529	0.0189548347205997	7.374333558573836	6.541043853731531	1	1	1	1	0.1533514523970937	-0
accC	sll0053	accC	biotin carboxylase	-2.879441369963582	-3.2926235345632473	1.7086572074456892	1.8693283016903939	0.032729498465121507	0.25913013692563736	4.276145071394908	1.9310646843137058	0.4375	0.4375	0.8397966025927581	0.8397966025927581	0.2921639104537596	0.02215358755380136
accD	sll0336	accD;  ycf11;  zfpA	acetyl-CoA carboxylase beta subunit	-4.641916549214877	-5.142410613262048	1.043255309889823	1.330467907394476	0.00872410061899529	0.009421249262526892	9.559002820646676	10.417965980309834	0.625	0.625	0.8977554024218906	0.8977554024218906	0.3539027466313687	0.01657750281049692
ackA	sll1299	ackA	acetate kinase	0.23075072776718633	0.134585879840165	0.15193979325705156	0.14111695074969752	0.9458951075850284	1	0.005574250132684706	-0	0.625	0.625	0.8977554024218906	0.8977554024218906	0.06799881608096987	0.0031851986892515
acp	ssl2084	acpP	acyl carrier protein	-4.256592642057216	-5.708114679900608	1.4761758586223974	2.405882296267353	0.00872410061899529	0.009421249262526892	8.765513261683003	11.564021043661718	0.125	0.125	0.487334301797712	0.487334301797712	1.026381076000779	0.3204084791775846
acs	sll0542	acs	acetyl-coenzyme A synthetase	0.4262739080020474	0.1824857234984946	0.20698123111550426	0.08310582591268531	0.2871038646357691	0.8914439249771854	0.23102381705638175	0.009107127099151856	0.125	0.125	0.487334301797712	0.487334301797712	0.17238427843561938	0.053813720633758236
act	sll1900	act	acetyltransferase	0.3857228319794068	0.44484977519283136	0.2160122018001706	0.2691152991335569	0.7708972345456213	0.7739566832797656	0.04358803477987517	0.04950437108667476	1	1	1	1	-0.04180906249704441	-0
adk2	sll1815	adk2	adenylate kinase	-2.9822008985365223	-5.571737437018722	2.262498235297999	2.797702920117038	0.21242716088599387	0.009421249262526892	2.006394809078003	11.28773554573438	0.125	0.125	0.487334301797712	0.487334301797712	1.8310788464911025	0.5716134116038737
adk	sll1059	adk1	adenylate kinase	0.3876882958742618	0.1367318556625255	0.41728481085933145	0.10110327996392181	0.6326011029152486	0.8308475819064807	0.07709959281804994	0.011003993756085852	0.625	0.625	0.8977554024218906	0.8977554024218906	0.1774530006561551	0.008312248619456683
agp	slr1176	glgC	glucose-1-phosphate adenylyltransferase	-0.22664395273938706	-0.1645541086502369	0.3631335895203464	0.6671918078939356	0.3811252389316491	0.9143550542857183	0.0949484702179078	0.006398707925715449	0.625	0.625	0.8977554024218906	0.8977554024218906	-0.04390414979825356	0.002056556988044903
ahcY	sll1234	ahcY	adenosylhomocysteinase	-1.7706802645915598	-1.9290192531262824	0.8664398408029246	1.0719833244749388	0.016428079366291867	0.10024931516783314	3.1596252507109743	1.9269331837145243	1	1	1	1	0.11196257251912135	-0
alaS	sll0362	alaS	alanyl-tRNA synthetase	-2.9858736587508403	-4.357772137840066	1.472924961809336	2.21293841969674	0.012227041170706682	0.009421249262526892	5.711016725361171	8.828373557894725	0.125	0.125	0.487334301797712	0.487334301797712	0.9700787176635025	0.30283240199653527
alr	slr0827	alr	alanine racemase	-3.806098291497502	-2.4782702697456513	2.0038933048906293	1.9829195458203202	0.012227041170706682	0.746352504788104	7.279842848476214	0.31487912061279005	0.0625	0.0625	0.39030686445607926	0.39030686445607926	-0.9389161984302522	0.3836353473231812
ama2	slr1653	ama	N-acyl-L-amino acid amidohydrolase	0.4567974408252084	0.15041899264107841	0.273354500776233	0.17720455118066125	0.34672092298393176	0.9720968262217057	0.2101359358495897	0.0018487208364230553	0.4375	0.4375	0.8397966025927581	0.8397966025927581	0.21664227832040955	0.0164270928369361
ama	sll0100	ama	N-acyl-L-amino acid amidohydrolase	0.24661552229787634	-1.5388538191606458	0.38624705950128335	1.1582617235717372	0.8927347877322642	0.4245195217857738	0.01215260663030442	0.5726110972830045	0.4375	0.4375	0.8397966025927581	0.8397966025927581	1.2625174789460003	0.09573150723713854
amiA2	slr0891	amiA	N-acetylmuramoyl-L-alanine amidase	-0.8464124281548348	0.05884255704670572	0.6531252842897508	0.18537905504533808	0.19000563603671725	1	0.6104610120592693	-0	0.0625	0.0625	0.39030686445607926	0.39030686445607926	-0.6401119387389369	0.26154577624114683
amiA3	slr1744	amiA	N-acetylmuramoyl-L-alanine amidase;  periplasmic protein	-4.907916269458227	-2.8187710187329027	3.18203390212002	2.4165251806829864	0.19000563603671725	0.4245195217857738	3.5397537102415346	1.0488712741451651	0.0625	0.0625	0.39030686445607926	0.39030686445607926	-1.4772487736715465	0.6035947055953649
amiA	slr1910	amiA	probable N-acetylmuramoyl-L-alanine amidase	-1.877373384357124	-0.8272910208834225	1.2227436352827055	0.5384861216668355	0.48928840640055	0.3557510150935733	0.5828025467124401	0.37133276147651206	0.8125	0.8125	0.9901450221364514	0.9901450221364514	-0.7425203600166513	0.003193722307886168
amiC	slr0447	urtA	periplasmic protein;  ABC-type urea transport sy stem substrate-binding protein	0.7946546376149696	-1.662883423180936	1.0518040749238444	1.2318132924770655	0.8624632381404762	0.29057650874644886	0.05106403605487808	0.892535214708558	0.625	0.625	0.8977554024218906	0.8977554024218906	1.7377418278128227	0.08139925532844602
ams1	slr0323	ams1	putative alpha-mannosidase	0.25698499648789364	0.18240884324122014	0.32982556183784534	0.7464537344978426	0.7324131804450047	0.497647869636685	0.034755640002101594	0.05528408016672572	0.625	0.625	0.8977554024218906	0.8977554024218906	0.05273330367552999	0.002470131973286022
amt1	sll0108	amt1	ammonium/methylammonium permease	1.8875588703979171	-0.548571459275016	0.2683672419875219	0.15017695540578438	0.00872410061899529	0.045117892444065374	3.887010973801785	0.7381858399362015	0.0625	0.0625	0.39030686445607926	0.39030686445607926	1.7226042759659506	0.7038454452223258
amt2	sll1017	amt2	ammonium/methylammonium permease	0.3587803184191823	0.03260961073478596	0.15868345023081956	0.08415633269074767	0.3178048046721386	0.746352504788104	0.1786150291419555	0.004143246875470378	0.125	0.125	0.487334301797712	0.487334301797712	0.23063751922805176	0.07199881068061986
amt3	sll0537	amt3	ammonium/methylammonium permease	0.2736045675794419	0.07980264691927841	0.268054216844149	0.1415012489283728	0.9190642338250596	0.9349326218034614	0.010028738622776215	0.0023318083240019077	0.625	0.625	0.8977554024218906	0.8977554024218906	0.13703865230577886	0.006419160815703029
ank	slr1109	ank	similar to ankyrin	0.3440046427540958	-0.3691571443442365	0.20104900692634087	0.7003704914197059	0.2871038646357691	0.7211652573233834	0.18643708695815012	0.05240746927082937	0.125	0.125	0.487334301797712	0.487334301797712	0.5042815357403476	0.15742308945666778
apcA	slr2067	apcA	allophycocyanin alpha subunit	-2.1312423300031025	-4.695888506523364	1.180133650705973	1.6700183679385368	0.012227041170706682	0.009421249262526892	4.07638165023281	9.513360637153655	0.0625	0.0625	0.39030686445607926	0.39030686445607926	1.813478702761628	0.7409761735502006
apcB	slr1986	apcB	allophycocyanin beta subunit	-0.39851779240161805	-3.548652460754759	1.022321732586245	1.3901134201454168	0.594324564040631	0.009421249262526892	0.09005558399684134	7.189184876980174	0.125	0.125	0.487334301797712	0.487334301797712	2.227481585643342	0.6953596514395557
apcC	ssr3383	apcC	phycobilisome small core linker polypeptide	0.6951488731023417	0.03089215305754553	0.3978020884876702	0.1737863119307359	0.16704207473650773	0.4610569652166894	0.5402517168606451	0.010387344753342711	0.125	0.125	0.487334301797712	0.487334301797712	0.46970043119240945	0.14662780164830455
apcD	sll0928	apcD	allophycocyanin-B	-0.05751221910629161	-1.7740508181115886	0.45643166482906944	1.4082701387467602	0.6652586483325006	0.1766276124104797	0.010180207476080956	1.3357563096119138	0.0625	0.0625	0.39030686445607926	0.39030686445607926	1.2137760835251012	0.49594139514711294
apcE	slr0335	apcE	phycobilisome core-membrane linker polypeptide	0.2077443414545777	-4.572450980955783	0.6899434308407449	2.6475396960246913	0.6984100208815922	0.011479982140365705	0.032385169399361605	8.870823706372905	0.0625	0.0625	0.39030686445607926	0.39030686445607926	3.3801085278725806	1.381091423546009
apcF	slr1459	apcF	phycobilisome core component	0.7280138247849999	-2.242613328369795	1.8506111732055939	0.8642134716106794	0.13092199202511332	0.009421249262526892	0.6428270309382897	4.543291292549176	0.125	0.125	0.487334301797712	0.487334301797712	2.100550604372644	0.6557352238069559
